mean_ctrl,mean_patient,genename,uniprot
8648.99,7473.39,NDUFA3,O95167
26468.5,39061.1,NDUFB8,O95169;O95169-3
36341.9,34221.2,NDUFA5,Q16718
37206.8,41842.2,NDUFB11,Q9NX14;Q9NX14-2
38831.9,35952.7,NDUFB6,O95139
47561.2,44850.7,MT-ND4,P03905
49899,41110.2,MT-ND5,P03915
50381.9,48803.1,NDUFV3,P56181-2
64571.7,61770.5,NDUFA7,O95182
74933,68306.9,NDUFS4,O43181
76735.6,75031.3,NDUFA6,P56556
77687.2,73892.6,NDUFB5,O43674;O43674-2
79927.4,72126.8,NDUFB7,P17568
82358.1,78257.1,NDUFA11,Q86Y39
91572.7,88795.4,NDUFA10,O95299
91626.1,84206.2,NDUFA8,P51970
99744.4,99930.9,NDUFS6,O75380
118316,100866,NDUFC2,O95298
120567,107617,NDUFA12,Q9UI09
136829,130364,NDUFB3,O43676
137872,134918,NDUFS5,O43920
139893,132386,NDUFB10,O96000
145328,130800,NDUFA9,Q16795
165007,155256,NDUFS8,O00217
167806,158894,NDUFS3,O75489
169847,158419,NDUFV1,P49821;P49821-2
174687,159414,NDUFB9,Q9Y6M9
177299,174903,NDUFV2,P19404
187550,179280,NDUFS2,O75306
202685,179831,NDUFA2,O43678
210197,200073,NDUFS1,P28331;P28331-2
233336,217320,NDUFS7,O75251
259736,231637,NDUFA13,Q9P0J0
556604,543821,NDUFB4,O95168;O95168-2
55895.4,63425,SDHD,O14521;O14521-2
157418,133933,SDHC,Q99643;Q99643-3;Q99643-5
163694,141171,SDHB,P21912
192864,162853,SDHA,P31040
54445.8,52375.9,UQCRH,P07919
108314,121966,MT-CYB,P00156
112530,112156,UQCRB,P14927
120037,117633,CYC1,P08574
169081,144554,UQCR10,Q9UDW1
221924,223930,UQCRQ,O14949
224618,214749,UQCRC1,P31930
278732,295923,UQCRFS1,P47985
300489,295744,UQCRC2,P22695
16049,16822.7,COX7A1,P24310
19961,17021.2,MT-CO3,P00414
61641.8,95316.7,COX5A,P20674
62455.2,59947.6,MT-CO1,P00395
74469.9,72553.9,COX5B,P10606
90116.4,88426.9,COX6B1,P14854
233690,179224,COX7A2,P14406
234281,203618,COX6C,P09669
270814,295272,NDUFA4,O00483
506652,451935,COX4I1,P13073
772580,719255,MT-CO2,P00403
25418,31152.3,DMAC2L,Q99766
180571,164485,ATP5MPL,P56378
181030,158626,ATP5ME,P56385
208507,221193,MT-ATP6,P00846
213431,212236,ATP5F1D,P30049
241775,190263,ATP5PD,O75947
251518,240917,ATP5PB,P24539
287996,278891,ATP5MD,Q96IX5
512091,449704,ATP5MF,P56134;P56134-3
557661,537281,ATP5F1E;ATP5F1EP2,P56381;Q5VTU8
857637,822064,ATP5PO,P48047
872472,827886,ATP5F1C,P36542
911315,842017,ATP5MG,O75964
1748740,1582120,ATP5F1A,P25705
2099640,1937060,ATP5F1B,P06576
8448.44,6361.25,MRPL42,Q9Y6G3
16946.8,23000.4,MRPL32,Q9BYC8
18373.1,19986.1,MRPL27,Q9P0M9
22806.1,19401.8,MRPL30,Q8TCC3;Q8TCC3-2
28838.5,31399.5,MRPL33,O75394
30817.4,29496.4,CHCHD1,Q96BP2
34343.2,26687.8,MRPS25,P82663
34973,26373.6,MRPS14,O60783
35277.5,30909.4,MRPL51,Q4U2R6
36912.7,29873.4,MRPS30,Q9NP92
41014.9,39640.6,MRPL3,P09001
42373.4,33529.6,MRPS35,P82673
44254.1,40028.7,MRPL28,Q13084
44421.3,35911.1,MRPS9,P82933
47541.3,41469.2,MRPS10,P82664
47892,49169.6,MRPS33,Q9Y291
51636.8,42930.3,MRPS21,P82921
51858.5,45891.6,MRPL49,Q13405
52096.4,50081.4,MRPL14,Q6P1L8
52348.5,42229.3,MRPS17,Q9Y2R5
52678.8,44198.8,MRPL10,Q7Z7H8;Q7Z7H8-2
52944.8,47608.9,MRPL46,Q9H2W6
54237.8,41871.8,MRPS31,Q92665
54281.3,53292.2,MRPL50,Q8N5N7
54715.7,51463.3,MRPL48,Q96GC5;Q96GC5-3
56308.1,51350.3,MRPS18A,Q9NVS2;Q9NVS2-2
56930.6,46102.6,MRPL55,Q7Z7F7;Q7Z7F7-2
58649.2,56933.9,MRPL1,Q9BYD6
59479.7,51144.6,MRPS5,P82675
59786.5,57050.8,MRPL21,Q7Z2W9
60246.7,45149.2,MRPS16,Q9Y3D3
60711.1,57145.4,MRPL4,Q9BYD3
61978.6,65062.4,MRPL35,Q9NZE8
62523.2,58434.6,MRPL44,Q9H9J2
63834.5,50951.4,MRPS12,O15235
65724.5,60019.6,MRPL16,Q9NX20
66406.5,66589,MRPL9,Q9BYD2
67486.7,64969.3,MRPL39,Q9NYK5;Q9NYK5-2
70517.3,66556.3,MRPL13,Q9BYD1
72392.7,68823.7,MRPL37,Q9BZE1
73138.1,54793.6,MRPL43,Q8N983;Q8N983-2;Q8N983-3;Q8N983-4;Q8N983-6;Q8N983-7
73486,58801.9,PTCD3,Q96EY7
73645.9,72565.2,MRPL18,Q9H0U6
73777.5,71356,MRPL47,Q9HD33;Q9HD33-2
74643.6,66807.5,MRPL15,Q9P015
75022.6,56712.3,MRPS26,Q9BYN8
75840.7,62833.7,MRPS15,P82914
76133.4,72320.3,MRPL24,Q96A35
76532.8,60753.9,MRPS22,P82650
76800.8,63314.5,GADD45GIP1,Q8TAE8
79375.5,63321,MRPS27,Q92552;Q92552-2
80385.8,73822,MRPL19,P49406
80473.4,69419.7,MRPS24,Q96EL2
81015,73678.5,MRPL38,Q96DV4
83601.8,71111,MRPS18B,Q9Y676
84764,73421.7,MRPL40,Q9NQ50
85040,77306,MRPL53,Q96EL3
87277.6,69996.8,MRPS2,Q9Y399
92705.1,84517.7,MRPL41,Q8IXM3
96216.4,91988.8,MRPL34,Q9BQ48
96685.6,93927.7,MRPL17,Q9NRX2
96809.8,71335.9,MRPS11,P82912;P82912-2
97990.6,90444,MRPS6,P82932
98638.1,89655.2,MRPL22,Q9NWU5
110087,79167.6,MRPS34,P82930
110218,90283,MRPS23,Q9Y3D9
112323,107844,MRPL23,Q16540
115871,106231,MRPS36,P82909
118796,112107,MRPL11,Q9Y3B7
120695,82145.9,MRPL12,P52815
131480,113424,MRPL2,Q5T653
133054,168299,MRPL58,Q14197
140237,123523,MRPS28,Q9Y2Q9
144505,122638,MRPL20,Q9BYC9
144821,118596,MRPS7,Q9Y2R9
263808,218935,MRPL57,Q9BQC6
1600.84,3228.22,RPUSD3,Q6P087;Q6P087-2
3206.87,9282.05,ISCA1,Q9BUE6;Q9BUE6-2
4697.2,6854.14,ANGEL2,Q5VTE6;Q5VTE6-2
4908.9,21669.8,ACP6,Q9NPH0
5223.67,53764.6,TTC19,Q6DKK2
5666.11,4337.75,CMC2,Q9NRP2
