"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"A2M","P01023",53102.6333333333,110025.666666667,"P01023","nonmito",""
"AAAS","Q9NRG9",185504,223238,"Q9NRG9","nonmito",""
"AACS","Q86V21",127870.666666667,124862.333333333,"Q86V21","nonmito",""
"AAGAB","Q6PD74",309055.333333333,347113,"Q6PD74","nonmito",""
"AAK1","Q2M2I8",96885.2666666667,105879.333333333,"Q2M2I8","nonmito",""
"AAMDC","Q9H7C9",103379.466666667,125084,"Q9H7C9","nonmito",""
"AAMP","Q13685",156721.333333333,163736.333333333,"Q13685","nonmito",""
"AAR2","Q9Y312",154838,180508.333333333,"Q9Y312","nonmito",""
"AARS1","P49588",344474.666666667,367512.666666667,"P49588","nonmito",""
"AARS2","Q5JTZ9",164152,172224.666666667,"Q5JTZ9","mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",239982,185448,"0","nonmito",""
"AASDHPPT","Q9NRN7",330483.333333333,389811.333333333,"Q9NRN7","nonmito",""
"AASS","Q9UDR5",120495,124620.333333333,"Q9UDR5","mito",""
"AATF","Q9NY61",180977,153153,"Q9NY61","nonmito",""
"ABAT","P80404",98453.4333333333,73578.1,"P80404","mito",""
"ABCB10","Q9NRK6",225971.333333333,208970.333333333,"Q9NRK6","mito",""
"ABCB7","O75027;O75027-2",145285,134421.666666667,"O75027","mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",60700.2333333333,55298.6,"Q9NUT2","mito",""
"ABCB9","Q9NP78;Q9NP78-2;Q9NP78-5;Q9NP78-6;Q9NP78-7",3060070,1951565,"Q9NP78","nonmito",""
"ABCC1","P33527;P33527-9",86873.9666666667,69414.6333333333,"P33527","nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",97719.8333333333,116698.333333333,"Q5T3U5","nonmito",""
"ABCC4","O15439",92882.5666666667,89722.8666666667,"O15439","nonmito",""
"ABCD3","P28288",260700,249691.333333333,"P28288","mito",""
"ABCE1","P61221",510037,516828,"P61221","nonmito",""
"ABCF1","Q8NE71",251970,260199,"Q8NE71","nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",320575,387926.666666667,"Q9UG63","nonmito",""
"ABCF3","Q9NUQ8",155330,162736.333333333,"Q9NUQ8","nonmito",""
"ABHD10","Q9NUJ1",173498,155054,"Q9NUJ1","mito",""
"ABHD11","Q8NFV4",162161.333333333,148433,"Q8NFV4","mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",117072.333333333,110804.666666667,"Q8N2K0","nonmito",""
"ABHD14B","Q96IU4",343437,220727,"Q96IU4","nonmito",""
"ABHD16A","O95870",104516.1,95261.7,"O95870","nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",81007.9333333333,69915.8666666667,"Q5VST6","nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",208855.666666667,228084,"Q8IZP0","nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",139237,202715.333333333,"Q9NYB9","nonmito",""
"ABL1","P00519;P00519-2",53062.7666666667,42167.0666666667,"P00519","nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",62399.0666666667,64343.4666666667,"P42684","nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",119985,89843.1666666667,"O14639","nonmito",""
"ABRACL","Q9P1F3",539365.666666667,708677.666666667,"Q9P1F3","nonmito",""
"ABRAXAS2","Q15018",179119,141595.666666667,"Q15018","nonmito",""
"ABT1","Q9ULW3",278618.333333333,246686.333333333,"Q9ULW3","nonmito",""
