"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"A2M","P01023",56377.7,110025.666666667,"P01023","nonmito",""
"AAAS","Q9NRG9",198094.333333333,223238,"Q9NRG9","nonmito",""
"AACS","Q86V21",118735,124862.333333333,"Q86V21","nonmito",""
"AAGAB","Q6PD74",276995.333333333,347113,"Q6PD74","nonmito",""
"AAK1","Q2M2I8",150031,105879.333333333,"Q2M2I8","nonmito",""
"AAMDC","Q9H7C9",128317,125084,"Q9H7C9","nonmito",""
"AAMP","Q13685",88391.4,163736.333333333,"Q13685","nonmito",""
"AAR2","Q9Y312",110644.333333333,180508.333333333,"Q9Y312","nonmito",""
"AARS1","P49588",499238,367512.666666667,"P49588","nonmito",""
"AARS2","Q5JTZ9",173776,172224.666666667,"Q5JTZ9","mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",174222,185448,"0","nonmito",""
"AASDHPPT","Q9NRN7",283501.333333333,389811.333333333,"Q9NRN7","nonmito",""
"AASS","Q9UDR5",113642.666666667,124620.333333333,"Q9UDR5","mito",""
"AATF","Q9NY61",152522.333333333,153153,"Q9NY61","nonmito",""
"ABAT","P80404",154140.333333333,73578.1,"P80404","mito",""
"ABCB10","Q9NRK6",264529.333333333,208970.333333333,"Q9NRK6","mito",""
"ABCB7","O75027;O75027-2",142574.666666667,134421.666666667,"O75027","mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",86863.4666666667,55298.6,"Q9NUT2","mito",""
"ABCC1","P33527;P33527-9",75654.5333333333,69414.6333333333,"P33527","nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",81787.8,116698.333333333,"Q5T3U5","nonmito",""
"ABCC4","O15439",100399.3,89722.8666666667,"O15439","nonmito",""
"ABCD3","P28288",274886.333333333,249691.333333333,"P28288","mito",""
"ABCE1","P61221",473342.333333333,516828,"P61221","nonmito",""
"ABCF1","Q8NE71",138157,260199,"Q8NE71","nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",225341.666666667,387926.666666667,"Q9UG63","nonmito",""
"ABCF3","Q9NUQ8",121286.666666667,162736.333333333,"Q9NUQ8","nonmito",""
"ABHD10","Q9NUJ1",195115.666666667,155054,"Q9NUJ1","mito",""
"ABHD11","Q8NFV4",209579,148433,"Q8NFV4","mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",107772.666666667,110804.666666667,"Q8N2K0","nonmito",""
"ABHD14B","Q96IU4",406193,220727,"Q96IU4","nonmito",""
"ABHD16A","O95870",135572.333333333,95261.7,"O95870","nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",55424.6666666667,69915.8666666667,"Q5VST6","nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",265141.333333333,228084,"Q8IZP0","nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",224212,202715.333333333,"Q9NYB9","nonmito",""
"ABL1","P00519;P00519-2",61383.1333333333,42167.0666666667,"P00519","nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",67032.1333333333,64343.4666666667,"P42684","nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",120391.333333333,89843.1666666667,"O14639","nonmito",""
"ABRACL","Q9P1F3",917639.333333333,708677.666666667,"Q9P1F3","nonmito",""
"ABRAXAS2","Q15018",149823,141595.666666667,"Q15018","nonmito",""
"ABT1","Q9ULW3",259092.666666667,246686.333333333,"Q9ULW3","nonmito",""
"ACAA1","P09110",387863,337439.333333333,"P09110","mito",""
"ACAA2","P42765",198063.666666667,147559.333333333,"P42765","mito",""
"ACACA","Q13085",124180,146795.333333333,"Q13085","mito",""
"ACAD10","Q6JQN1;Q6JQN1-5",107544.4,83033.7333333333,"Q6JQN1","mito",""
"ACAD11","Q709F0",284080,163177.333333333,"Q709F0","mito",""
"ACAD9","Q9H845",180563,153526.333333333,"Q9H845","mito",""
"ACADM","P11310;P11310-2",626097,531504.666666667,"P11310","mito",""
"ACADS","P16219",111951.466666667,110549.666666667,"P16219","mito",""
"ACADSB","P45954",113808,83209.9,"P45954","mito",""
"ACADVL","P49748;P49748-3",274772.666666667,145652.333333333,"P49748","mito",""
"ACAP2","Q15057",75367.1,99265.4,"Q15057","nonmito",""
"ACAT1","P24752",665259.666666667,540739.333333333,"P24752","mito",""
"ACAT2","Q9BWD1",427576.666666667,682183.666666667,"Q9BWD1","nonmito",""
"ACBD3","Q9H3P7",378547.333333333,405642.333333333,"Q9H3P7","nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",80438.0333333333,72097.5666666667,"Q5T8D3","nonmito",""
"ACBD6","Q9BR61",113847,130254,"Q9BR61","nonmito",""
"ACIN1","Q9UKV3",283472.666666667,293487.666666667,"Q9UKV3","nonmito",""
"ACLY","P53396",609012,696581,"P53396","mito",""
"ACO1","P21399",199668.333333333,197682.333333333,"P21399","nonmito",""
"ACO2","Q99798",282758.333333333,239474,"Q99798","mito",""
"ACOT1","Q86TX2",390419.666666667,263742,"Q86TX2","nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",335300.333333333,313576,"Q9NPJ3","mito",""
"ACOT7","O00154-4",658587.333333333,593273.666666667,"O00154","mito",""
"ACOT8","O14734",157736,124898.666666667,"O14734","nonmito",""
"ACOT9","Q9Y305",233238,186486.333333333,"Q9Y305","mito",""
"ACOX1","Q15067;Q15067-2",259533,139009,"Q15067","nonmito",""
"ACOX3","O15254;O15254-2",81377.5,36706.5666666667,"O15254","nonmito",""
"ACP1","P24666",869880,912346.666666667,"P24666","nonmito",""
"ACP2","P11117",357116.666666667,195184,"P11117","nonmito",""
