"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"A2M","P01023",220530.333333333,116903.333333333,"P01023","nonmito",""
"AAAS","Q9NRG9",238182.333333333,241414,"Q9NRG9","nonmito",""
"AACS","Q86V21",144665.666666667,139208,"Q86V21","nonmito",""
"AAGAB","Q6PD74",269868,344834.333333333,"Q6PD74","nonmito",""
"AAK1","Q2M2I8",130122,102102,"Q2M2I8","nonmito",""
"AAMDC","Q9H7C9",128989,121072.333333333,"Q9H7C9","nonmito",""
"AAMP","Q13685",92419.8333333333,163707.666666667,"Q13685","nonmito",""
"AAR2","Q9Y312",146300,187270.666666667,"Q9Y312","nonmito",""
"AARS1","P49588",374121,370602.666666667,"P49588","nonmito",""
"AARS2","Q5JTZ9",95166.6333333333,167010.666666667,"Q5JTZ9","mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",228813,204446.666666667,"0","nonmito",""
"AASDHPPT","Q9NRN7",352578.666666667,390142,"Q9NRN7","nonmito",""
"AASS","Q9UDR5",140683,127370,"Q9UDR5","mito",""
"AATF","Q9NY61",148985.666666667,144523.666666667,"Q9NY61","nonmito",""
"ABAT","P80404",119053.666666667,80216.3333333333,"P80404","mito",""
"ABCB10","Q9NRK6",288723.666666667,215220,"Q9NRK6","mito",""
"ABCB7","O75027;O75027-2",186759.666666667,152151.666666667,"O75027","mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",103610.833333333,54726.2,"Q9NUT2","mito",""
"ABCC1","P33527;P33527-9",98607.6,70598.4666666667,"P33527","nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",51165.4333333333,50113.5666666667,"Q5T3U5","nonmito",""
"ABCC4","O15439",102688.166666667,90917.8666666667,"O15439","nonmito",""
"ABCD3","P28288",267245.666666667,244115.666666667,"P28288","mito",""
"ABCE1","P61221",417772.666666667,522564.333333333,"P61221","nonmito",""
"ABCF1","Q8NE71",163023,256560.666666667,"Q8NE71","nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",232388.666666667,389041,"Q9UG63","nonmito",""
"ABCF3","Q9NUQ8",118581.666666667,163476.666666667,"Q9NUQ8","nonmito",""
"ABHD10","Q9NUJ1",175985.666666667,150561.333333333,"Q9NUJ1","mito",""
"ABHD11","Q8NFV4",173104.666666667,152432,"Q8NFV4","mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",111712.666666667,112690,"Q8N2K0","nonmito",""
"ABHD14B","Q96IU4",409853,238887.333333333,"Q96IU4","nonmito",""
"ABHD16A","O95870",88185.9666666667,94597.1333333333,"O95870","nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",60387.9333333333,70867.8666666667,"Q5VST6","nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",229974,195109.666666667,"Q8IZP0","nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",205456.666666667,168047.333333333,"Q9NYB9","nonmito",""
"ABL1","P00519;P00519-2",42459,54570.3333333333,"P00519","nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",79079.2,70867.0333333333,"P42684","nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",129306.666666667,85248.8666666667,"O14639","nonmito",""
"ABRACL","Q9P1F3",756019.333333333,610678,"Q9P1F3","nonmito",""
"ABRAXAS1","Q6UWZ7",53874.7666666667,59019.3333333333,"Q6UWZ7","nonmito",""
"ABRAXAS2","Q15018",144818.333333333,122923,"Q15018","nonmito",""
"ABT1","Q9ULW3",197780.333333333,249149.666666667,"Q9ULW3","nonmito",""
"ACAA1","P09110",397449.666666667,323258,"P09110","mito",""
"ACAA2","P42765",230715.666666667,150910,"P42765","mito",""
"ACACA","Q13085",113349,147855,"Q13085","mito",""
"ACAD10","Q6JQN1;Q6JQN1-5",103759.333333333,97049.9666666667,"Q6JQN1","mito",""
"ACAD11","Q709F0",356099.666666667,154212,"Q709F0","mito",""
"ACAD8","Q9UKU7",94905.0333333333,115439.333333333,"Q9UKU7","mito",""
"ACAD9","Q9H845",161155,149754,"Q9H845","mito",""
"ACADM","P11310;P11310-2",616505.333333333,540976.333333333,"P11310","mito",""
"ACADS","P16219",146333,103874.133333333,"P16219","mito",""
"ACADSB","P45954",122274.333333333,89702.9,"P45954","mito",""
"ACADVL","P49748;P49748-3",269315.666666667,143348.666666667,"P49748","mito",""
"ACAP2","Q15057",143023.666666667,100290.2,"Q15057","nonmito",""
"ACAT1","P24752",762081.333333333,595388,"P24752","mito",""
"ACAT2","Q9BWD1",517008,660688,"Q9BWD1","nonmito",""
"ACBD3","Q9H3P7",361984.333333333,404679.666666667,"Q9H3P7","nonmito",""
"ACBD6","Q9BR61",103190.633333333,111880,"Q9BR61","nonmito",""
"ACIN1","Q9UKV3",280247.333333333,272698.333333333,"Q9UKV3","nonmito",""
"ACLY","P53396",671535,709631.333333333,"P53396","mito",""
"ACO1","P21399",208391,199801.333333333,"P21399","nonmito",""
"ACO2","Q99798",258924,237303.666666667,"Q99798","mito",""
"ACOT1","Q86TX2",345004,274126,"Q86TX2","nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",315747.666666667,324187.333333333,"Q9NPJ3","mito",""
"ACOT7","O00154-4",924244.333333333,604429.666666667,"O00154","mito",""
"ACOT8","O14734",222770.666666667,122138.333333333,"O14734","nonmito",""
"ACOT9","Q9Y305",268283.333333333,181294.333333333,"Q9Y305","mito",""
"ACOX1","Q15067;Q15067-2",148339.333333333,136740,"Q15067","nonmito",""
"ACOX3","O15254;O15254-2",54969.4666666667,51574,"O15254","nonmito",""
"ACP1","P24666",1054690,885241,"P24666","nonmito",""
"ACP2","P11117",175077.333333333,168358,"P11117","nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",67423.4333333333,33974.3,"Q96CM8","mito",""
"ACSF3","Q4G176",78140.7333333333,85966.4666666667,"Q4G176","mito",""
"ACSL1","P33121;P33121-2",119044.666666667,123996.333333333,"P33121","mito",""
"ACSL3","O95573",242859.666666667,325696.333333333,"O95573","nonmito",""
"ACSL4","O60488;O60488-2",143000,172840.333333333,"O60488","nonmito",""
"ACSS1","Q9NUB1;Q9NUB1-2",200106.666666667,73127.1,"Q9NUB1","mito",""
"ACSS2","Q9NR19;Q9NR19-2",178016.333333333,96691.1,"Q9NR19","nonmito",""
"ACTB","P60709",2469176.66666667,2078623.33333333,"P60709","nonmito",""
"ACTBL2","Q562R1",2013933.33333333,2102496.66666667,"Q562R1","nonmito",""
"ACTC1","P68032",2798413.33333333,2696760,"P68032","nonmito",""
"ACTL6A","O96019",412440.666666667,387383.333333333,"O96019","nonmito",""
"ACTN1","P12814",528571.666666667,489149.666666667,"P12814","nonmito",""
"ACTN4","O43707",540726,478807,"O43707","nonmito",""
"ACTR10","Q9NZ32",139518.333333333,138058.666666667,"Q9NZ32","nonmito",""
"ACTR1A","P61163",732013.333333333,605790.333333333,"P61163","nonmito",""
"ACTR1B","P42025",331859.333333333,254396.666666667,"P42025","nonmito",""
"ACTR2","P61160",717145,734281,"P61160","nonmito",""
"ACTR3","P61158",592040.333333333,556336,"P61158","nonmito",""
"ACTR3B","Q9P1U1",809636,724468.333333333,"Q9P1U1","nonmito",""
"ACTR5","Q9H9F9",82799.3666666667,158981.333333333,"Q9H9F9","nonmito",""
"ACTR6","Q9GZN1",140625.666666667,215344.666666667,"Q9GZN1","nonmito",""
"ACYP1","P07311",442360,295416.666666667,"P07311","nonmito",""
"ACYP2","P14621",64338.4333333333,73265.6333333333,"P14621","nonmito",""
"ADA","P00813",101887.866666667,45423.5333333333,"P00813","nonmito",""
"ADAM10","O14672",106241.2,126505,"O14672","nonmito",""
"ADAM9","Q13443",62766.1333333333,72032.7,"Q13443","nonmito",""
"ADAR","P55265;P55265-4",343402.666666667,322855.666666667,"P55265","nonmito",""
"ADCK1","Q86TW2;Q86TW2-2",96794.8333333333,96327.7,"Q86TW2","mito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",212719.333333333,204358,"P35611","nonmito",""
"ADD2","P35612",103957.666666667,77973.0333333333,"P35612","nonmito",""
"ADD3","Q9UEY8-2",234045,205298.666666667,"Q9UEY8","nonmito",""
"ADGRL2","O95490;O95490-2;O95490-5;O95490-6;O95490-7",85514.6666666667,87804,"O95490","nonmito",""
"ADH5","P11766",399969.333333333,439505.666666667,"P11766","nonmito",""
"ADI1","Q9BV57",606670.666666667,679237,"Q9BV57","nonmito",""
"ADK","P55263",207176.666666667,175400.333333333,"P55263","nonmito",""
"ADNP","Q9H2P0",127327.333333333,131821.333333333,"Q9H2P0","nonmito",""
"ADO","Q96SZ5",126741.333333333,128554,"Q96SZ5","nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",146914.333333333,127093.333333333,"Q9BRR6","nonmito",""
"ADPRS","Q9NX46",169969,133189.666666667,"Q9NX46","nonmito",""
"ADRM1","Q16186",369188.333333333,392768.666666667,"Q16186","nonmito",""
"ADSL","P30566",417082,310576.666666667,"P30566","nonmito",""
"ADSS2","P30520",576160,551706.333333333,"P30520","nonmito",""
"AFDN","P55196;P55196-5",187871.666666667,228632.666666667,"P55196","nonmito",""
"AFF4","Q9UHB7",110111.933333333,139165.333333333,"Q9UHB7","nonmito",""
"AFG3L2","Q9Y4W6",136742.333333333,128857.333333333,"Q9Y4W6","mito",""
