"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"A2M","P01023",62094.3333333333,116903.333333333,"P01023","nonmito",""
"AAAS","Q9NRG9",259277.666666667,241414,"Q9NRG9","nonmito",""
"AACS","Q86V21",111249.333333333,139208,"Q86V21","nonmito",""
"AAGAB","Q6PD74",277946,344834.333333333,"Q6PD74","nonmito",""
"AAK1","Q2M2I8",123823.666666667,102102,"Q2M2I8","nonmito",""
"AAMDC","Q9H7C9",115000,121072.333333333,"Q9H7C9","nonmito",""
"AAMP","Q13685",124860,163707.666666667,"Q13685","nonmito",""
"AAR2","Q9Y312",136395.333333333,187270.666666667,"Q9Y312","nonmito",""
"AARS1","P49588",439662.333333333,370602.666666667,"P49588","nonmito",""
"AARS2","Q5JTZ9",181715.666666667,167010.666666667,"Q5JTZ9","mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",182912.666666667,204446.666666667,"0","nonmito",""
"AASDH","Q4L235;Q4L235-2;Q4L235-3;Q4L235-4",21063.2,32463.95,"Q4L235","nonmito",""
"AASDHPPT","Q9NRN7",343699.666666667,390142,"Q9NRN7","nonmito",""
"AASS","Q9UDR5",126169,127370,"Q9UDR5","mito",""
"AATF","Q9NY61",160563.666666667,144523.666666667,"Q9NY61","nonmito",""
"ABAT","P80404",101721.266666667,80216.3333333333,"P80404","mito",""
"ABCB10","Q9NRK6",215316.333333333,215220,"Q9NRK6","mito",""
"ABCB7","O75027;O75027-2",155001.333333333,152151.666666667,"O75027","mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",61241.4666666667,54726.2,"Q9NUT2","mito",""
"ABCC1","P33527;P33527-9",77560.7666666667,70598.4666666667,"P33527","nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",96554.6,50113.5666666667,"Q5T3U5","nonmito",""
"ABCC4","O15439",81877.7,90917.8666666667,"O15439","nonmito",""
"ABCD3","P28288",282043.333333333,244115.666666667,"P28288","mito",""
"ABCE1","P61221",450070.666666667,522564.333333333,"P61221","nonmito",""
"ABCF1","Q8NE71",202808.666666667,256560.666666667,"Q8NE71","nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",286005.666666667,389041,"Q9UG63","nonmito",""
"ABCF3","Q9NUQ8",112110,163476.666666667,"Q9NUQ8","nonmito",""
"ABHD10","Q9NUJ1",165471.666666667,150561.333333333,"Q9NUJ1","mito",""
"ABHD11","Q8NFV4",172739.333333333,152432,"Q8NFV4","mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",120399.666666667,112690,"Q8N2K0","nonmito",""
"ABHD14B","Q96IU4",243518.333333333,238887.333333333,"Q96IU4","nonmito",""
"ABHD16A","O95870",116942,94597.1333333333,"O95870","nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",49073.5666666667,70867.8666666667,"Q5VST6","nonmito",""
"ABHD6","Q9BV23",133144.666666667,120631.333333333,"Q9BV23","nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",229281.666666667,195109.666666667,"Q8IZP0","nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",224521.333333333,168047.333333333,"Q9NYB9","nonmito",""
"ABL1","P00519;P00519-2",42177.2666666667,54570.3333333333,"P00519","nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",66512.7,70867.0333333333,"P42684","nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",82379.5333333333,85248.8666666667,"O14639","nonmito",""
"ABRACL","Q9P1F3",458668.666666667,610678,"Q9P1F3","nonmito",""
"ABRAXAS1","Q6UWZ7",62559.2333333333,59019.3333333333,"Q6UWZ7","nonmito",""
"ABRAXAS2","Q15018",119891,122923,"Q15018","nonmito",""
"ABT1","Q9ULW3",291470.666666667,249149.666666667,"Q9ULW3","nonmito",""
"ACAA1","P09110",409123,323258,"P09110","mito",""
"ACAA2","P42765",179539.666666667,150910,"P42765","mito",""
"ACACA","Q13085",146673.333333333,147855,"Q13085","mito",""
"ACAD10","Q6JQN1;Q6JQN1-5",90967.2666666667,97049.9666666667,"Q6JQN1","mito",""
"ACAD11","Q709F0",256055,154212,"Q709F0","mito",""
"ACAD8","Q9UKU7",58008.0666666667,115439.333333333,"Q9UKU7","mito",""
"ACAD9","Q9H845",177111.333333333,149754,"Q9H845","mito",""
"ACADM","P11310;P11310-2",657983.333333333,540976.333333333,"P11310","mito",""
"ACADS","P16219",116741.333333333,103874.133333333,"P16219","mito",""
