"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"A2M","P01023",136232.666666667,116903.333333333,"P01023","nonmito",""
"AAAS","Q9NRG9",248821.666666667,241414,"Q9NRG9","nonmito",""
"AACS","Q86V21",107851.666666667,139208,"Q86V21","nonmito",""
"AAGAB","Q6PD74",365665.333333333,344834.333333333,"Q6PD74","nonmito",""
"AAK1","Q2M2I8",100328.966666667,102102,"Q2M2I8","nonmito",""
"AAMDC","Q9H7C9",97196.4333333333,121072.333333333,"Q9H7C9","nonmito",""
"AAMP","Q13685",200865.333333333,163707.666666667,"Q13685","nonmito",""
"AAR2","Q9Y312",137854.333333333,187270.666666667,"Q9Y312","nonmito",""
"AARS1","P49588",427792.666666667,370602.666666667,"P49588","nonmito",""
"AARS2","Q5JTZ9",177144,167010.666666667,"Q5JTZ9","mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",242723.333333333,204446.666666667,"0","nonmito",""
"AASDH","Q4L235;Q4L235-2;Q4L235-3;Q4L235-4",46720.3666666667,32463.95,"Q4L235","nonmito",""
"AASDHPPT","Q9NRN7",388170,390142,"Q9NRN7","nonmito",""
"AASS","Q9UDR5",67408.2,127370,"Q9UDR5","mito",""
"AATF","Q9NY61",159246,144523.666666667,"Q9NY61","nonmito",""
"ABAT","P80404",56527.2333333333,80216.3333333333,"P80404","mito",""
"ABCB10","Q9NRK6",242341.666666667,215220,"Q9NRK6","mito",""
"ABCB7","O75027;O75027-2",137965.333333333,152151.666666667,"O75027","mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",68895.3,54726.2,"Q9NUT2","mito",""
"ABCC1","P33527;P33527-9",65106.6333333333,70598.4666666667,"P33527","nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",100092.966666667,50113.5666666667,"Q5T3U5","nonmito",""
"ABCC4","O15439",97336.8333333333,90917.8666666667,"O15439","nonmito",""
"ABCD3","P28288",242759,244115.666666667,"P28288","mito",""
"ABCE1","P61221",521237,522564.333333333,"P61221","nonmito",""
"ABCF1","Q8NE71",263198.333333333,256560.666666667,"Q8NE71","nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",353196,389041,"Q9UG63","nonmito",""
"ABCF3","Q9NUQ8",145627.333333333,163476.666666667,"Q9NUQ8","nonmito",""
"ABHD10","Q9NUJ1",140244.666666667,150561.333333333,"Q9NUJ1","mito",""
"ABHD11","Q8NFV4",166541.333333333,152432,"Q8NFV4","mito",""
