"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"A2M","P01023",63859.5333333333,110025.666666667,"P01023","nonmito",""
"AAAS","Q9NRG9",209836.333333333,223238,"Q9NRG9","nonmito",""
"AACS","Q86V21",131950.333333333,124862.333333333,"Q86V21","nonmito",""
"AAGAB","Q6PD74",322877.666666667,347113,"Q6PD74","nonmito",""
"AAK1","Q2M2I8",109360,105879.333333333,"Q2M2I8","nonmito",""
"AAMDC","Q9H7C9",127421.333333333,125084,"Q9H7C9","nonmito",""
"AAMP","Q13685",153946.333333333,163736.333333333,"Q13685","nonmito",""
"AAR2","Q9Y312",173235.333333333,180508.333333333,"Q9Y312","nonmito",""
"AARS1","P49588",373657.333333333,367512.666666667,"P49588","nonmito",""
"AARS2","Q5JTZ9",176906,172224.666666667,"Q5JTZ9","mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",205003.333333333,185448,"0","nonmito",""
"AASDHPPT","Q9NRN7",381363.666666667,389811.333333333,"Q9NRN7","nonmito",""
"AASS","Q9UDR5",121611.666666667,124620.333333333,"Q9UDR5","mito",""
"AATF","Q9NY61",149729.666666667,153153,"Q9NY61","nonmito",""
"ABAT","P80404",109213.666666667,73578.1,"P80404","mito",""
"ABCB10","Q9NRK6",245513.333333333,208970.333333333,"Q9NRK6","mito",""
"ABCB7","O75027;O75027-2",134782,134421.666666667,"O75027","mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",66685.5,55298.6,"Q9NUT2","mito",""
"ABCC1","P33527;P33527-9",69433.8333333333,69414.6333333333,"P33527","nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",112191,116698.333333333,"Q5T3U5","nonmito",""
"ABCC4","O15439",106425.666666667,89722.8666666667,"O15439","nonmito",""
"ABCD3","P28288",257726.333333333,249691.333333333,"P28288","mito",""
"ABCE1","P61221",516185.666666667,516828,"P61221","nonmito",""
"ABCF1","Q8NE71",262900,260199,"Q8NE71","nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",340900,387926.666666667,"Q9UG63","nonmito",""
"ABCF3","Q9NUQ8",153113.333333333,162736.333333333,"Q9NUQ8","nonmito",""
"ABHD10","Q9NUJ1",171432.333333333,155054,"Q9NUJ1","mito",""
"ABHD11","Q8NFV4",164920,148433,"Q8NFV4","mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",115652.666666667,110804.666666667,"Q8N2K0","nonmito",""
"ABHD14B","Q96IU4",266577.333333333,220727,"Q96IU4","nonmito",""
"ABHD16A","O95870",106992.7,95261.7,"O95870","nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",68894.7666666667,69915.8666666667,"Q5VST6","nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",217701.666666667,228084,"Q8IZP0","nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",205384,202715.333333333,"Q9NYB9","nonmito",""
"ABL1","P00519;P00519-2",48372.8,42167.0666666667,"P00519","nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",66552.3666666667,64343.4666666667,"P42684","nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",99664.5,89843.1666666667,"O14639","nonmito",""
"ABRACL","Q9P1F3",657625.666666667,708677.666666667,"Q9P1F3","nonmito",""
"ABRAXAS1","Q6UWZ7",49487.0333333333,55951,"Q6UWZ7","nonmito",""
"ABRAXAS2","Q15018",145825.333333333,141595.666666667,"Q15018","nonmito",""
"ABT1","Q9ULW3",238987.333333333,246686.333333333,"Q9ULW3","nonmito",""
"ACAA1","P09110",350439.666666667,337439.333333333,"P09110","mito",""
"ACAA2","P42765",179859.333333333,147559.333333333,"P42765","mito",""
"ACACA","Q13085",152680.333333333,146795.333333333,"Q13085","mito",""
"ACAD10","Q6JQN1;Q6JQN1-5",97052,83033.7333333333,"Q6JQN1","mito",""
"ACAD11","Q709F0",207958.666666667,163177.333333333,"Q709F0","mito",""
"ACAD8","Q9UKU7",142262,113671.333333333,"Q9UKU7","mito",""
"ACAD9","Q9H845",162281.333333333,153526.333333333,"Q9H845","mito",""
"ACADM","P11310;P11310-2",620506.333333333,531504.666666667,"P11310","mito",""
"ACADS","P16219",127303.666666667,110549.666666667,"P16219","mito",""
"ACADSB","P45954",109424,83209.9,"P45954","mito",""
"ACADVL","P49748;P49748-3",164649.666666667,145652.333333333,"P49748","mito",""
"ACAP2","Q15057",100938.033333333,99265.4,"Q15057","nonmito",""
"ACAT1","P24752",602647.333333333,540739.333333333,"P24752","mito",""
"ACAT2","Q9BWD1",627431.333333333,682183.666666667,"Q9BWD1","nonmito",""
"ACBD3","Q9H3P7",399598.666666667,405642.333333333,"Q9H3P7","nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",73201.6666666667,72097.5666666667,"Q5T8D3","nonmito",""
"ACBD6","Q9BR61",126902.333333333,130254,"Q9BR61","nonmito",""
"ACIN1","Q9UKV3",293016,293487.666666667,"Q9UKV3","nonmito",""
"ACLY","P53396",708280.333333333,696581,"P53396","mito",""
"ACO1","P21399",235284.333333333,197682.333333333,"P21399","nonmito",""
"ACO2","Q99798",248032.333333333,239474,"Q99798","mito",""
"ACOT1","Q86TX2",292972,263742,"Q86TX2","nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",320229.666666667,313576,"Q9NPJ3","mito",""
"ACOT7","O00154-4",633915,593273.666666667,"O00154","mito",""
"ACOT8","O14734",131292.333333333,124898.666666667,"O14734","nonmito",""
"ACOT9","Q9Y305",207973.666666667,186486.333333333,"Q9Y305","mito",""
"ACOX1","Q15067;Q15067-2",132583.666666667,139009,"Q15067","nonmito",""
"ACOX3","O15254;O15254-2",42338.7666666667,36706.5666666667,"O15254","nonmito",""
"ACP1","P24666",969019.333333333,912346.666666667,"P24666","nonmito",""
"ACP2","P11117",180898.666666667,195184,"P11117","nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",52115.5333333333,37300.2333333333,"Q96CM8","mito",""
"ACSF3","Q4G176",89620.7333333333,79003.5,"Q4G176","mito",""
"ACSL1","P33121;P33121-2",130112.333333333,124040,"P33121","mito",""
"ACSL3","O95573",285550,337411,"O95573","nonmito",""
"ACSL4","O60488;O60488-2",138518.666666667,160078.333333333,"O60488","nonmito",""
"ACSS1","Q9NUB1;Q9NUB1-2",116929,56843.8666666667,"Q9NUB1","mito",""
"ACSS2","Q9NR19;Q9NR19-2",111113,109915,"Q9NR19","nonmito",""
"ACTB","P60709",1927526.66666667,2020436.66666667,"P60709","nonmito",""
"ACTBL2","Q562R1",1905333.33333333,2119653.33333333,"Q562R1","nonmito",""
"ACTC1","P68032",2184880,2425666.66666667,"P68032","nonmito",""
"ACTL6A","O96019",353370.666666667,359455,"O96019","nonmito",""
"ACTN1","P12814",496451.666666667,500141.333333333,"P12814","nonmito",""
"ACTN4","O43707",461801.333333333,454446.666666667,"O43707","nonmito",""
"ACTR10","Q9NZ32",147884.666666667,143440.666666667,"Q9NZ32","nonmito",""
"ACTR1A","P61163",640154.333333333,647282.666666667,"P61163","nonmito",""
"ACTR1B","P42025",271078.333333333,250754.666666667,"P42025","nonmito",""
"ACTR2","P61160",700765.333333333,713222,"P61160","nonmito",""
"ACTR3","P61158",574092,548553.666666667,"P61158","nonmito",""
"ACTR3B","Q9P1U1",797362,722466.666666667,"Q9P1U1","nonmito",""
"ACTR5","Q9H9F9",159859.333333333,171068.333333333,"Q9H9F9","nonmito",""
"ACTR6","Q9GZN1",218998.333333333,214496.333333333,"Q9GZN1","nonmito",""
"ACTR8","Q9H981",165931,171913,"Q9H981","nonmito",""
"ACVR2B","Q13705",76886.8,67932.1666666667,"Q13705","nonmito",""
"ACYP1","P07311",355096.333333333,282609.333333333,"P07311","nonmito",""
"ACYP2","P14621",88357.1666666667,78660.6666666667,"P14621","nonmito",""
"ADA","P00813",58882.5333333333,41875.5333333333,"P00813","nonmito",""
"ADAM10","O14672",136402.333333333,143148,"O14672","nonmito",""
"ADAM17","P78536",130617.666666667,135204.333333333,"P78536","nonmito",""
"ADAM9","Q13443",72748.3333333333,75806.8,"Q13443","nonmito",""
"ADAR","P55265;P55265-4",325891.333333333,318649,"P55265","nonmito",""
"ADAT2","Q7Z6V5;Q7Z6V5-2",124513.666666667,127902.666666667,"Q7Z6V5","nonmito",""
"ADCK1","Q86TW2;Q86TW2-2",130874.5,115727,"Q86TW2","mito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",213666.666666667,218893.666666667,"P35611","nonmito",""
"ADD2","P35612",84206.8666666667,89418.4666666667,"P35612","nonmito",""
"ADD3","Q9UEY8-2",217573.333333333,214094.333333333,"Q9UEY8","nonmito",""
"ADGRL2","O95490;O95490-2;O95490-5;O95490-6;O95490-7",82822.5333333333,87418.8,"O95490","nonmito",""
"ADH5","P11766",455390,433172.333333333,"P11766","nonmito",""
"ADI1","Q9BV57",651532,660837,"Q9BV57","nonmito",""
"ADK","P55263",214565.333333333,179489.666666667,"P55263","nonmito",""
"ADNP","Q9H2P0",142109.333333333,142585,"Q9H2P0","nonmito",""
"ADO","Q96SZ5",166106,154365,"Q96SZ5","nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",134760.333333333,143380.333333333,"Q9BRR6","nonmito",""
"ADPRS","Q9NX46",147816.333333333,134576.666666667,"Q9NX46","nonmito",""
"ADRM1","Q16186",536608.333333333,538826.666666667,"Q16186","nonmito",""
"ADSL","P30566",307573.666666667,290175.666666667,"P30566","nonmito",""
"ADSS2","P30520",571500.333333333,574075.666666667,"P30520","nonmito",""
"AFDN","P55196;P55196-5",228419.666666667,230775,"P55196","nonmito",""
"AFF4","Q9UHB7",134570.666666667,134639.333333333,"Q9UHB7","nonmito",""
"AFG3L2","Q9Y4W6",125912.666666667,121258,"Q9Y4W6","mito",""
"AGAP3","Q96P47;Q96P47-2;Q96P47-4",101392.033333333,98373.2333333333,"Q96P47","nonmito",""
"AGFG1","P52594;P52594-2;P52594-3;P52594-4",113032,120836.666666667,"P52594","nonmito",""
"AGFG2","O95081",75199.0333333333,67837.9333333333,"O95081","nonmito",""
"AGK","Q53H12",270943,267007,"Q53H12","mito",""
"AGL","P35573",277415.666666667,260853.666666667,"P35573","nonmito",""
"AGO1","Q9UL18",94637.2666666667,89351.8,"Q9UL18","nonmito",""
"AGO2","Q9UKV8",116191,107591.666666667,"Q9UKV8","nonmito",""
"AGPAT1","Q99943",201782.666666667,213751,"Q99943","nonmito",""
"AGPAT4","Q9NRZ5",102763.333333333,111671.666666667,"Q9NRZ5","mito",""
"AGPAT5","Q9NUQ2",69650.7333333333,73729.9666666667,"Q9NUQ2","mito",""
"AGPS","O00116",331112.666666667,318320.333333333,"O00116","nonmito",""
"AGRN","O00468;O00468-3;O00468-4;O00468-5;O00468-6;O00468-7",50382.0666666667,51696.4333333333,"O00468","nonmito",""
"AGTPBP1","Q9UPW5",84591.7333333333,91737.3666666667,"Q9UPW5","nonmito",""
"AGTRAP","Q6RW13",461943.666666667,411555.666666667,"Q6RW13","nonmito",""
"AHCTF1","Q8WYP5;Q8WYP5-2;Q8WYP5-3",99550.5333333333,119803,"Q8WYP5","nonmito",""
"AHCY","P23526",942716.666666667,875756.666666667,"P23526","nonmito",""
"AHCYL1","O43865",313979.333333333,305041.666666667,"O43865","mito",""
"AHCYL2","Q96HN2;Q96HN2-2",258144.666666667,264883,"Q96HN2","nonmito",""
"AHNAK","Q09666",92150.2,105791,"Q09666","nonmito",""
"AHSA1","O95433",536638.666666667,568355.333333333,"O95433","nonmito",""
"AHSG","P02765",188571.666666667,215998.333333333,"P02765","nonmito",""
"AIDA","Q96BJ3",237220,239880.666666667,"Q96BJ3","nonmito",""
"AIF1L","Q9BQI0;Q9BQI0-2;Q9BQI0-3",113069.633333333,144375.433333333,"Q9BQI0","nonmito",""
