"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"A2M","P01023",285087.666666667,110025.666666667,"P01023","nonmito",""
"AAAS","Q9NRG9",221044.333333333,223238,"Q9NRG9","nonmito",""
"AACS","Q86V21",168129.666666667,124862.333333333,"Q86V21","nonmito",""
"AAGAB","Q6PD74",259086.333333333,347113,"Q6PD74","nonmito",""
"AAK1","Q2M2I8",148211.666666667,105879.333333333,"Q2M2I8","nonmito",""
"AAMDC","Q9H7C9",133600.666666667,125084,"Q9H7C9","nonmito",""
"AAMP","Q13685",140966.333333333,163736.333333333,"Q13685","nonmito",""
"AAR2","Q9Y312",178177,180508.333333333,"Q9Y312","nonmito",""
"AARS1","P49588",303097.333333333,367512.666666667,"P49588","nonmito",""
"AARS2","Q5JTZ9",106899.333333333,172224.666666667,"Q5JTZ9","mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",170024.666666667,185448,"0","nonmito",""
"AASDHPPT","Q9NRN7",316336.333333333,389811.333333333,"Q9NRN7","nonmito",""
"AASS","Q9UDR5",169619,124620.333333333,"Q9UDR5","mito",""
"AATF","Q9NY61",147082.333333333,153153,"Q9NY61","nonmito",""
"ABAT","P80404",134100.333333333,73578.1,"P80404","mito",""
"ABCB10","Q9NRK6",291300.666666667,208970.333333333,"Q9NRK6","mito",""
"ABCB7","O75027;O75027-2",168420.333333333,134421.666666667,"O75027","mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",104960,55298.6,"Q9NUT2","mito",""
"ABCC1","P33527;P33527-9",55035.3333333333,69414.6333333333,"P33527","nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",106304.5,116698.333333333,"Q5T3U5","nonmito",""
"ABCC4","O15439",96334.7,89722.8666666667,"O15439","nonmito",""
"ABCD3","P28288",267596,249691.333333333,"P28288","mito",""
"ABCE1","P61221",342779.333333333,516828,"P61221","nonmito",""
"ABCF1","Q8NE71",126698.666666667,260199,"Q8NE71","nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",287294.666666667,387926.666666667,"Q9UG63","nonmito",""
"ABCF3","Q9NUQ8",130070,162736.333333333,"Q9NUQ8","nonmito",""
"ABHD10","Q9NUJ1",217859.333333333,155054,"Q9NUJ1","mito",""
"ABHD11","Q8NFV4",195236.333333333,148433,"Q8NFV4","mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",188298.666666667,110804.666666667,"Q8N2K0","nonmito",""
"ABHD14B","Q96IU4",282590.666666667,220727,"Q96IU4","nonmito",""
"ABHD16A","O95870",93442.4666666667,95261.7,"O95870","nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",105062.666666667,69915.8666666667,"Q5VST6","nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",285202,228084,"Q8IZP0","nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",215589.333333333,202715.333333333,"Q9NYB9","nonmito",""
"ABL1","P00519;P00519-2",50522.5666666667,42167.0666666667,"P00519","nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",63117.8666666667,64343.4666666667,"P42684","nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",136498,89843.1666666667,"O14639","nonmito",""
"ABRACL","Q9P1F3",908657,708677.666666667,"Q9P1F3","nonmito",""
"ABRAXAS1","Q6UWZ7",51292.3333333333,55951,"Q6UWZ7","nonmito",""
"ABRAXAS2","Q15018",143041.666666667,141595.666666667,"Q15018","nonmito",""
"ABT1","Q9ULW3",196083,246686.333333333,"Q9ULW3","nonmito",""
"ACAA1","P09110",438696,337439.333333333,"P09110","mito",""
"ACAA2","P42765",237150,147559.333333333,"P42765","mito",""
"ACACA","Q13085",122239.333333333,146795.333333333,"Q13085","mito",""
"ACAD10","Q6JQN1;Q6JQN1-5",85209.0666666667,83033.7333333333,"Q6JQN1","mito",""
"ACAD11","Q709F0",304038.333333333,163177.333333333,"Q709F0","mito",""
"ACAD9","Q9H845",197318.333333333,153526.333333333,"Q9H845","mito",""
"ACADM","P11310;P11310-2",744034.333333333,531504.666666667,"P11310","mito",""
"ACADS","P16219",200666,110549.666666667,"P16219","mito",""
"ACADSB","P45954",141452.333333333,83209.9,"P45954","mito",""
"ACADVL","P49748;P49748-3",245025,145652.333333333,"P49748","mito",""
"ACAP2","Q15057",130634.333333333,99265.4,"Q15057","nonmito",""
"ACAT1","P24752",680241,540739.333333333,"P24752","mito",""
"ACAT2","Q9BWD1",498982.666666667,682183.666666667,"Q9BWD1","nonmito",""
"ACBD3","Q9H3P7",473616,405642.333333333,"Q9H3P7","nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",107048.333333333,72097.5666666667,"Q5T8D3","nonmito",""
"ACBD6","Q9BR61",152724,130254,"Q9BR61","nonmito",""
"ACIN1","Q9UKV3",262281.666666667,293487.666666667,"Q9UKV3","nonmito",""
