"genename","uniprot","mean_patient","mean_ctrl","UniProt","mito","complex"
"A2M","P01023",90690.0333333333,110025.666666667,"P01023","nonmito",""
"AAAS","Q9NRG9",229433,223238,"Q9NRG9","nonmito",""
"AACS","Q86V21",121893.666666667,124862.333333333,"Q86V21","nonmito",""
"AAGAB","Q6PD74",297262,347113,"Q6PD74","nonmito",""
"AAK1","Q2M2I8",114430.666666667,105879.333333333,"Q2M2I8","nonmito",""
"AAMDC","Q9H7C9",123244,125084,"Q9H7C9","nonmito",""
"AAMP","Q13685",170483,163736.333333333,"Q13685","nonmito",""
"AAR2","Q9Y312",152795,180508.333333333,"Q9Y312","nonmito",""
"AARS1","P49588",366538.333333333,367512.666666667,"P49588","nonmito",""
"AARS2","Q5JTZ9",178166.666666667,172224.666666667,"Q5JTZ9","mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",210780.666666667,185448,"0","nonmito",""
"AASDHPPT","Q9NRN7",361434.666666667,389811.333333333,"Q9NRN7","nonmito",""
"AASS","Q9UDR5",125304,124620.333333333,"Q9UDR5","mito",""
"AATF","Q9NY61",157765.333333333,153153,"Q9NY61","nonmito",""
"ABAT","P80404",113613.666666667,73578.1,"P80404","mito",""
"ABCB10","Q9NRK6",212311.333333333,208970.333333333,"Q9NRK6","mito",""
"ABCB7","O75027;O75027-2",140870,134421.666666667,"O75027","mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",64011.3333333333,55298.6,"Q9NUT2","mito",""
"ABCC1","P33527;P33527-9",75001.6666666667,69414.6333333333,"P33527","nonmito",""
"ABCC4","O15439",93919.3333333333,89722.8666666667,"O15439","nonmito",""
"ABCD3","P28288",245392,249691.333333333,"P28288","mito",""
"ABCE1","P61221",518885.666666667,516828,"P61221","nonmito",""
"ABCF1","Q8NE71",259086.333333333,260199,"Q8NE71","nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",306673,387926.666666667,"Q9UG63","nonmito",""
"ABCF3","Q9NUQ8",157858.333333333,162736.333333333,"Q9NUQ8","nonmito",""
"ABHD10","Q9NUJ1",165773,155054,"Q9NUJ1","mito",""
"ABHD11","Q8NFV4",163072.666666667,148433,"Q8NFV4","mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",119263,110804.666666667,"Q8N2K0","nonmito",""
"ABHD14B","Q96IU4",238570,220727,"Q96IU4","nonmito",""
"ABHD16A","O95870",105686.5,95261.7,"O95870","nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",70230.4333333333,69915.8666666667,"Q5VST6","nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",224135.333333333,228084,"Q8IZP0","nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",203523.333333333,202715.333333333,"Q9NYB9","nonmito",""
"ABL1","P00519;P00519-2",79695.5333333333,42167.0666666667,"P00519","nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",61351.2666666667,64343.4666666667,"P42684","nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",105082.366666667,89843.1666666667,"O14639","nonmito",""
"ABRACL","Q9P1F3",724166.666666667,708677.666666667,"Q9P1F3","nonmito",""
"ABRAXAS1","Q6UWZ7",111162.2,55951,"Q6UWZ7","nonmito",""
"ABRAXAS2","Q15018",138515,141595.666666667,"Q15018","nonmito",""
"ABT1","Q9ULW3",249227,246686.333333333,"Q9ULW3","nonmito",""
"ACAA1","P09110",345446.333333333,337439.333333333,"P09110","mito",""
"ACAA2","P42765",166448.333333333,147559.333333333,"P42765","mito",""
"ACACA","Q13085",142780.666666667,146795.333333333,"Q13085","mito",""
"ACAD10","Q6JQN1;Q6JQN1-5",83630,83033.7333333333,"Q6JQN1","mito",""
"ACAD11","Q709F0",210986.333333333,163177.333333333,"Q709F0","mito",""
"ACAD8","Q9UKU7",118921.833333333,113671.333333333,"Q9UKU7","mito",""
"ACAD9","Q9H845",162443.333333333,153526.333333333,"Q9H845","mito",""
"ACADM","P11310;P11310-2",553324.333333333,531504.666666667,"P11310","mito",""
"ACADS","P16219",101025.9,110549.666666667,"P16219","mito",""
"ACADSB","P45954",107193.666666667,83209.9,"P45954","mito",""
"ACADVL","P49748;P49748-3",148682.666666667,145652.333333333,"P49748","mito",""
"ACAP2","Q15057",102270.333333333,99265.4,"Q15057","nonmito",""
"ACAT1","P24752",563339,540739.333333333,"P24752","mito",""
