"genename","uniprot","mean_patient","mean_ctrl","mito","complex"
"A2M","P01023",556298.1875,2185458.2,"nonmito",""
"AAAS","Q9NRG9",34104.9752633333,25155.583594,"nonmito",""
"AACS","Q86V21",32157.1432266667,35085.373828,"nonmito",""
"AAGAB","Q6PD74",30102.2408866667,33502.086328,"nonmito",""
"AAK1","Q2M2I8",44331.7630233333,46728.79297,"nonmito",""
"AAMDC","Q9H7C9",40269.6979166667,39531.430858,"nonmito",""
"AAMP","Q13685",26678.44401,27175.815624,"nonmito",""
"AAR2","Q9Y312",26353.10482,21399.802734,"nonmito",""
"AARS1","P49588",321245.250033333,202369.4594,"nonmito",""
"AARS2","Q5JTZ9",27673.5104166667,31245.149218,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",63325.64323,66153.883594,"nonmito",""
"AASDHPPT","Q9NRN7",44675.61328,48460.01094,"nonmito",""
"AASS","Q9UDR5",26965.91927,22492.4625,"mito",""
"AATF","Q9NY61",18814.7968733333,21920.201174,"nonmito",""
"ABCB10","Q9NRK6",16092.19043,15596.4957014,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",237740.161466667,136257.90312,"mito",""
"ABCB7","O75027;O75027-2",23234.7089866667,20301.030664,"mito",""
"ABCC1","P33527;P33527-9",42119.96224,33375.03125,"nonmito",""
"ABCC4","O15439;O15439-2",26021.9205733333,24175.287502,"nonmito",""
"ABCD1","P33897",28290.1237,22415.59922,"mito",""
"ABCD3","P28288",43473.3606766667,47124.727346,"mito",""
"ABCE1","P61221",133543.4818,115344.63596,"nonmito",""
"ABCF1","Q8NE71",85439.0104166667,92199.195322,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",44454.53125,59985.089846,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",44324.3776033333,45445.102344,"nonmito",""
"ABHD10","Q9NUJ1",125804.354166667,117026.77812,"mito",""
"ABHD11","Q8NFV4;Q8NFV4-4",64655.1328133333,77030.805468,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",29865.4576833333,67636.489064,"nonmito",""
"ABHD14B","Q96IU4",243682.229166667,191547.54378,"nonmito",""
"ABHD16A","O95870",27631.3229166667,37523.38711,"nonmito",""
"ABHD4","Q8TB40",15353.8512366667,9266.914745,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",25594.79362,56349.873438,"nonmito",""
"ABLIM3","O94929;O94929-2;O94929-3",8246.02750666667,22712.110546,"nonmito",""
