"genename","uniprot","mean_patient","mean_ctrl","mito","complex"
"A2M","P01023",988481,1218337.8,"nonmito",""
"AAAS","Q9NRG9",56217.4,64092,"nonmito",""
"AACS","Q86V21",64195.2333333333,67170.62,"nonmito",""
"AAGAB","Q6PD74",99196.1,102035.9,"nonmito",""
"AAK1","Q2M2I8",81005.2333333333,107611.26,"nonmito",""
"AAMDC","Q9H7C9",70038.3333333333,77654.76,"nonmito",""
"AAMP","Q13685",38400.1666666667,60659.08,"nonmito",""
"AAR2","Q9Y312",47336.3666666667,37725.34,"nonmito",""
"AARS1","P49588",193513.666666667,203694.6,"nonmito",""
"AARS2","Q5JTZ9",34213.8333333333,39915.94,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",79238.0333333333,113986.8,"nonmito",""
"AASDHPPT","Q9NRN7",89279.1666666667,130619.4,"nonmito",""
"AASS","Q9UDR5",46582.3,61167.0666666667,"mito",""
"ABAT","P80404",32954.6666666667,31057.18,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",148557.333333333,47727.76,"mito",""
"ABCB7","O75027;O75027-2",71588.2666666667,64735.56,"mito",""
"ABCC1","P33527;P33527-9",108740.333333333,70074.18,"nonmito",""
"ABCC4","O15439;O15439-2",69298.8333333333,64388.06,"nonmito",""
"ABCD1","P33897",97628,68861.78,"mito",""
"ABCD3","P28288",77217.8,71937.16,"mito",""
"ABCE1","P61221",194157,206159.8,"nonmito",""
"ABCF1","Q8NE71",115486,104476,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",82800.4333333333,97546.08,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",95729.6333333333,117652,"nonmito",""
"ABHD10","Q9NUJ1",87233.0666666667,59746.78,"mito",""
"ABHD11","Q8NFV4",59317.5,59850.58,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",78080.5,96363.52,"nonmito",""
"ABHD14B","Q96IU4",285675.666666667,201462.6,"nonmito",""
