"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",-0.707931353738385,0.718412852626314,"nonmito",""
"AAAS","Q9NRG9",0.114730849055849,1.24046062155585,"nonmito",""
"AACS","Q86V21",0.0325853076530755,0.662571254083658,"nonmito",""
"AAGAB","Q6PD74",-0.210675513909568,2.47040930710095,"nonmito",""
"AAK1","Q2M2I8",0.0819877392005317,0.885699518312165,"nonmito",""
"AAMDC","Q9H7C9",-0.250551281944571,1.7123157997733,"nonmito",""
"AAMP","Q13685",-0.26625617810901,2.35654118869522,"nonmito",""
"AAR2","Q9Y312",-0.231544200088212,2.60026280114654,"nonmito",""
"AARS1","P49588",0.119533052901939,3.12210398424505,"nonmito",""
"AARS2","Q5JTZ9",-0.00924214508074073,0.171959462457625,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.0143879937255385,0.083669338926212,"nonmito",""
"AASDHPPT","Q9NRN7",0.020754171827388,0.136420905035844,"nonmito",""
"AASS","Q9UDR5",0.127451407149387,2.30684852979857,"mito",""
"AATF","Q9NY61",0.127439529918846,1.39398703906326,"nonmito",""
"ABAT","P80404",0.412515480018797,2.61320988563342,"mito",""
"ABCB10","Q9NRK6",0.41517578688563,3.60775079004497,"mito",""
"ABCB7","O75027;O75027-2",0.0891133915351823,1.48445282364133,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",0.552007526091746,3.24564871911416,"mito",""
"ABCC1","P33527;P33527-9",0.261950647648487,2.85010436308788,"nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",0.107282616285058,0.463023960966913,"nonmito",""
"ABCC4","O15439",0.141178383234436,1.28252340760498,"nonmito",""
"ABCD3","P28288",0.0319630374222193,0.675215590563854,"mito",""
"ABCE1","P61221",-0.0521048437865872,1.26252083261902,"nonmito",""
"ABCF1","Q8NE71",-0.0751702082468491,1.80821304810424,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.289924132862865,2.40988214039487,"nonmito",""
