"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",-0.972087151370971,2.07170847023483,"nonmito",""
"AAAS","Q9NRG9",-0.172697959427722,1.94878234062717,"nonmito",""
"AACS","Q86V21",-0.0735587009373972,0.709835245880321,"nonmito",""
"AAGAB","Q6PD74",-0.325327599808791,3.12531385006541,"nonmito",""
"AAK1","Q2M2I8",0.50295115672132,3.71911851120714,"nonmito",""
"AAMDC","Q9H7C9",0.0375859614707075,0.406927430642884,"nonmito",""
"AAMP","Q13685",-0.891002306760466,2.60241109782148,"nonmito",""
"AAR2","Q9Y312",-0.706752066868038,3.39067864328044,"nonmito",""
"AARS1","P49588",0.441879800375727,3.96915597995277,"nonmito",""
"AARS2","Q5JTZ9",0.012554972999606,0.132254551452251,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",-0.0896039649402809,0.563346637037096,"nonmito",""
"AASDHPPT","Q9NRN7",-0.474226413170125,1.08297140896902,"nonmito",""
"AASS","Q9UDR5",-0.132948805433813,2.4991824825782,"mito",""
"AATF","Q9NY61",-0.00767326218331021,0.0475454540925471,"nonmito",""
"ABAT","P80404",1.0664852155239,4.02761940798598,"mito",""
"ABCB10","Q9NRK6",0.340008054009605,3.07758140145259,"mito",""
"ABCB7","O75027;O75027-2",0.0850182423316213,1.43803072082256,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",0.650746117493696,3.27330694653973,"mito",""
"ABCC1","P33527;P33527-9",0.124174694398423,1.6390446459398,"nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",-0.939343903430522,0.428755140776813,"nonmito",""
"ABCC4","O15439",0.159506302672856,0.909899187582358,"nonmito",""
"ABCD3","P28288",0.138377996036773,1.65657376488406,"mito",""
"ABCE1","P61221",-0.127992520411237,1.04866813952201,"nonmito",""
"ABCF1","Q8NE71",-0.913683276867058,4.03115414117818,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.784269943717231,3.67754454992932,"nonmito",""
"ABCF3","Q9NUQ8",-0.424871551624062,2.47743572233529,"nonmito",""
"ABHD10","Q9NUJ1",0.329972890471119,1.84310035657672,"mito",""
"ABHD11","Q8NFV4",0.498101111210921,2.96771911221527,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.0429739895585968,0.238337152174239,"nonmito",""
"ABHD14B","Q96IU4",0.881306867778029,3.23106512377613,"nonmito",""
"ABHD16A","O95870",0.508270365580966,2.83296029811708,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",-0.353127944777032,0.600869664009889,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",0.216821714401572,2.21480717433794,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",0.145890788430343,1.5313754967016,"nonmito",""
"ABL1","P00519;P00519-2",0.555018713916368,1.06436544416667,"nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",0.0611813607985052,0.408647499066674,"nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",0.423605516663322,2.17665118979279,"nonmito",""
"ABRACL","Q9P1F3",0.375109995721559,1.78803909580894,"nonmito",""
"ABRAXAS2","Q15018",0.0811970020563137,1.1965785972943,"nonmito",""
"ABT1","Q9ULW3",0.0703160895418797,0.873843882855636,"nonmito",""
"ACAA1","P09110",0.20112091692009,1.72584348039978,"mito",""
"ACAA2","P42765",0.425231701201316,1.99161566238591,"mito",""
"ACACA","Q13085",-0.242277187068481,1.74813745475181,"mito",""
"ACAD10","Q6JQN1;Q6JQN1-5",0.329345209256029,0.489673341582461,"mito",""
"ACAD11","Q709F0",0.801275449649225,2.93925447406564,"mito",""
"ACAD9","Q9H845",0.234130432678768,3.12513700589563,"mito",""
"ACADM","P11310;P11310-2",0.236114696257321,2.05548226692202,"mito",""
"ACADS","P16219",-0.26950185247534,0.130371197343074,"mito",""
"ACADSB","P45954",0.451336875553697,3.09368755076733,"mito",""
"ACADVL","P49748;P49748-3",0.915809338040031,4.77995514682356,"mito",""
