"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",0.915961301285126,4.37361821187809,"nonmito",""
"AAAS","Q9NRG9",-0.0195675220797895,0.458442286219821,"nonmito",""
"AACS","Q86V21",0.0535339272563675,0.348848898832645,"nonmito",""
"AAGAB","Q6PD74",-0.353857978245948,2.69883709982983,"nonmito",""
"AAK1","Q2M2I8",0.349555127342121,2.68783828707103,"nonmito",""
"AAMDC","Q9H7C9",0.0910167035207614,1.27834178277655,"nonmito",""
"AAMP","Q13685",-0.825022130146237,4.51014672943893,"nonmito",""
"AAR2","Q9Y312",-0.35729040774175,2.00901382427009,"nonmito",""
"AARS1","P49588",0.0124487704115239,0.101342087647501,"nonmito",""
"AARS2","Q5JTZ9",-0.811804553209196,3.33695345389098,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.16072795183744,0.948101635457954,"nonmito",""
"AASDHPPT","Q9NRN7",-0.146108592335249,2.67409968631194,"nonmito",""
"AASS","Q9UDR5",0.143348990986176,2.59907106512997,"mito",""
"AATF","Q9NY61",0.0445328149590445,0.527564733436948,"nonmito",""
"ABAT","P80404",0.570072996107637,2.90925746039571,"mito",""
"ABCB10","Q9NRK6",0.422897534068078,2.38008129582134,"mito",""
"ABCB7","O75027;O75027-2",0.29558881315452,2.79774150726266,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",0.921831440384187,3.32031260658051,"mito",""
"ABCC1","P33527;P33527-9",0.481748219466009,3.46450614109096,"nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",0.0232913305367504,0.0771322072317356,"nonmito",""
"ABCC4","O15439",0.175279875518196,1.95336546584775,"nonmito",""
"ABCD3","P28288",0.130470576822869,2.12415002584854,"mito",""
"ABCE1","P61221",-0.323248817537024,2.63489795700453,"nonmito",""
"ABCF1","Q8NE71",-0.654516898159347,3.16101701657552,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.743833113727828,3.11163453670487,"nonmito",""
"ABCF3","Q9NUQ8",-0.464507852047863,2.08190601747666,"nonmito",""
"ABHD10","Q9NUJ1",0.225291835423182,2.6427074708655,"mito",""
"ABHD11","Q8NFV4",0.180989347687117,1.03125443049016,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.0137283959855736,0.0827722334666509,"nonmito",""
"ABHD14B","Q96IU4",0.777717156979552,2.78482995734197,"nonmito",""
"ABHD16A","O95870",-0.0945769398770295,0.257370837801376,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",-0.23198826030324,1.54840222939353,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",0.237133094309947,2.49493728278773,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",0.288761939733547,1.826206597451,"nonmito",""
"ABL1","P00519;P00519-2",-0.397005575870795,0.361271608022511,"nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",0.158329559064654,1.93098135380696,"nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",0.602791623196381,2.02339071436121,"nonmito",""
"ABRACL","Q9P1F3",0.30991382611932,1.68348610226114,"nonmito",""
"ABRAXAS1","Q6UWZ7",-0.129691185756661,0.7697939317885,"nonmito",""
"ABRAXAS2","Q15018",0.234680864529224,1.41537891257847,"nonmito",""
"ABT1","Q9ULW3",-0.333119773045045,3.22950490071907,"nonmito",""
"ACAA1","P09110",0.29807523841907,5.148447767494,"mito",""
"ACAA2","P42765",0.61229245457022,4.24769343298948,"mito",""
"ACACA","Q13085",-0.383413324491286,4.51110703135874,"mito",""
"ACAD10","Q6JQN1;Q6JQN1-5",0.0967023849591513,1.46422415099538,"mito",""
"ACAD11","Q709F0",1.20693409049044,3.96435741793844,"mito",""
"ACAD8","Q9UKU7",-0.288435123560557,1.07589406018004,"mito",""
"ACAD9","Q9H845",0.10577177330028,2.07305966974066,"mito",""
"ACADM","P11310;P11310-2",0.188512518377138,3.26553871687365,"mito",""
"ACADS","P16219",0.494602074033157,3.02614779385957,"mito",""
"ACADSB","P45954",0.445946302562657,2.2947381733788,"mito",""
"ACADVL","P49748;P49748-3",0.909975408940969,4.72620684857593,"mito",""
"ACAP2","Q15057",0.511692559697014,2.78608307093468,"nonmito",""
"ACAT1","P24752",0.356083834630237,3.54446324894255,"mito",""
"ACAT2","Q9BWD1",-0.354310301036254,2.2744116029755,"nonmito",""
"ACBD3","Q9H3P7",-0.161279048570989,1.74877366764579,"nonmito",""
"ACBD6","Q9BR61",-0.118172715168818,0.885583413662333,"nonmito",""
"ACIN1","Q9UKV3",0.0394501307835426,0.76418773566428,"nonmito",""
"ACLY","P53396",-0.080072018322884,1.05710469404602,"mito",""
"ACO1","P21399",0.0606479677594614,1.58155357248087,"nonmito",""
"ACO2","Q99798",0.125693342646951,2.38619590042947,"mito",""
"ACOT1","Q86TX2",0.331823810628279,3.4911290469062,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",-0.0409980193312158,0.204491999286709,"mito",""
"ACOT7","O00154-4",0.612899809959874,3.99474247316356,"mito",""
"ACOT8","O14734",0.864891535204379,2.56865990975524,"nonmito",""
"ACOT9","Q9Y305",0.565248037250534,3.28644846909888,"mito",""
"ACOX1","Q15067;Q15067-2",0.11712543979819,1.43360566484505,"nonmito",""
"ACOX3","O15254;O15254-2",0.0937379402470384,0.229269051313171,"nonmito",""
"ACP1","P24666",0.252945563589154,2.65303346165399,"nonmito",""
"ACP2","P11117",0.0540187466071629,0.312724909227038,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",1.00786154925166,1.65618845246,"mito",""
"ACSF3","Q4G176",-0.139278995551962,0.993605809999634,"mito",""
"ACSL1","P33121;P33121-2",-0.0589069436898448,0.951627752330268,"mito",""
"ACSL3","O95573",-0.423418883388965,5.04594783239571,"nonmito",""
"ACSL4","O60488;O60488-2",-0.273523217025375,2.97374194350148,"nonmito",""
"ACSS1","Q9NUB1;Q9NUB1-2",1.4498444158001,2.94332979705285,"mito",""
"ACSS2","Q9NR19;Q9NR19-2",0.885030152958802,2.42353365249362,"nonmito",""
"ACTB","P60709",0.245221528586907,1.19346931325962,"nonmito",""
"ACTBL2","Q562R1",-0.081289845946305,0.139740553135322,"nonmito",""
"ACTC1","P68032",0.0537549901808951,0.836344641504378,"nonmito",""
"ACTL6A","O96019",0.0902108960470329,1.05017110658618,"nonmito",""
"ACTN1","P12814",0.109898712814068,0.76297661060274,"nonmito",""
"ACTN4","O43707",0.174124242605114,1.25082086264282,"nonmito",""
"ACTR10","Q9NZ32",0.0154602882172803,0.17502431660466,"nonmito",""
"ACTR1A","P61163",0.273148167593771,3.23848136075621,"nonmito",""
"ACTR1B","P42025",0.383834447070608,2.81728428448025,"nonmito",""
"ACTR2","P61160",-0.0341079011185101,1.32828893510167,"nonmito",""
"ACTR3","P61158",0.0888528594024471,0.883297179371776,"nonmito",""
"ACTR3B","Q9P1U1",0.160716125622319,1.87323461270461,"nonmito",""
