"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",-0.913588647402799,3.71004114809609,"nonmito",""
"AAAS","Q9NRG9",0.103009311603738,3.10668710752753,"nonmito",""
"AACS","Q86V21",-0.324026814553932,2.46759823767939,"nonmito",""
"AAGAB","Q6PD74",-0.310519531967685,2.36725186023199,"nonmito",""
"AAK1","Q2M2I8",0.27828413847871,5.1962498770871,"nonmito",""
"AAMDC","Q9H7C9",-0.0756860675538782,0.612789308017814,"nonmito",""
"AAMP","Q13685",-0.390868959129168,4.38583266428622,"nonmito",""
"AAR2","Q9Y312",-0.457534099260155,3.52678868873828,"nonmito",""
"AARS1","P49588",0.246474625470167,3.23675909602165,"nonmito",""
"AARS2","Q5JTZ9",0.121598198558733,2.07156810822109,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",-0.159715154847529,1.40460685902984,"nonmito",""
"AASDH","Q4L235;Q4L235-2;Q4L235-3;Q4L235-4",-0.609587088360717,0.718385758139608,"nonmito",""
"AASDHPPT","Q9NRN7",-0.183296826167755,1.74542815351004,"nonmito",""
"AASS","Q9UDR5",-0.0136148587052958,0.394047974080597,"mito",""
"AATF","Q9NY61",0.152388594696347,1.59732839213309,"nonmito",""
"ABAT","P80404",0.342246318397397,2.68031275758959,"mito",""
"ABCB10","Q9NRK6",0.000659788839413977,0.0095035677265076,"mito",""
"ABCB7","O75027;O75027-2",0.0272361341061647,0.392894395369988,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",0.161380112645565,0.741913382012098,"mito",""
"ABCC1","P33527;P33527-9",0.135615529496619,2.0983318270189,"nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",0.945944419536476,4.81193220525147,"nonmito",""
"ABCC4","O15439",-0.151896649608119,1.38347948283094,"nonmito",""
"ABCD3","P28288",0.208334440219542,4.37593455274672,"mito",""
"ABCE1","P61221",-0.215496686220781,3.64363795238168,"nonmito",""
"ABCF1","Q8NE71",-0.339230502034216,3.92210450378761,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.444100235781921,3.10484767111463,"nonmito",""
"ABCF3","Q9NUQ8",-0.544552375739212,2.83046454754496,"nonmito",""
"ABHD10","Q9NUJ1",0.13642042177618,1.91019024711227,"mito",""
"ABHD11","Q8NFV4",0.180404564782428,2.64823327265311,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",0.0958473049976547,1.2423205284991,"nonmito",""
"ABHD14B","Q96IU4",0.027282022594509,0.377215996759271,"nonmito",""
"ABHD16A","O95870",0.316143804188407,0.906524789851333,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",-0.53252700560717,1.92887435067173,"nonmito",""
