"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",0.221324427876461,1.99970432207197,"nonmito",""
"AAAS","Q9NRG9",0.0433316154054175,0.77001392742551,"nonmito",""
"AACS","Q86V21",-0.369158864160102,2.27320377167048,"nonmito",""
"AAGAB","Q6PD74",0.0841050361062727,0.715857694843249,"nonmito",""
"AAK1","Q2M2I8",-0.0252705889663964,1.33542839487318,"nonmito",""
"AAMDC","Q9H7C9",-0.316841564945364,4.00212914876842,"nonmito",""
"AAMP","Q13685",0.294464737791625,2.14696429331139,"nonmito",""
"AAR2","Q9Y312",-0.443386332037285,2.06859900029499,"nonmito",""
"AARS1","P49588",0.206345206869337,1.64918059842631,"nonmito",""
"AARS2","Q5JTZ9",0.085001095502669,3.00001210067386,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.24859991162225,1.71184626012198,"nonmito",""
"AASDH","Q4L235;Q4L235-2;Q4L235-3;Q4L235-4",0.537847438887294,0.662977454461106,"nonmito",""
"AASDHPPT","Q9NRN7",-0.00755260750907283,0.136929385598604,"nonmito",""
"AASS","Q9UDR5",-0.920146945517008,2.55921617536285,"mito",""
"AATF","Q9NY61",0.140642204730778,1.35386767070925,"nonmito",""
"ABAT","P80404",-0.505049009637974,3.693968849331,"mito",""
"ABCB10","Q9NRK6",0.171246656601145,2.77212990643605,"mito",""
"ABCB7","O75027;O75027-2",-0.140909627652483,1.81692856309378,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",0.334723700441598,1.61601971536599,"mito",""
"ABCC1","P33527;P33527-9",-0.117409058122993,1.26316619598446,"nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",0.953776789475031,1.17446195868135,"nonmito",""
"ABCC4","O15439",0.0983402852421982,1.56580666300393,"nonmito",""
"ABCD3","P28288",-0.00829378116162971,0.144431474920961,"mito",""
"ABCE1","P61221",-0.00364629999456767,0.10448740474948,"nonmito",""
