"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",0.453079847667929,2.94414185504696,"nonmito",""
"AAAS","Q9NRG9",0.0311562144536914,0.975023249227275,"nonmito",""
"AACS","Q86V21",-0.160915912452452,0.609977047913241,"nonmito",""
"AAGAB","Q6PD74",-0.424769306254905,2.28744705037377,"nonmito",""
"AAK1","Q2M2I8",-0.020654826580941,0.234850511673887,"nonmito",""
"AAMDC","Q9H7C9",-0.00142460974512559,0.00987423310068192,"nonmito",""
"AAMP","Q13685",0.554068152278024,2.44761940540295,"nonmito",""
"AAR2","Q9Y312",0.0847858056711139,1.5555319377561,"nonmito",""
"AARS1","P49588",0.0104686565451253,0.297204259876149,"nonmito",""
"AARS2","Q5JTZ9",-0.05014744229657,1.00536284926591,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.188384484101071,1.18545033182054,"nonmito",""
"AASDHPPT","Q9NRN7",0.00914658308198923,0.0596256248313414,"nonmito",""
"AASS","Q9UDR5",-0.692997412026408,3.39290340118441,"mito",""
"AATF","Q9NY61",0.34818742304741,3.11904406285533,"nonmito",""
"ABAT","P80404",-0.313993438274476,1.21570438238687,"mito",""
"ABCB10","Q9NRK6",-0.296171414663718,2.66385027024025,"mito",""
"ABCB7","O75027;O75027-2",0.117430183096896,0.967922384772972,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",0.131756201721082,0.531322548231453,"mito",""
"ABCC1","P33527;P33527-9",-0.00764421538794835,0.0318684001308471,"nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",0.0383213166351659,0.141466961007141,"nonmito",""
"ABCC4","O15439",-0.105186624074225,1.54427651660355,"nonmito",""
"ABCD3","P28288",-0.194053868698266,1.52901635362023,"mito",""
"ABCE1","P61221",0.181270762727546,3.07955987650291,"nonmito",""
"ABCF1","Q8NE71",0.0518922484051778,0.903122547246735,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.316469793236621,2.74007825541924,"nonmito",""
"ABCF3","Q9NUQ8",-0.0252292859427534,0.289291438753803,"nonmito",""
"ABHD10","Q9NUJ1",0.207375816110801,2.83497753312619,"mito",""
"ABHD11","Q8NFV4",0.0607869353401291,0.853062232926085,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.0291081049824164,0.356269028648248,"nonmito",""
"ABHD14B","Q96IU4",0.0857101575072292,0.579313423415045,"nonmito",""
"ABHD16A","O95870",-0.187133901882142,0.909399196507112,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",-0.416079194238609,0.797446659124825,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",0.142925788797889,2.09874508416831,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",-0.214367407549666,1.99751850049092,"nonmito",""
"ABL1","P00519;P00519-2",0.350604784864343,0.679284701969601,"nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",-0.24463687166989,1.48119595982943,"nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",0.308044180665206,1.3648295274604,"nonmito",""
"ABRACL","Q9P1F3",-0.0940929735398477,0.209606274847042,"nonmito",""
"ABRAXAS1","Q6UWZ7",-0.197551569223817,1.25984174639482,"nonmito",""
"ABRAXAS2","Q15018",0.141185570640545,2.01722227362582,"nonmito",""
"ABT1","Q9ULW3",0.322832123566656,3.74920220142043,"nonmito",""
"ACAA1","P09110",-0.160919909166871,1.48405700312786,"mito",""
"ACAA2","P42765",-0.0585870377022282,0.297103162072969,"mito",""
"ACACA","Q13085",-0.274960382021945,3.9889020538192,"mito",""
"ACAD10","Q6JQN1;Q6JQN1-5",-0.161594536247744,0.759717516560016,"mito",""
"ACAD11","Q709F0",0.337484065938849,2.14566646979173,"mito",""
"ACAD8","Q9UKU7",-0.553008742414445,1.48505867028065,"mito",""
"ACAD9","Q9H845",0.176605608458676,2.10617733850459,"mito",""
"ACADM","P11310;P11310-2",0.108559052473545,1.11271913440213,"mito",""
"ACADS","P16219",0.209074047007523,1.20946031340655,"mito",""
"ACADSB","P45954",0.284487400107409,3.29753809216052,"mito",""
"ACADVL","P49748;P49748-3",-0.0283819448647478,0.354786439140129,"mito",""
"ACAP2","Q15057",0.0516058495996887,0.653176311517663,"nonmito",""
"ACAT1","P24752",0.00333311590048879,0.059831540150018,"mito",""
"ACAT2","Q9BWD1",-0.484919642490055,2.39535122458359,"nonmito",""
"ACBD3","Q9H3P7",-0.334804989673042,2.83217086288153,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",0.130271655273198,0.256019101855853,"nonmito",""
"ACBD6","Q9BR61",-0.421536221479091,1.34875392365337,"nonmito",""
"ACIN1","Q9UKV3",-0.0669652110035166,1.00791679646448,"nonmito",""
"ACLY","P53396",-0.170699217412377,3.0590285851977,"mito",""
"ACO1","P21399",-0.233525017269642,2.12171135660551,"nonmito",""
"ACO2","Q99798",0.0434479721809176,0.660727776981508,"mito",""
"ACOT1","Q86TX2",0.0987614838281061,3.94189997124648,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",-0.244683339377836,2.90269831901413,"mito",""
"ACOT7","O00154-4",0.203570314128072,2.53407855774256,"mito",""
"ACOT8","O14734",-0.0860219508111442,0.288136686661799,"nonmito",""
"ACOT9","Q9Y305",0.179627462949409,2.1076695189122,"mito",""
"ACOX1","Q15067;Q15067-2",-0.313610624114219,2.03531857951777,"nonmito",""
"ACP1","P24666",0.0358253545387228,0.625398865258721,"nonmito",""
"ACP2","P11117",-0.0990247314164527,2.14786623683107,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",-0.00440487883522955,0.0143472884551564,"mito",""
"ACSF3","Q4G176",-0.0683257715623427,0.58151218618446,"mito",""
"ACSL1","P33121;P33121-2",0.321192581552076,2.2430979806117,"mito",""
"ACSL3","O95573",-0.283592539625719,2.75495254042062,"nonmito",""
"ACSL4","O60488;O60488-2",-0.51533668126795,3.5781413311182,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",-0.0328334169451772,0.124093560128475,"nonmito",""
"ACTB","P60709",-0.0192113674268164,0.0683057877959358,"nonmito",""
"ACTBL2","Q562R1",-0.195555963732691,0.262463860747445,"nonmito",""
"ACTC1","P68032",-0.0769944162046237,0.974646297604961,"nonmito",""
"ACTL6A","O96019",0.113485502911221,0.972512849356085,"nonmito",""
"ACTN1","P12814",0.1506192371174,3.33949189687331,"nonmito",""
