"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",-0.708795832770729,2.2249920730401,"nonmito",""
"AAAS","Q9NRG9",-0.030493826176226,1.65693872011724,"nonmito",""
"AACS","Q86V21",0.00687913626542169,0.0511526836199644,"nonmito",""
"AAGAB","Q6PD74",-0.565198111099026,3.21091662150326,"nonmito",""
"AAK1","Q2M2I8",0.0250432605114383,0.19673603888273,"nonmito",""
"AAMDC","Q9H7C9",-0.258542303107326,2.2970045819764,"nonmito",""
"AAMP","Q13685",-0.0123845574908259,0.110833161112261,"nonmito",""
"AAR2","Q9Y312",-0.264118493252667,1.09982239427123,"nonmito",""
"AARS1","P49588",0.13361218149446,1.62895351027495,"nonmito",""
"AARS2","Q5JTZ9",0.0993496464824162,1.30634071253252,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.0851219836016526,0.544629571800573,"nonmito",""
"AASDHPPT","Q9NRN7",-0.14877397232133,0.985985605278765,"nonmito",""
"AASS","Q9UDR5",0.0657252701742514,1.13940149628014,"mito",""
"AATF","Q9NY61",0.117455303121467,1.19129042539335,"nonmito",""
"ABAT","P80404",0.563335072799109,2.64478200784842,"mito",""
"ABCB10","Q9NRK6",0.28953701170105,2.43536556248419,"mito",""
"ABCB7","O75027;O75027-2",0.210524909356717,2.63166169104247,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",0.537211163283683,2.72458757780294,"mito",""
"ABCC1","P33527;P33527-9",0.208486971315111,2.49944492179068,"nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",0.154593894834839,0.345206075884496,"nonmito",""
"ABCC4","O15439",-0.269442299263211,1.48032760200511,"nonmito",""
"ABCD3","P28288",0.0799763951716059,0.841200512073699,"mito",""
"ABCE1","P61221",0.062518566888528,1.28736350936068,"nonmito",""
"ABCF1","Q8NE71",0.0300585533546247,0.522358782137793,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.423801537828652,1.84907601888852,"nonmito",""
"ABCF3","Q9NUQ8",-0.162258567019141,1.77734763976458,"nonmito",""
"ABHD10","Q9NUJ1",0.131933469838479,1.23185741864727,"mito",""
"ABHD11","Q8NFV4",0.286466395100739,2.45425156384223,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",0.0634999950709982,0.352770232392782,"nonmito",""
"ABHD14B","Q96IU4",-0.261780110320295,1.63614698991092,"nonmito",""
"ABHD16A","O95870",0.140148252388403,0.425438062012766,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",-0.03170156608018,0.0722534099291396,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",0.0774955791472998,1.11827964685222,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",0.0696054715074332,0.74514791541958,"nonmito",""
"ABL1","P00519;P00519-2",0.207933482497539,0.336930999063327,"nonmito",""
