"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",-0.21305724508586,2.07090653665766,"nonmito",""
"AAAS","Q9NRG9",0.0485445608886401,0.708201472367206,"nonmito",""
"AACS","Q86V21",-0.0868947063261238,0.595728117235709,"nonmito",""
"AAGAB","Q6PD74",-0.227340425854582,2.23375481747317,"nonmito",""
"AAK1","Q2M2I8",0.35138058270465,2.77534505845149,"nonmito",""
"AAMDC","Q9H7C9",-0.0427088916936071,0.426964450755675,"nonmito",""
"AAMP","Q13685",0.192722532799781,1.41384210136147,"nonmito",""
"AAR2","Q9Y312",-0.404961801211812,1.58989539795323,"nonmito",""
"AARS1","P49588",0.344212706945481,1.95778780577128,"nonmito",""
"AARS2","Q5JTZ9",0.192448330789183,2.14868210107105,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.299419799926618,1.75132759179182,"nonmito",""
"AASDHPPT","Q9NRN7",-0.279099208807281,1.10340916533256,"nonmito",""
"AASS","Q9UDR5",-0.0562176448001281,0.870524083168269,"mito",""
"AATF","Q9NY61",-0.0349409982435951,0.707769476636267,"nonmito",""
"ABAT","P80404",0.873143159152473,3.65580838950616,"mito",""
"ABCB10","Q9NRK6",0.136044304927005,1.437270141712,"mito",""
"ABCB7","O75027;O75027-2",-0.697031395437772,3.01849345118955,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",0.447262941525914,3.29315836605505,"mito",""
"ABCC1","P33527;P33527-9",-0.00989991556230407,0.0854069125287456,"nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",0.157847139597131,0.441863915754234,"nonmito",""
"ABCC4","O15439",-0.152376071260296,1.59906864761357,"nonmito",""
"ABCD3","P28288",-0.0808683962834102,1.0729208999391,"mito",""
"ABCE1","P61221",0.0433039203452559,1.05577258261137,"nonmito",""
"ABCF1","Q8NE71",-0.0735931009721504,1.85490903985265,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.629056081947816,1.71582973829545,"nonmito",""
"ABCF3","Q9NUQ8",-0.225694317106395,1.91653888819192,"nonmito",""
"ABHD10","Q9NUJ1",0.0749245332784625,0.395621973199414,"mito",""
"ABHD11","Q8NFV4",0.0516179579921001,0.730462882693603,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",0.225846056112509,1.91530081783841,"nonmito",""
"ABHD14B","Q96IU4",0.68925493494628,3.01114280829809,"nonmito",""
"ABHD16A","O95870",0.13773991430854,0.602971708752316,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",-0.0363031372225961,0.0809167461165655,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",0.0436681598376616,0.30012272149145,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",0.147200974687362,0.906222546870777,"nonmito",""
"ABL1","P00519;P00519-2",0.499864851106924,0.953444903227259,"nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",0.108421977369774,0.729294880584948,"nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",0.27936599304029,1.41981665060399,"nonmito",""
"ABRACL","Q9P1F3",0.229565429643507,1.23375322834485,"nonmito",""
"ABRAXAS1","Q6UWZ7",-0.373265390550181,0.115897990724962,"nonmito",""
"ABRAXAS2","Q15018",0.116577005798497,1.57604739072729,"nonmito",""
"ABT1","Q9ULW3",-0.124408814360596,0.720246361138031,"nonmito",""
"ACAA1","P09110",-0.0861315190345096,0.583404384266228,"mito",""
"ACAA2","P42765",0.0303370574817272,0.0868024745272571,"mito",""
"ACACA","Q13085",-0.0387372256559182,0.820874478580409,"mito",""
"ACAD10","Q6JQN1;Q6JQN1-5",0.118663174966279,0.598326006920494,"mito",""
"ACAD11","Q709F0",0.628274471984579,2.43924752596542,"mito",""
"ACAD9","Q9H845",0.0998361591330621,1.37054720322779,"mito",""
"ACADM","P11310;P11310-2",0.320754404551209,2.62911189617743,"mito",""
"ACADS","P16219",0.432916638479963,1.4761883197805,"mito",""
"ACADSB","P45954",0.249075526108349,1.58660167961972,"mito",""
"ACADVL","P49748;P49748-3",0.994000191013342,4.5898734011902,"mito",""
"ACAP2","Q15057",0.1825406518325,0.989863640370255,"nonmito",""
"ACAT1","P24752",0.0369240817605458,1.17048125313442,"mito",""
"ACAT2","Q9BWD1",-0.150700415749636,0.700808270914777,"nonmito",""
"ACBD3","Q9H3P7",-0.0760921688845535,0.808830068049534,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",0.28593498049478,0.477555361563846,"nonmito",""
"ACBD6","Q9BR61",-0.0508529990318998,0.26285514090396,"nonmito",""
"ACIN1","Q9UKV3",-0.0512889456324892,0.622205835265804,"nonmito",""
"ACLY","P53396",-0.243842147711174,1.41803399030237,"mito",""
"ACO1","P21399",-0.181020550464794,1.55697410642434,"nonmito",""
"ACO2","Q99798",0.108768911745067,1.55558541197939,"mito",""
"ACOT1","Q86TX2",0.166379222579433,1.63220659408138,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",0.234884934761613,1.58233837687797,"mito",""
"ACOT7","O00154-4",0.016017013310833,0.163258942881215,"mito",""
"ACOT8","O14734",0.521760801045851,2.36250075839708,"nonmito",""
"ACOT9","Q9Y305",0.104802847514502,1.23016127745997,"mito",""
