"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",-0.3403310975912,2.66461714056014,"nonmito",""
"AAAS","Q9NRG9",-0.124948895259795,0.484484647858417,"nonmito",""
"AACS","Q86V21",-0.242361207713202,1.03559238939537,"nonmito",""
"AAGAB","Q6PD74",-0.157460462149473,1.66631082660855,"nonmito",""
"AAK1","Q2M2I8",0.230510035430704,1.27933439308572,"nonmito",""
"AAMDC","Q9H7C9",0.0268050246274996,0.252055927964502,"nonmito",""
"AAMP","Q13685",0.173303978991395,2.63079640572131,"nonmito",""
"AAR2","Q9Y312",-0.148677016639684,2.38915332144221,"nonmito",""
"AARS1","P49588",0.297947899823214,3.00241702475506,"nonmito",""
"AARS2","Q5JTZ9",0.0512158045413678,0.290159165361715,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.190341910554764,1.3098751670716,"nonmito",""
"AASDHPPT","Q9NRN7",-0.238797550657964,0.446994765657114,"nonmito",""
"AASS","Q9UDR5",0.256318501646156,1.42062305545096,"mito",""
"AATF","Q9NY61",-0.054409278830061,0.424531778767887,"nonmito",""
"ABAT","P80404",0.566523429708745,1.39541845807117,"mito",""
"ABCB10","Q9NRK6",0.106415497078505,1.17594633677999,"mito",""
"ABCB7","O75027;O75027-2",0.232565808405763,2.89549815141106,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",0.307929016462502,1.07815719995482,"mito",""
"ABCC1","P33527;P33527-9",0.0496543649021497,0.363127751692504,"nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",0.0286085440987378,0.036678890387142,"nonmito",""
"ABCC4","O15439",-0.0029085527985977,0.034639244835154,"nonmito",""
"ABCD3","P28288",0.00946906927485358,0.155839093923397,"mito",""
"ABCE1","P61221",0.00621664099992003,0.0388366764922529,"nonmito",""
"ABCF1","Q8NE71",-0.0246612676013704,0.212292138194119,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.437249924099088,3.4462778603593,"nonmito",""
"ABCF3","Q9NUQ8",-0.20645007802727,2.05849331901975,"nonmito",""
"ABHD10","Q9NUJ1",0.0987560964483798,0.305596403182116,"mito",""
"ABHD11","Q8NFV4",0.0371761268242139,0.196862042948509,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",0.136112835296228,0.986175127292496,"nonmito",""
"ABHD14B","Q96IU4",0.334398296877726,1.84524285954665,"nonmito",""
"ABHD16A","O95870",0.0956754231783208,0.895198337962135,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",-0.0780516240480438,0.201164010921451,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",0.210877828289238,2.46809744034999,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",0.177506721127877,0.91102797900471,"nonmito",""
"ABL1","P00519;P00519-2",0.549182029935421,1.060773614371,"nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",0.187733611476835,1.18899873944992,"nonmito",""
