"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",1.37358582460448,5.36599065074876,"nonmito",""
"AAAS","Q9NRG9",-0.0143413461890312,0.404226302674606,"nonmito",""
"AACS","Q86V21",0.42845055614152,2.43566300285485,"nonmito",""
"AAGAB","Q6PD74",-0.421758915138341,3.52723138281073,"nonmito",""
"AAK1","Q2M2I8",0.48502920192082,3.39477583774612,"nonmito",""
"AAMDC","Q9H7C9",0.0956008541666904,1.04091112431917,"nonmito",""
"AAMP","Q13685",-0.21638385512902,2.10694402514346,"nonmito",""
"AAR2","Q9Y312",-0.0190536729462778,0.233849176022609,"nonmito",""
"AARS1","P49588",-0.278022331571073,5.27962607273034,"nonmito",""
"AARS2","Q5JTZ9",-0.688587902312847,3.50262376734182,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",-0.123456140093872,0.856480547775033,"nonmito",""
"AASDHPPT","Q9NRN7",-0.300690142294236,1.98061501935917,"nonmito",""
"AASS","Q9UDR5",0.444634095837991,3.97798725528024,"mito",""
"AATF","Q9NY61",-0.058344968100176,1.62821457826553,"nonmito",""
"ABAT","P80404",0.866871993120395,3.49406247202402,"mito",""
"ABCB10","Q9NRK6",0.479570793960566,3.01560319881868,"mito",""
"ABCB7","O75027;O75027-2",0.325547833287452,2.84728459311387,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",0.92341853976038,3.45999625353229,"mito",""
"ABCC1","P33527;P33527-9",-0.336333411955943,1.94161993168917,"nonmito",""
"ABCC10","Q5T3U5;Q5T3U5-2",-0.13405502757923,0.528501794789856,"nonmito",""
"ABCC4","O15439",0.101906540834893,1.06129603315998,"nonmito",""
"ABCD3","P28288",0.0996536404444015,1.46498430425931,"mito",""
"ABCE1","P61221",-0.592415825850033,6.33563560955968,"nonmito",""
"ABCF1","Q8NE71",-1.0382631226986,5.90519910810287,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.432952544435228,2.88787726109737,"nonmito",""
"ABCF3","Q9NUQ8",-0.323550383034142,2.8697800285892,"nonmito",""
"ABHD10","Q9NUJ1",0.490771209052763,4.07089325807263,"mito",""
"ABHD11","Q8NFV4",0.395790018190791,2.91646196183129,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",0.764544891721144,3.06676898932896,"nonmito",""
"ABHD14B","Q96IU4",0.358288770787482,1.84216365603552,"nonmito",""
"ABHD16A","O95870",-0.0314513796958629,0.132441186127512,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",0.5973587693972,1.49513990524011,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",0.322520191614746,3.64216398744034,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",0.0884252633841562,0.748213456404528,"nonmito",""
"ABL1","P00519;P00519-2",0.229047808980546,0.263673414754458,"nonmito",""
"ABL2","P42684;P42684-5;P42684-6;P42684-7",-0.0267797308012341,0.141044357153098,"nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",0.605776302111991,2.21974023489431,"nonmito",""
"ABRACL","Q9P1F3",0.353357621572432,1.20406816231769,"nonmito",""
"ABRAXAS1","Q6UWZ7",-0.12632234520758,0.838456355324507,"nonmito",""
"ABRAXAS2","Q15018",0.0131876149336385,0.0878879937487631,"nonmito",""
"ABT1","Q9ULW3",-0.332447553490283,1.96963804139123,"nonmito",""
"ACAA1","P09110",0.378376010489955,2.54325814026471,"mito",""
"ACAA2","P42765",0.687088485391673,2.40795421070837,"mito",""
"ACACA","Q13085",-0.264321646389966,2.75639898897388,"mito",""
"ACAD10","Q6JQN1;Q6JQN1-5",0.0353310864911478,0.1862932377756,"mito",""
"ACAD11","Q709F0",0.899380154614214,2.83233896381063,"mito",""
"ACAD9","Q9H845",0.362243517735791,2.8436093068335,"mito",""
"ACADM","P11310;P11310-2",0.48567952332564,3.30536936023565,"mito",""
"ACADS","P16219",0.861645039592656,3.02022915847819,"mito",""
"ACADSB","P45954",0.764738177621876,3.27713273692057,"mito",""
"ACADVL","P49748;P49748-3",0.750848534355249,3.38844452915914,"mito",""
"ACAP2","Q15057",0.395360078136566,2.51575960235921,"nonmito",""
"ACAT1","P24752",0.331159522658663,4.31257705677866,"mito",""
"ACAT2","Q9BWD1",-0.452190872202785,2.4302673328302,"nonmito",""
"ACBD3","Q9H3P7",0.224036729566954,2.03683851451415,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",0.570275139629878,3.32840874007158,"nonmito",""
"ACBD6","Q9BR61",0.231734531619107,1.30804941234434,"nonmito",""
"ACIN1","Q9UKV3",-0.162194077835657,2.07793659531712,"nonmito",""
"ACLY","P53396",-0.283760560530833,3.08682842914555,"mito",""
"ACO1","P21399",0.373060924615427,2.54841841182151,"nonmito",""
"ACO2","Q99798",0.364590042810907,3.20992427759513,"mito",""
"ACOT1","Q86TX2",-0.000273385980396057,0.0164097627827514,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",-0.220819826466876,2.28809051667832,"mito",""
"ACOT7","O00154-4",0.615382284275473,4.55626444250504,"mito",""
"ACOT8","O14734",1.06123674903759,3.39552486826406,"nonmito",""
"ACOT9","Q9Y305",1.16349382429533,5.0328909814718,"mito",""
"ACOX1","Q15067;Q15067-2",0.170301409091891,1.34783066081114,"nonmito",""
"ACOX3","O15254;O15254-2",0.112809739661749,0.648016996089391,"nonmito",""
"ACP1","P24666",0.215215793073003,2.96957865154604,"nonmito",""
"ACP2","P11117",0.478535703633796,3.97135952645844,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",1.02433676801126,2.5772912865185,"mito",""
"ACSF3","Q4G176",-0.122966978970531,1.46587897735268,"mito",""
"ACSL1","P33121;P33121-2",0.101085264591859,0.724268636301278,"mito",""
"ACSL3","O95573",-0.280690402202335,3.72735089486404,"nonmito",""
"ACSL4","O60488;O60488-2",0.337378187899287,3.33878577794273,"nonmito",""
"ACSL6","Q9UKU0;Q9UKU0-1;Q9UKU0-2;Q9UKU0-3;Q9UKU0-5;Q9UKU0-6;Q9UKU0-8;Q9UKU0-9",0.299046423837712,3.42620280735366,"mito",""
"ACSS1","Q9NUB1;Q9NUB1-2",2.38705922128801,4.03297733449044,"mito",""
"ACSS2","Q9NR19;Q9NR19-2",1.01373680622826,3.23679341899222,"nonmito",""
"ACTB","P60709",-0.0767984626739278,0.345631722948462,"nonmito",""
"ACTBL2","Q562R1",-0.140701458546694,0.451530385010191,"nonmito",""
"ACTC1","P68032",0.0101321995636496,0.0866435649589318,"nonmito",""
"ACTL6A","O96019",0.116977390720411,1.71278768426574,"nonmito",""
"ACTN1","P12814",0.261813557484313,3.19010437405844,"nonmito",""
"ACTN4","O43707",0.25031023237737,5.85068903770376,"nonmito",""
"ACTR10","Q9NZ32",0.202453704889866,1.90719776134472,"nonmito",""
"ACTR1A","P61163",0.126037076134626,1.06042709263802,"nonmito",""
"ACTR1B","P42025",0.67447163927929,3.46276933743202,"nonmito",""
"ACTR2","P61160",0.261021387282671,1.51585237231846,"nonmito",""
"ACTR3","P61158",0.325056196035693,2.23352214521742,"nonmito",""
"ACTR3B","Q9P1U1",0.380983157264261,3.59177649778865,"nonmito",""
"ACTR5","Q9H9F9",-0.37071920439061,3.39084648154947,"nonmito",""
"ACTR6","Q9GZN1",-0.298982426132302,2.04839062233774,"nonmito",""
"ACTR8","Q9H981",-0.528164234346878,3.84614429473789,"nonmito",""
"ACVR2B","Q13705",0.0208801029459487,0.0586788899309603,"nonmito",""
"ACYP1","P07311",0.701379813599758,3.63371483044972,"nonmito",""
"ADA","P00813",1.22915383073354,3.10595036840193,"nonmito",""
"ADAM10","O14672",0.314016351570235,2.12613419949468,"nonmito",""
"ADAM17","P78536",0.329884942930992,1.35980948830102,"nonmito",""
"ADAM9","Q13443",0.361181892556196,2.38107608431103,"nonmito",""
"ADAR","P55265;P55265-4",0.0357145179896534,1.28735463703026,"nonmito",""
"ADCK1","Q86TW2;Q86TW2-2",-0.423069784459155,1.82680913263255,"mito",""
"ADCY9","O60503",0.263628390950046,0.188262321673078,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",0.325807911986278,2.05508045551976,"nonmito",""
"ADD2","P35612",0.591771792161644,4.8064099241815,"nonmito",""
"ADD3","Q9UEY8-2",0.443947871725722,3.18045439177153,"nonmito",""
"ADGRL2","O95490;O95490-2;O95490-5;O95490-6;O95490-7",-0.012911664452826,0.0810127944874541,"nonmito",""
"ADH5","P11766",-0.355417939023365,3.69562247106335,"nonmito",""
"ADI1","Q9BV57",-0.129642143084922,1.01195659016753,"nonmito",""
"ADK","P55263",0.331185528576,3.89340517293088,"nonmito",""
"ADNP","Q9H2P0",0.261919899822111,3.69533013140262,"nonmito",""
"ADO","Q96SZ5",-0.0381523067325062,0.148646435552727,"nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",0.245143961138208,2.25455059464484,"nonmito",""
"ADPRS","Q9NX46",0.425887129329407,4.96858175630388,"nonmito",""
"ADRM1","Q16186",0.183021370174142,0.917152610280992,"nonmito",""
"ADSL","P30566",0.23418722404849,2.64297498402378,"nonmito",""
"ADSS2","P30520",-0.145769486194968,2.95298644021088,"nonmito",""
"AFDN","P55196;P55196-5",-0.378488815039166,2.50674892165929,"nonmito",""
"AFF4","Q9UHB7",-0.0756157013413841,0.92815745127479,"nonmito",""
"AFG3L2","Q9Y4W6",0.252395262878178,3.72055429532178,"mito",""
"AGAP3","Q96P47;Q96P47-2;Q96P47-4",0.143750952472573,1.4927153860161,"nonmito",""
"AGFG1","P52594;P52594-2;P52594-3;P52594-4",0.160766859743408,0.777880054933428,"nonmito",""
"AGFG2","O95081",0.67064111790987,1.58241506746158,"nonmito",""
"AGK","Q53H12",0.192935515559654,1.78947152464379,"mito",""
"AGL","P35573",-0.0738452100853664,2.63924264293982,"nonmito",""
"AGO1","Q9UL18",0.108083415714308,1.28093827999175,"nonmito",""
"AGO2","Q9UKV8",0.00110883631357339,0.0126074846368489,"nonmito",""
"AGPAT1","Q99943",-0.284143992543765,1.00100912998953,"nonmito",""
"AGPAT4","Q9NRZ5",-0.295000174263244,2.34142045171258,"mito",""
"AGPAT5","Q9NUQ2",-0.29296604796528,0.955065617773152,"mito",""
"AGPS","O00116",0.207681377310337,2.57398197594778,"nonmito",""
"AGRN","O00468;O00468-3;O00468-4;O00468-5;O00468-6;O00468-7",0.354691234669716,0.538350065357126,"nonmito",""
"AGTPBP1","Q9UPW5",-0.0135316108968162,0.154552197716623,"nonmito",""
"AGTRAP","Q6RW13",0.166986848086143,1.21495584242698,"nonmito",""
"AHCTF1","Q8WYP5;Q8WYP5-2;Q8WYP5-3",-0.251973452276882,2.90746490559845,"nonmito",""
"AHCY","P23526",0.358442473183491,2.4989362937634,"nonmito",""
"AHCYL1","O43865",0.064224005055781,0.633170191794014,"mito",""
"AHCYL2","Q96HN2;Q96HN2-2",0.209981408205177,1.86549520140553,"nonmito",""
"AHNAK","Q09666",0.719520293678304,5.28324646676475,"nonmito",""
"AHSA1","O95433",-0.170794464793904,2.84232163419761,"nonmito",""
"AHSG","P02765",0.919103693870628,2.13364267624874,"nonmito",""
"AIDA","Q96BJ3",0.212866486269736,1.30488051945635,"nonmito",""
"AIF1L","Q9BQI0;Q9BQI0-2;Q9BQI0-3",0.681535232990807,0.955770684215337,"nonmito",""
"AIFM1","O95831",0.220131198514672,2.37289817817676,"mito",""
"AIMP1","Q12904",-0.18576431101852,2.26536450462341,"nonmito",""
"AIMP2","Q13155",-0.539653926326164,4.22447138759837,"nonmito",""
"AIP","O00170",0.157270356283348,1.93484007023042,"nonmito",""
"AK1","P00568",0.523403433449197,3.03699931176617,"nonmito",""
"AK2","P54819;P54819-2",0.075449364238807,0.972396432719187,"mito",""
"AK3","Q9UIJ7",0.75004372122758,4.1029510026896,"mito",""
"AK4","P27144",0.665184084187853,3.02903015258142,"mito",""
"AK6","Q9Y3D8",-0.184171159479455,2.02689737524136,"nonmito",""
"AKAP1","Q92667",-0.234617860366082,1.47205592216889,"mito",""
"AKAP11","Q9UKA4",0.0225308248541971,0.0972257398242833,"nonmito",""
"AKAP12","Q02952;Q02952-2;Q02952-3",0.454160515720044,3.70824128212675,"nonmito",""
"AKAP13","Q12802;Q12802-2;Q12802-4",-0.0729230959431106,0.557030443873226,"nonmito",""
"AKAP17A","Q02040",0.690203414068325,3.18964643682329,"nonmito",""
