"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",-0.279277745639693,2.25671992139672,"nonmito",""
"AAAS","Q9NRG9",0.0394433810321395,1.41442877781542,"nonmito",""
"AACS","Q86V21",-0.0348839169966872,0.667336046929747,"nonmito",""
"AAGAB","Q6PD74",-0.227246516662838,1.07534447285023,"nonmito",""
"AAK1","Q2M2I8",0.11236037018541,1.45313258838579,"nonmito",""
"AAMDC","Q9H7C9",-0.0217500330265317,0.149228531088838,"nonmito",""
"AAMP","Q13685",0.0564743497714382,0.412615531554054,"nonmito",""
"AAR2","Q9Y312",-0.250697776439672,0.747952403622398,"nonmito",""
"AARS1","P49588",-0.00424369087200915,0.0557242854944698,"nonmito",""
"AARS2","Q5JTZ9",0.0484295991428638,0.555874952626879,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.185609566090932,1.27234176686659,"nonmito",""
"AASDHPPT","Q9NRN7",-0.111783093341064,0.498081933965234,"nonmito",""
"AASS","Q9UDR5",0.00791556365966883,0.140555824179128,"mito",""
"AATF","Q9NY61",0.0422137126109945,0.504361223302621,"nonmito",""
"ABAT","P80404",0.625562405870468,2.79065921055273,"mito",""
"ABCB10","Q9NRK6",0.0230904658931763,0.311632274190771,"mito",""
"ABCB7","O75027;O75027-2",0.0674855758521815,0.989257875238185,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",0.207576381505774,1.010946942547,"mito",""
"ABCC1","P33527;P33527-9",0.111181369221608,1.14272613454186,"nonmito",""
"ABCC4","O15439",0.0626723741436734,0.321926758254678,"nonmito",""
"ABCD3","P28288",-0.0251937506073219,0.666039200604625,"mito",""
"ABCE1","P61221",0.00569119574220522,0.21187954563897,"nonmito",""
"ABCF1","Q8NE71",-0.00621258851736073,0.113895577130022,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.345752686022351,1.16157898681393,"nonmito",""
"ABCF3","Q9NUQ8",-0.044166220674505,0.731799766725009,"nonmito",""
