"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A1BG","P04217",-0.0204460356968639,0.00856239224275048,"nonmito",""
"A2M","P01023",-0.560418839323962,0.244732600375811,"nonmito",""
"AAAS","Q9NRG9",-0.94179493103967,1.15894859571017,"nonmito",""
"AAMDC","Q9H7C9",-1.39077647643595,2.13820139331044,"nonmito",""
"AARS1","P49588",0.0350682337442674,0.127266562888824,"nonmito",""
"AARSD1","Q9BTE6-2;Q9BTE6-3",0.158913833240554,0.943297707795676,"nonmito",""
"AASDHPPT","Q9NRN7",0.453999091005779,0.497575011455001,"nonmito",""
"ABAT","P80404",-1.62145376135775,2.59716694102554,"mito",""
"ABCA8","O94911-3",-0.532734227794505,0.760408289294595,"nonmito",""
"ABCB10","Q9NRK6",-0.610891133839052,0.968539944948373,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",0.322292502091065,0.15771061958324,"mito",""
"ABCB7","O75027;O75027-2",-0.636150087824664,0.754176883340363,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",-1.35045032740401,2.47399262696208,"mito",""
"ABCC9","O60706;O60706-2",-0.49846897268954,0.996260101803193,"nonmito",""
"ABCE1","P61221",0.195763608545208,1.60482618751132,"nonmito",""
"ABCF1","Q8NE71",0.452367736376361,1.26798956889623,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.502597535593013,1.49827006087476,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.0959322191351681,0.641472579265598,"nonmito",""
"ABHD10","Q9NUJ1",-0.222393668631483,0.449645744630913,"mito",""
"ABHD11","Q8NFV4",0.477796082103815,0.784209393691312,"mito",""
"ABHD14B","Q96IU4",-0.145737774784674,0.451131657475081,"nonmito",""
"ABHD16A","O95870",0.481757805667275,2.19000281200827,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",0.237390263385748,1.45174008845658,"nonmito",""
"ABI3BP","Q7Z7G0",-0.785103989003785,0.391984599435212,"nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",-1.8152609120298,1.27322896280006,"nonmito",""
"ABLIM2","Q6H8Q1-9",0.516156757679735,2.3529198852747,"nonmito",""
"ABRA","Q8N0Z2",-0.279106661112108,0.802049150551619,"nonmito",""
"ABRAXAS2","Q15018",0.279731649551888,1.97113419628578,"nonmito",""
"ACAA1","P09110",-1.16769133796489,2.85483825627511,"mito",""
"ACAA2","P42765",-1.18541139113866,2.13765443738619,"mito",""
"ACACB","O00763;O00763-2;O00763-3",-0.602191841890308,0.744021321186667,"mito",""
"ACAD8","Q9UKU7",-1.0249187391486,1.04472554276075,"mito",""
"ACAD9","Q9H845",-0.562377457177554,0.65931652769096,"mito",""
"ACADM","P11310;P11310-2",-0.892571527194889,1.62710428852755,"mito",""
"ACADS","P16219",-2.71226552804531,2.52252784378531,"mito",""
"ACADSB","P45954",-1.07914849780202,0.997833971374943,"mito",""
"ACADVL","P49748;P49748-2;P49748-3",-2.34511544155482,2.07004513151259,"mito",""
"ACAT1","P24752",-0.735883571897777,1.75020085694518,"mito",""
"ACAT2","Q9BWD1",0.377977593653197,0.711450683346434,"nonmito",""
"ACBD3","Q9H3P7",-0.0320280843573784,0.0454391010185548,"nonmito",""
"ACHE","P22303;P22303-2;P22303-4",0.0797964016371626,0.158317631116422,"nonmito",""
"ACIN1","Q9UKV3;Q9UKV3-5",1.05664586630112,4.46878424676368,"nonmito",""
"ACLY","P53396;P53396-2",0.524839408821119,0.583919883736269,"mito",""
"ACO1","P21399",0.121436481460943,0.558311440156954,"nonmito",""
"ACO2","Q99798",-0.712290036929549,1.13231833647116,"mito",""
"ACOT1","Q86TX2",-1.75290824651076,1.87765658186964,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",-0.514361604684272,0.959798647205948,"mito",""
"ACOT9","Q9Y305",0.658041790500409,1.32742392969178,"mito",""
"ACP1","P24666",-0.743880996314282,1.73077397386093,"nonmito",""
"ACP2","P11117",-0.880781039216673,1.66471383009746,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",0.341378140754305,0.60031659406078,"mito",""
"ACSF3","Q4G176",0.330262363790666,0.141614203249073,"mito",""
"ACSL1","P33121",-0.934061197090852,2.593671186406,"mito",""
"ACSL3","O95573",-0.810786994796004,3.12465269477781,"nonmito",""
"ACSL4","O60488;O60488-2",-1.16393668899049,1.89764817796734,"nonmito",""
"ACSS1","Q9NUB1;Q9NUB1-2",1.48932262104919,1.22899493767535,"mito",""
"ACSS2","Q9NR19;Q9NR19-2",0.64599872115796,1.43408425302442,"nonmito",""
"ACTA1","P68133",-0.419890823306709,0.825701374427462,"nonmito",""
"ACTB","P60709",0.0319664308002139,0.0647096725719643,"nonmito",""
"ACTBL2","Q562R1",-0.439779518317746,0.960522567915717,"nonmito",""
"ACTC1","P68032",-0.352234320205071,1.60418896310002,"nonmito",""
"ACTL6A","O96019",1.11663960886835,2.14343134924795,"nonmito",""
"ACTN1","P12814;P12814-3",-0.521504519048744,0.375712701473109,"nonmito",""
"ACTN2","P35609",-0.602201218321085,1.93374195218732,"nonmito",""
"ACTN3","Q08043",2.49726076038525,0.45376668460843,"nonmito",""
"ACTN4","O43707",-0.320969435216401,0.523138716182101,"nonmito",""
"ACTR10","Q9NZ32",0.135033458456931,0.480829250759697,"nonmito",""
"ACTR1A","P61163",-0.00936266779898176,0.0273881421284449,"nonmito",""
"ACTR1B","P42025",0.384704921906039,1.71405855216737,"nonmito",""
"ACTR2","P61160-2",0.322330842328864,1.34976546145953,"nonmito",""
"ACTR3","P61158",0.436008848114948,1.5760965759809,"nonmito",""
"ACY1","Q03154",-2.09664357983077,2.67258564085405,"nonmito",""
"ACYP1","P07311",0.244770656255831,0.429490630633564,"nonmito",""
"ACYP2","P14621",-1.31020135858224,1.4421109206366,"nonmito",""
"ADA","P00813",0.0534509397204825,0.118100329504891,"nonmito",""
"ADAL","Q6DHV7",0.278711465285223,0.544940331149175,"nonmito",""
"ADAM10","O14672",-0.532418985711063,0.202132832697296,"nonmito",""
"ADAMTSL4","Q6UY14;Q6UY14-3",1.81146021761397,1.00379391298304,"nonmito",""
"ADAR","P55265;P55265-2;P55265-3;P55265-4;P55265-5",-0.00855593538728527,0.00965249903879525,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",1.21354564214622,0.979009388064773,"nonmito",""
"ADD3","Q9UEY8-2",1.68658375850328,1.0642329686061,"nonmito",""
"ADH1B","P00325",-1.28654415402077,1.7791639724463,"nonmito",""
"ADH1C","P00326",-4.44842456304646,2.72172209205954,"nonmito",""
"ADH5","P11766",-0.121092640291749,0.401543960552126,"nonmito",""
"ADHFE1","Q8IWW8;Q8IWW8-2",-1.08006370988886,2.15011110314728,"mito",""
"ADI1","Q9BV57",-0.515990072886019,0.455216186874024,"nonmito",""
"ADIPOQ","Q15848",-0.102872295433748,0.931503994793687,"nonmito",""
