"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",-1.49501012351017,1.28262807453646,"nonmito",""
"AAAS","Q9NRG9",0.444952303561488,2.21536395484513,"nonmito",""
"AACS","Q86V21",-0.109957073082436,0.443056520695502,"nonmito",""
"AAGAB","Q6PD74",-0.159222761152201,0.524485372719631,"nonmito",""
"AAK1","Q2M2I8",-0.0675971925901369,0.206233387972405,"nonmito",""
"AAMDC","Q9H7C9",0.0589685236691562,0.131148645594261,"nonmito",""
"AAMP","Q13685",-0.0183308841287015,0.0616662562272613,"nonmito",""
"AAR2","Q9Y312",0.303726681419201,2.50904884642963,"nonmito",""
"AARS1","P49588",0.694725934845103,2.1270264544566,"nonmito",""
"AARS2","Q5JTZ9",-0.168839164476964,1.10632642469665,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",-0.0581603056159583,0.331579259465823,"nonmito",""
"AASDHPPT","Q9NRN7",-0.109504067186183,0.608737431994745,"nonmito",""
"AASS","Q9UDR5",0.286153679647466,0.93419026284616,"mito",""
"AATF","Q9NY61",-0.218003179429475,0.691865171621391,"nonmito",""
"ABCB10","Q9NRK6",0.124126078427155,0.18244363544615,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",0.841643022058541,2.16118468313604,"mito",""
"ABCB7","O75027;O75027-2",0.199777447316894,0.65410016337292,"mito",""
"ABCC1","P33527;P33527-9",0.342183259197451,1.86562105162486,"nonmito",""
"ABCC4","O15439;O15439-2",0.115231092774046,0.204465963811265,"nonmito",""
"ABCD1","P33897",0.338744056366052,2.39964393138741,"mito",""
"ABCD3","P28288",-0.108062607773187,0.485694300062065,"mito",""
"ABCE1","P61221",0.214136083382893,1.41644830715869,"nonmito",""
"ABCF1","Q8NE71",-0.105583292161018,0.578264921420997,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.431969701885567,2.45963345458145,"nonmito",""
