"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",0.266676531168507,0.337132800430807,"nonmito",""
"AAAS","Q9NRG9",-0.0252350618354633,0.143415188476802,"nonmito",""
"AACS","Q86V21",0.00923344120813496,0.0288484966789265,"nonmito",""
"AAGAB","Q6PD74",-0.327691713087308,0.890302567667457,"nonmito",""
"AAK1","Q2M2I8",-0.0293755450988371,0.160019995433107,"nonmito",""
"AAMDC","Q9H7C9",-1.56914339771223,3.32054548240412,"nonmito",""
"AAMP","Q13685",0.178472775169077,1.25048656866038,"nonmito",""
"AAR2","Q9Y312",0.0301107169316879,0.28154019051759,"nonmito",""
"AARS1","P49588",-0.469363663142776,1.12906248155993,"nonmito",""
"AARS2","Q5JTZ9",0.0359706883441007,0.147227697123105,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.448979017775748,2.18771220773308,"nonmito",""
"AASDHPPT","Q9NRN7",0.155333974991414,2.34284607271975,"nonmito",""
"AASS","Q9UDR5",0.230523541152026,1.04101683136467,"mito",""
"AATF","Q9NY61",-0.099589026252648,0.453232392215079,"nonmito",""
"ABAT","P80404",0.265229574272659,0.205820092472441,"mito",""
"ABCA1","O95477",-0.183888417921709,0.875710917646683,"nonmito",""
"ABCB10","Q9NRK6",-0.412661892468909,1.98491715729085,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",-0.297313354900487,0.459132209029094,"mito",""
"ABCB7","O75027;O75027-2",0.342028805394683,2.21867888962472,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",0.509026449541023,0.602224158060453,"mito",""
"ABCC1","P33527;P33527-9",-0.15251020232078,0.584556539826881,"nonmito",""
"ABCC4","O15439",0.0932322986785614,0.428745083638717,"nonmito",""
"ABCD1","P33897",0.0384923718272532,0.28896045529402,"mito",""
"ABCD3","P28288",0.17323409757789,1.12253098130834,"mito",""
"ABCE1","P61221",-0.211252136838045,1.22319093270854,"nonmito",""
"ABCF1","Q8NE71",0.139249588135232,1.21524522571414,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",0.0909654385452043,0.411515903489892,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",0.00978118042916165,0.089218469603062,"nonmito",""
"ABHD10","Q9NUJ1",0.31680247635726,1.14466367598213,"mito",""
