"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A1BG","P04217",-1.12643904843448,2.54093374432787,"nonmito",""
"A2M","P01023",-0.71251900626558,1.04102341236078,"nonmito",""
"AAAS","Q9NRG9",0.335417878273796,0.605542027589322,"nonmito",""
"AACS","Q86V21",-0.425741326000017,0.514839503422227,"nonmito",""
"AAK1","Q2M2I8;Q2M2I8-2",-0.00165403973045919,0.00604709111189422,"nonmito",""
"AAMP","Q13685",-0.181456865853889,0.0676759435742874,"nonmito",""
"AARS1","P49588",0.499603880443148,0.940555623333768,"nonmito",""
"AARS2","Q5JTZ9",0.194236109347909,0.279532530618625,"mito",""
"AARSD1","Q9BTE6-2;Q9BTE6-3",0.816482750198821,3.15216445249679,"nonmito",""
"AASDHPPT","Q9NRN7",0.216644133217462,0.197672063824983,"nonmito",""
"AATF","Q9NY61",0.398006338071552,0.760656124250675,"nonmito",""
"ABAT","P80404",-0.113469975430043,0.295111669836241,"mito",""
"ABCB10","Q9NRK6",3.14765909431487,3.78108309114615,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",2.01304968180782,2.43784070857761,"mito",""
"ABCB7","O75027;O75027-2",0.00526711069325181,0.00605249621248118,"mito",""
"ABCC1","P33527;P33527-9",-0.00753529085290516,0.0180323644226376,"nonmito",""
"ABCC4","O15439",0.61531314534753,0.739240713119726,"nonmito",""
"ABCD1","P33897",0.503805883165034,2.54405647844059,"mito",""
"ABCD3","P28288",0.619706408541999,2.40927731706488,"mito",""
"ABCE1","P61221",0.588692747764274,3.1866635282467,"nonmito",""
"ABCF1","Q8NE71",0.372689408181067,1.95625224726081,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",0.28678172778535,1.021328759323,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.281690015536819,1.14434694111301,"nonmito",""
"ABHD10","Q9NUJ1",0.150060331399587,0.455353119016048,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.0354521479711405,0.105578693990572,"nonmito",""
"ABHD14B","Q96IU4",-1.38171008764574,1.91890950023217,"nonmito",""
"ABHD16A","O95870",-0.137446785161782,0.198911945890662,"nonmito",""
"ABHD17A","Q96GS6;Q96GS6-2",0.749332972078893,0.955877162280408,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",0.600642579347566,1.70214123620053,"nonmito",""
"ABHD4","Q8TB40",0.883353890748202,3.09507326772422,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",-0.00346276196616202,0.00443522932810098,"nonmito",""
"ABI3","Q9P2A4;Q9P2A4-2",-0.534200673967678,0.64736907945736,"nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",0.463002588328656,0.637251615418006,"nonmito",""
"ABLIM3","O94929-2;O94929-3",0.293346284358947,0.197287285371729,"nonmito",""
"ABRACL","Q9P1F3",0.433968861536194,0.495691153278356,"nonmito",""
"ABRAXAS1","Q6UWZ7",0.0177962293429186,0.0175857976786945,"nonmito",""
"ABRAXAS2","Q15018",-0.022112199428495,0.0593027044464587,"nonmito",""
"ABT1","Q9ULW3",0.2861649299182,1.04280356074975,"nonmito",""
"ACAA1","P09110",0.16766344483308,0.434774830674217,"mito",""
"ACAA2","P42765",-0.645426391331256,1.16786223452939,"mito",""
"ACACA","Q13085;Q13085-2;Q13085-3;Q13085-4",1.35576585370297,4.44147672977509,"mito",""
"ACAD9","Q9H845",0.778567350874924,1.79479631017631,"mito",""
"ACADM","P11310;P11310-2",-0.035711115690642,0.0769526300866581,"mito",""
"ACADS","P16219",0.208103305504395,0.251623724447342,"mito",""
"ACADSB","P45954",-0.182324530468945,0.221591624568543,"mito",""
"ACADVL","P49748;P49748-3",-0.332572657408825,1.24169922239028,"mito",""
"ACAP1","Q15027",-0.0809531138060962,0.144784422787884,"nonmito",""
"ACAP2","Q15057",0.0996104687969108,0.721679111530778,"nonmito",""
"ACAT1","P24752",-0.0870364168605633,0.075492614046903,"mito",""
"ACAT2","Q9BWD1",0.343374512752543,0.705004161819418,"nonmito",""
"ACBD3","Q9H3P7",0.288886704050068,0.898359436442958,"nonmito",""
"ACIN1","Q9UKV3",0.0795809006077803,0.203155702090366,"nonmito",""
"ACLY","P53396",0.141160506213122,0.37113451298804,"mito",""
"ACO1","P21399",0.0410344211057065,0.0393416506696814,"nonmito",""
"ACO2","Q99798",0.390699465685778,1.09408343399383,"mito",""
"ACOT1","Q86TX2",0.473907817794792,1.35082036966848,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",-1.23617996897687,0.75565173995056,"mito",""
"ACOT7","O00154-4",0.545322710832144,0.648904480970574,"mito",""
"ACOT8","O14734",0.290226024794501,1.29296490312148,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",-0.397100403166268,0.85075815674627,"mito",""
"ACOX1","Q15067;Q15067-2",0.0344597673934803,0.036532993494645,"nonmito",""
"ACP1","P24666",0.461163906543796,0.662468079262799,"nonmito",""
"ACP2","P11117",0.642333008370835,1.0976991222583,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",-0.530710344827021,1.17428849934282,"mito",""
"ACSF3","Q4G176",0.201240285755246,0.634585706552276,"mito",""
"ACSL1","P33121",0.23988415653784,0.635363170784518,"mito",""
"ACSL3","O95573",-0.0534256017933039,0.14560720567852,"nonmito",""
"ACSL4","O60488;O60488-2",0.121562479791201,0.520457245679475,"nonmito",""
"ACSL5","Q9ULC5;Q9ULC5-3",0.498368380497951,0.564781891810487,"nonmito",""
"ACSS1","Q9NUB1;Q9NUB1-2",1.01928508419648,2.90778496050769,"mito",""
"ACSS2","Q9NR19;Q9NR19-2",0.568130294062945,1.3299041368111,"nonmito",""
"ACTB","P60709",-0.0985187099903726,0.11968517806979,"nonmito",""
"ACTBL2","Q562R1",2.14303084547859,1.76933444731046,"nonmito",""
"ACTC1","P68032",-0.263320085908443,0.50725147828358,"nonmito",""
"ACTG1","P63261",-1.18728382550482,0.668964229616964,"nonmito",""
"ACTL6A","O96019",-0.241288323288893,0.414044473077372,"nonmito",""
"ACTN1","P12814",-0.275119648538794,0.266476281199377,"nonmito",""
"ACTN4","O43707",-0.372540705504537,0.541718058898418,"nonmito",""
"ACTR10","Q9NZ32",-0.273708209194206,0.644016520277702,"nonmito",""
"ACTR1A","P61163",-0.0962779736667088,0.248591521408529,"nonmito",""
"ACTR1B","P42025",-0.419044480347418,1.08406856943574,"nonmito",""
"ACTR2","P61160",-0.202241626620605,0.497489219772892,"nonmito",""
"ACTR3","P61158",-0.374676505508468,0.95128238177492,"nonmito",""
"ACTR3B","Q9P1U1",-0.280933409366,0.75668371706991,"nonmito",""
"ACTR5","Q9H9F9",-1.19041608481774,1.13895358827791,"nonmito",""
"ACTR8","Q9H981",-0.656160626190722,1.1145659037482,"nonmito",""
"ACVR1","Q04771",0.78005476063899,1.8755252250014,"nonmito",""
"ACYP1","P07311",1.10359335383838,2.40999013939014,"nonmito",""
"ACYP2","P14621",0.569109619894808,1.44326690133323,"nonmito",""
"ADA","P00813",0.182286229136277,0.137257663358304,"nonmito",""
"ADA2","Q9NZK5",0.108906347714601,0.192249035047032,"nonmito",""
"ADAM10","O14672",0.00398683111717091,0.0083104521803687,"nonmito",""
"ADAM17","P78536",-0.184121064660184,0.613720998490966,"nonmito",""
"ADAM8","P78325;P78325-3",0.0866637054041259,0.0456235130300435,"nonmito",""
"ADAM9","Q13443",0.549534596784998,1.75723737426807,"nonmito",""
"ADAMDEC1","O15204;O15204-2",1.46021251109671,0.938702774186767,"nonmito",""
"ADAP1","O75689",-0.0326224648074067,0.0557778446282746,"nonmito",""
"ADAR","P55265;P55265-4",-0.199631988683111,1.11374738128717,"nonmito",""
"ADCY7","P51828",-0.55253314853527,1.27411932897214,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",0.405647205356043,0.636306254160166,"nonmito",""
"ADD2","P35612",2.50572810796733,2.07807319200953,"nonmito",""
"ADD3","Q9UEY8;Q9UEY8-2",0.00284426535950999,0.00980323288312214,"nonmito",""
"ADGRE2","Q9UHX3;Q9UHX3-3;Q9UHX3-4;Q9UHX3-6",-0.0727206707997681,0.128579088750226,"nonmito",""
"ADGRE3","Q9BY15",0.818562232761359,0.72458924735056,"nonmito",""
"ADGRE5","P48960",0.0773037476188705,0.185691510254048,"nonmito",""
"ADH5","P11766",-0.01043842653349,0.0282681864567953,"nonmito",""
"ADK","P55263",-0.67072736966433,1.72802223857185,"nonmito",""
"ADNP","Q9H2P0",-0.0782789333748983,0.226916801064065,"nonmito",""
"ADO","Q96SZ5",-0.280725038936282,0.274939170005018,"nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",0.244518850316567,0.641457608814831,"nonmito",""
"ADPRS","Q9NX46",-0.0662733750850286,0.0553231448981719,"nonmito",""
"ADRM1","Q16186",0.997635124865045,2.51805969670179,"nonmito",""
"ADSL","P30566",0.393507903919279,0.602168224143183,"nonmito",""
"ADSS2","P30520",-0.0928402845792995,0.13903315611476,"nonmito",""
"AFG3L2","Q9Y4W6",0.500920188408882,1.41714491370779,"mito",""
"AFM","P43652",0.233583647032818,0.250276130138922,"nonmito",""
"AFTPH","Q6ULP2;Q6ULP2-6;Q6ULP2-8;Q6ULP2-9",0.197589982812319,0.105553185706107,"nonmito",""
"AGA","P20933",-0.462360200441932,1.12779863190332,"nonmito",""
"AGAP2","Q99490-2",-0.163773065232858,0.586715069801311,"nonmito",""
"AGFG1","P52594;P52594-2;P52594-3;P52594-4",0.0647960145202315,0.163966757896878,"nonmito",""
"AGK","Q53H12",0.0549898702765823,0.185589884743732,"mito",""
"AGL","P35573",-0.143179467928364,0.512821148497847,"nonmito",""
"AGMAT","Q9BSE5",0.476739702023259,0.54680650193872,"mito",""
"AGO1","Q9UL18",-0.205365161413727,0.752516748061239,"nonmito",""
"AGO2","Q9UKV8",1.0366799741034,2.92968330893711,"nonmito",""
"AGO3","Q9H9G7",0.345620079312512,1.01895659304532,"nonmito",""
"AGPAT2","O15120",0.385585374421364,0.986926259994729,"nonmito",""
"AGPAT3","Q9NRZ7;Q9NRZ7-2;Q9NRZ7-3",-0.139940304184279,0.444273839300976,"nonmito",""
"AGPAT5","Q9NUQ2",0.397742625110608,1.77297647880806,"mito",""
"AGPS","O00116",0.431881058004913,1.87775552644455,"nonmito",""
"AGTPBP1","Q9UPW5;Q9UPW5-2;Q9UPW5-3",0.709949673074519,0.882704946796986,"nonmito",""
"AGTRAP","Q6RW13",0.737818598614702,1.65377114247383,"nonmito",""
"AHCTF1","Q8WYP5;Q8WYP5-2;Q8WYP5-3",0.125152056203747,0.237218069236405,"nonmito",""
"AHCY","P23526",-0.184886260310638,0.524492384525725,"nonmito",""
"AHCYL1","O43865",-0.376576273973665,0.711112812099436,"mito",""
"AHCYL2","Q96HN2;Q96HN2-2",-0.0634148044662624,0.127293402391256,"nonmito",""
"AHNAK","Q09666",-0.388195652203315,0.60867491616237,"nonmito",""
"AHSA1","O95433",0.58679049751851,2.77063140171306,"nonmito",""
"AHSG","P02765",-0.0779519344951396,0.0890772111909445,"nonmito",""
"AIDA","Q96BJ3",-0.373306875690643,0.405980614698827,"nonmito",""
"AIFM1","O95831;O95831-3",0.203365132618739,0.498287832058581,"mito",""
"AIMP1","Q12904",0.419039284897966,2.76766457398638,"nonmito",""
"AIMP2","Q13155",0.442753167522678,0.910918856544823,"nonmito",""
"AIP","O00170",-0.472834529183045,1.45670492056623,"nonmito",""
"AK1","P00568",1.41149964660576,0.996982801439414,"nonmito",""
"AK2","P54819;P54819-2",0.212895212644135,0.508521408724231,"mito",""
"AK3","Q9UIJ7",-0.109572976158489,0.152756336626042,"mito",""
"AK5","Q9Y6K8;Q9Y6K8-3",0.381948985075528,0.0732501062556368,"nonmito",""
"AKAP13","Q12802;Q12802-2;Q12802-4",-0.25762780166365,1.69780948549248,"nonmito",""
"AKAP17A","Q02040",0.358724343163994,1.1991135199811,"nonmito",""
"AKAP8","O43823",0.618427148045415,1.12254006088061,"nonmito",""
"AKAP8L","Q9ULX6",-0.137938665681077,0.442675564645525,"nonmito",""
"AKAP9","Q99996",0.492179942690354,2.25255634248259,"nonmito",""
"AKR1A1","P14550",-0.227039695819073,0.634541115679264,"nonmito",""
"AKR1B1","P15121",-1.10087012173795,3.15964457868118,"nonmito",""
"AKR1C3","P42330",0.654536972561445,0.628850790931563,"nonmito",""
