"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A1BG","P04217",-0.0521701228268832,0.0464199446435836,"nonmito",""
"A2M","P01023",0.0532485464191552,0.0300889409855917,"nonmito",""
"AAAS","Q9NRG9",-0.990369534107218,3.33466635901729,"nonmito",""
"AACS","Q86V21",0.0187905007769569,0.0484144923077121,"nonmito",""
"AAGAB","Q6PD74",-0.434291216104519,1.71760845930338,"nonmito",""
"AAK1","Q2M2I8;Q2M2I8-2",-0.074512316885281,0.196738582597617,"nonmito",""
"AAMDC","Q9H7C9",1.72155063670847,1.63064733244536,"nonmito",""
"AAMP","Q13685",-0.665408276133807,2.7283994075068,"nonmito",""
"AAR2","Q9Y312",0.00237997138905399,0.00415156298204063,"nonmito",""
"AARS1","P49588",0.526619371326014,3.05844495592474,"nonmito",""
"AARS2","Q5JTZ9",0.589436995027397,1.52517958123728,"mito",""
"AARSD1","Q9BTE6-2;Q9BTE6-3",-0.13814232120556,1.26021616667542,"nonmito",""
"AASDHPPT","Q9NRN7",0.353520456924921,0.502723586839224,"nonmito",""
"AATF","Q9NY61",-0.958694875896407,2.34463830746035,"nonmito",""
"ABAT","P80404",-0.405085391166931,0.957368899838095,"mito",""
"ABCB10","Q9NRK6",0.342359835262199,3.08151791105734,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",0.697271170178123,1.97723099996034,"mito",""
"ABCB7","O75027;O75027-2",0.266085919914097,0.824848804590049,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",-0.0411762651445731,0.049985475908467,"mito",""
"ABCC1","P33527;P33527-9",0.257660908406168,0.855505516671254,"nonmito",""
"ABCC3","O15438;O15438-4",-0.400005366796883,0.360806333078362,"nonmito",""
"ABCC4","O15439",0.465371003366561,0.945950423962243,"nonmito",""
"ABCD1","P33897",0.00232796801890522,0.00804267990242327,"mito",""
"ABCD3","P28288",-0.651848461368653,2.79201145459478,"mito",""
"ABCE1","P61221",-0.148485730911844,0.727351428402915,"nonmito",""
"ABCF1","Q8NE71",-0.325750331470307,2.14622142136539,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.664990432616642,3.17474451930262,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.65097612223629,3.21499072675835,"nonmito",""
"ABHD10","Q9NUJ1",0.25237965587127,0.359376746954582,"mito",""
"ABHD11","Q8NFV4",2.16652992966162,1.48843045497017,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.120871827526985,1.12785296172587,"nonmito",""
"ABHD13","Q7L211",-0.224535268254714,0.441109753671748,"nonmito",""
"ABHD14B","Q96IU4",0.994079127312581,1.18818023890859,"nonmito",""
"ABHD16A","O95870",0.00259897412314558,0.0052110701684465,"nonmito",""
"ABHD17A","Q96GS6;Q96GS6-2",-0.19778214810629,0.250144887209024,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",0.365040511783024,1.45026283257718,"nonmito",""
"ABHD4","Q8TB40",1.13959167493744,2.70175429871207,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",0.690166412626319,2.13633264107375,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",0.917816356607839,1.36888986174024,"nonmito",""
"ABI3","Q9P2A4",-0.186432006093856,0.38588885807048,"nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",0.8049109624494,3.07955099829379,"nonmito",""
"ABLIM3","O94929-2;O94929-3",0.866542108180996,1.75840162715109,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",0.0955069918725648,0.130849321494905,"nonmito",""
"ABRACL","Q9P1F3",0.338456136688791,0.923122337689723,"nonmito",""
"ABRAXAS1","Q6UWZ7",-0.455799243551231,0.604667842333064,"nonmito",""
"ABRAXAS2","Q15018",-0.197551162835055,0.797785249620091,"nonmito",""
"ABT1","Q9ULW3",-0.636593345716918,2.16520726955734,"nonmito",""
"ABTB1","Q969K4;Q969K4-3",-0.512998814826751,0.770633664941221,"nonmito",""
"ACAA1","P09110",0.478792749298533,1.79595668536288,"mito",""
"ACAA2","P42765",-0.235143806428979,0.45343455709025,"mito",""
"ACACA","Q13085;Q13085-2;Q13085-3;Q13085-4",0.242830701042525,0.807296159645886,"mito",""
"ACAD8","Q9UKU7",0.63057385794356,1.31494276948821,"mito",""
"ACAD9","Q9H845",0.882262743018003,2.10468030208333,"mito",""
"ACADM","P11310;P11310-2",1.30769164014693,1.44549282265728,"mito",""
"ACADS","P16219",0.770383145451916,1.16138625115494,"mito",""
"ACADSB","P45954",0.8090567179625,1.41294996424572,"mito",""
"ACADVL","P49748;P49748-3",0.0791404549992372,0.227392776485847,"mito",""
"ACAP1","Q15027",-0.74592478702874,2.45894599487013,"nonmito",""
