"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",-0.959593422321685,0.823071261248164,"nonmito",""
"AAAS","Q9NRG9",-0.044509574261685,0.203573238370228,"nonmito",""
"AACS","Q86V21",0.0583018913983615,0.28413635249672,"nonmito",""
"AAGAB","Q6PD74",-0.123204889552653,0.713518997243106,"nonmito",""
"AAK1","Q2M2I8",-0.0723518691480827,0.414383433019932,"nonmito",""
"AAMDC","Q9H7C9",0.0943173789268243,0.144056305601869,"nonmito",""
"AAMP","Q13685",0.0392446665450592,0.0977102153852223,"nonmito",""
"AAR2","Q9Y312",-0.144521654353294,1.12347708447873,"nonmito",""
"AARS1","P49588",-0.283060229947189,1.08404005575815,"nonmito",""
"AARS2","Q5JTZ9",0.402957784346789,2.26534640137917,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.107714444255691,0.794281255764263,"nonmito",""
"AASDHPPT","Q9NRN7",0.0486166911581201,0.449841763704675,"nonmito",""
"AASS","Q9UDR5",0.364868575697495,1.3508523883798,"mito",""
"AATF","Q9NY61",-1.3622726560481,1.48055285549664,"nonmito",""
"ABAT","P80404",-0.25934464762377,0.0993024995438875,"mito",""
"ABCB10","Q9NRK6",0.293310168671265,1.75473665204143,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",-0.23374952034014,0.393888966510883,"mito",""
"ABCB7","O75027;O75027-2",0.305030735814654,2.06293808448666,"mito",""
"ABCC1","P33527;P33527-9",-0.158964700144042,0.881528258277944,"nonmito",""
"ABCC4","O15439;O15439-2",-0.727311172431126,2.91559591259187,"nonmito",""
"ABCD1","P33897",-0.13364952790095,0.576445876396727,"mito",""
"ABCD3","P28288",-0.176539624688601,1.20027545342705,"mito",""
"ABCE1","P61221",-0.14299287900123,1.24443149551704,"nonmito",""
"ABCF1","Q8NE71",-0.147604968557392,1.77531929582388,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.226278233745671,1.97184880991521,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.129158972127051,2.23125550463875,"nonmito",""
"ABHD10","Q9NUJ1",-0.0264296441700367,0.0625423134532004,"mito",""
"ABHD11","Q8NFV4",-0.161897291609717,0.656822022612934,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",0.139923727832926,0.507601981581756,"nonmito",""
"ABHD14B","Q96IU4",-0.247901086521349,0.764553300524518,"nonmito",""
"ABHD16A","O95870",-0.297307168979451,2.49789881042827,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",-0.63218921419602,0.872662878651441,"nonmito",""
