"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",1.80494187548697,1.57807265564465,"nonmito",""
"AAAS","Q9NRG9",-0.0220021566421948,0.0364062891341049,"nonmito",""
"AACS","Q86V21",-0.118116571115902,0.31493354662291,"nonmito",""
"AAGAB","Q6PD74",0.148477712463571,0.797756498668323,"nonmito",""
"AAK1","Q2M2I8",-0.196100359488121,0.932216152092667,"nonmito",""
"AAMDC","Q9H7C9",-0.200197137784102,0.354331983857697,"nonmito",""
"AAR2","Q9Y312",0.518124702928283,1.18389443967891,"nonmito",""
"AARS1","P49588",0.300974996293196,1.3045445433948,"nonmito",""
"AARS2","Q5JTZ9",0.127223446893638,0.437330464203035,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",-0.698123546720613,3.69164388004126,"nonmito",""
"AASDHPPT","Q9NRN7",-0.555520535297788,3.95279463328229,"nonmito",""
"AASS","Q9UDR5",-0.353743791332134,0.617425147799924,"mito",""
"ABAT","P80404",0.166111946374746,0.0828268139933149,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",1.64580810443004,2.55536714960097,"mito",""
"ABCB7","O75027;O75027-2",-0.152991037905627,0.445386161184047,"mito",""
"ABCC1","P33527;P33527-9",0.508297873348511,2.21485348540808,"nonmito",""
"ABCC4","O15439;O15439-2",0.4303061563471,1.98847902175091,"nonmito",""
"ABCD1","P33897",0.453530932173202,1.99476038121095,"mito",""
"ABCD3","P28288",0.0125151634509884,0.0431471678631234,"mito",""
"ABCD4","O14678",0.387976851435798,0.687687034991141,"nonmito",""
"ABCE1","P61221",-0.271259605237997,1.74127251857257,"nonmito",""
"ABCF1","Q8NE71",0.151751740520442,2.43938306882223,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.288854017303287,1.28076680763645,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.427610057653606,1.72857867386977,"nonmito",""
"ABHD10","Q9NUJ1",0.494534998758869,2.78958852373529,"mito",""
"ABHD11","Q8NFV4",-0.381766620023187,1.09315914614809,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.379152484670772,1.57220270579257,"nonmito",""
"ABHD14B","Q96IU4",0.412183409670632,1.26355288286064,"nonmito",""
"ABHD16A","O95870",0.453486328782056,1.2126016328523,"nonmito",""
"ABHD4","Q8TB40",-0.479367968458067,0.171427218887222,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",0.0197664067330301,0.0624261177465107,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",-0.0937551165916695,0.191419226208229,"nonmito",""
"ABLIM3","O94929-2;O94929-3",-0.68985316845011,0.545078142613014,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",-0.0678508511109079,0.163776273991187,"nonmito",""
"ABRACL","Q9P1F3",0.779544625334118,1.60539392658936,"nonmito",""
"ABRAXAS2","Q15018",0.676579776883496,2.62563811549445,"nonmito",""
"ABT1","Q9ULW3",0.142761301870642,0.0547855757475349,"nonmito",""
"ACAA1","P09110",0.73662874897845,2.33111469705802,"mito",""
"ACAA2","P42765",0.561075024453753,2.46606662015685,"mito",""
