"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",1.63699171815291,1.44309180360129,"nonmito",""
"AAAS","Q9NRG9",0.200765862320058,0.864810944649864,"nonmito",""
"AACS","Q86V21",0.14661423798891,0.378142997878431,"nonmito",""
"AAGAB","Q6PD74",0.327620332952367,1.29938993708422,"nonmito",""
"AAK1","Q2M2I8",-0.106779698896421,0.378592493071375,"nonmito",""
"AAMDC","Q9H7C9",-0.0435801385924179,0.0645742382678351,"nonmito",""
"AAMP","Q13685",-0.359219654490834,1.79263450706573,"nonmito",""
"AAR2","Q9Y312",0.183843468635072,0.36563576033829,"nonmito",""
"AARS1","P49588",-0.183900632653408,0.768989646221493,"nonmito",""
"AARS2","Q5JTZ9",0.0771131386660713,0.199251451909635,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.144469688079727,0.933539988487592,"nonmito",""
"AASDHPPT","Q9NRN7",-0.496245694971375,3.60641845022004,"nonmito",""
"AASS","Q9UDR5",0.0971257607303926,0.195741647381002,"mito",""
"ABAT","P80404",-0.422945053310974,0.22342629036595,"mito",""
"ABCB10","Q9NRK6",-0.0961123209482793,0.278518313607375,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",1.29299761976869,2.14657572580045,"mito",""
"ABCB7","O75027;O75027-2",0.371507223919409,1.40230203858056,"mito",""
"ABCC1","P33527;P33527-9",-0.491829561495232,2.29806347732862,"nonmito",""
"ABCC4","O15439;O15439-2",-0.620058924667436,0.85587605468826,"nonmito",""
"ABCD1","P33897",-0.0157870425078279,0.0485465179748045,"mito",""
"ABCD3","P28288",0.0275139850765562,0.081129756122386,"mito",""
"ABCE1","P61221",-0.00154416172819793,0.00695785740773456,"nonmito",""
"ABCF1","Q8NE71",0.224468877041183,1.58503643406134,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.146555282796687,0.61498673146394,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.196789531702343,1.60314710042204,"nonmito",""
"ABHD10","Q9NUJ1",0.84999675023472,3.88355119663688,"mito",""
"ABHD11","Q8NFV4",-0.360575627863902,0.675760390155583,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.647627050516279,2.39714290714228,"nonmito",""
"ABHD14B","Q96IU4",-0.632580294011884,1.92934412717731,"nonmito",""
"ABHD16A","O95870",0.386036482194207,1.05954215503614,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",0.660858467139073,0.298701375207662,"nonmito",""
"ABHD4","Q8TB40",-0.509748032481477,0.170637197938012,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",0.0373430795117109,0.120114615255427,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",0.115894147436968,0.255667668185076,"nonmito",""
"ABLIM3","O94929-2;O94929-3",-0.660240803114881,1.06169564331849,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",0.137918630685842,0.544751705521239,"nonmito",""
"ABRACL","Q9P1F3",-0.169432011824625,0.179955131294927,"nonmito",""
"ABRAXAS2","Q15018",0.633724462723311,3.29607387058828,"nonmito",""
"ABT1","Q9ULW3",0.280235085613629,0.189472067644242,"nonmito",""
"ACAA1","P09110",0.371226619569914,1.19752347254844,"mito",""
"ACAA2","P42765",0.459957104777327,2.24504596133326,"mito",""
"ACACA","Q13085;Q13085-4",0.327266276067466,1.68769269451288,"mito",""
"ACAD11","Q709F0",1.06022452227657,1.31683871234105,"mito",""
"ACAD8","Q9UKU7",0.834086047780415,1.8705697534186,"mito",""
"ACAD9","Q9H845",0.420091113128603,0.954344132117831,"mito",""
"ACADM","P11310;P11310-2",0.0148344701095269,0.0387525303912543,"mito",""
"ACADS","P16219",-0.0400171097443405,0.0667834102188227,"mito",""
"ACADSB","P45954",0.51862225054249,1.35011142962307,"mito",""
"ACADVL","P49748;P49748-3",-0.392210611060936,2.32187768880704,"mito",""
"ACAP2","Q15057",-0.168031736127826,1.60107322289194,"nonmito",""
"ACAT1","P24752",0.285224881057967,2.35073244887816,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",0.451896872201232,1.41845800649869,"nonmito",""
"ACBD3","Q9H3P7",0.113892582238655,1.23781510820387,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",0.521319571059211,1.99331222918324,"nonmito",""
"ACBD6","Q9BR61",0.150956951504588,0.640436384325799,"nonmito",""
"ACIN1","Q9UKV3",0.171036472761939,1.43221808254134,"nonmito",""
"ACLY","P53396",-0.334751666894412,2.70038515500592,"mito",""
"ACO1","P21399",-0.0480294895612516,0.258298517095366,"nonmito",""
"ACO2","Q99798",-0.0164662966009992,0.171870190513809,"mito",""
"ACOT1","Q86TX2",0.143013694525749,0.492376136718289,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",0.426062201755169,1.43598068013058,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",0.336348433943932,0.856775721225124,"mito",""
"ACOT8","O14734",0.271345738672959,0.328212826936602,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",0.275749260245732,3.464780207412,"mito",""
"ACOX1","Q15067;Q15067-2",-0.343139968823149,1.35260246317115,"nonmito",""
"ACOX3","O15254",-0.25339537104467,0.551365628430781,"nonmito",""
