"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",0.917767705556724,0.804829144160787,"nonmito",""
"AAAS","Q9NRG9",-0.249740878074768,0.639231250016423,"nonmito",""
"AACS","Q86V21",-0.00219866049476281,0.00450092364886073,"nonmito",""
"AAGAB","Q6PD74",-0.153479530300178,0.284588323439881,"nonmito",""
"AAK1","Q2M2I8",-0.45884677681012,2.22274263710584,"nonmito",""
"AAMDC","Q9H7C9",0.0112491584257342,0.0158201889384371,"nonmito",""
"AAMP","Q13685",-0.403980054951793,0.7587405930173,"nonmito",""
"AAR2","Q9Y312",0.852246395918081,1.88215374872761,"nonmito",""
"AARS1","P49588",-0.237609981126312,1.02825224976373,"nonmito",""
"AARS2","Q5JTZ9",-0.184441904449713,0.57370871120999,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",-0.436475489330437,2.49294640711466,"nonmito",""
"AASDHPPT","Q9NRN7",-0.528826181994784,2.51087202180821,"nonmito",""
"AASS","Q9UDR5",-0.17896072192244,0.37045517662963,"mito",""
"ABAT","P80404",1.23557622658569,0.73835234617632,"mito",""
"ABCB10","Q9NRK6",-0.507809002040265,0.362092265729751,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",1.90355643926218,2.8976233318025,"mito",""
"ABCB7","O75027;O75027-2",0.538836470988006,1.40614304582854,"mito",""
"ABCC1","P33527;P33527-9",0.755862592650111,2.8741528853073,"nonmito",""
"ABCC4","O15439;O15439-2",-0.120942914484607,0.309558805598335,"nonmito",""
"ABCD1","P33897",0.870341582896607,3.02992342062893,"mito",""
"ABCD3","P28288",0.0786547627365586,0.31332367323124,"mito",""
"ABCD4","O14678",-0.171905964314544,0.226504266645321,"nonmito",""
"ABCE1","P61221",-0.115391744142396,0.733004504504506,"nonmito",""
"ABCF1","Q8NE71",0.191012822471606,3.08321721739046,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.221813740038851,0.976567287837858,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.241123361260932,3.10967757399159,"nonmito",""
"ABHD10","Q9NUJ1",0.805664288095393,3.14947235142445,"mito",""
"ABHD11","Q8NFV4",-0.234242560920244,0.447955715294129,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.0900366778677864,0.317682398127366,"nonmito",""
"ABHD14B","Q96IU4",0.21454558880524,0.582316322211582,"nonmito",""
"ABHD16A","O95870",0.62403267519398,1.69421620727715,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",1.08546692268748,0.511996301513378,"nonmito",""
"ABHD4","Q8TB40",0.152063089085587,0.0512732941220837,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",-0.115228216541404,0.385292536649036,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",-0.0340247821114339,0.0506606394496782,"nonmito",""
"ABL1","P00519;P00519-2",-0.505504443863449,0.181053184145856,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",0.038841958476528,0.101260925257697,"nonmito",""
"ABRACL","Q9P1F3",-0.730470981618883,1.13919851120454,"nonmito",""
"ABRAXAS2","Q15018",0.822357385126015,3.53139874895103,"nonmito",""
"ABT1","Q9ULW3",0.24704742589056,0.146689151627552,"nonmito",""
"ACAA1","P09110",1.21491062983696,3.41009754513957,"mito",""
"ACAA2","P42765",0.525545911418899,2.38310009984176,"mito",""
"ACACA","Q13085;Q13085-4",-0.329826055179758,1.62751650776504,"mito",""
"ACAD11","Q709F0",1.53272651220893,0.453579688502839,"mito",""
"ACAD9","Q9H845",0.211021651896562,0.438306695527635,"mito",""
"ACADM","P11310;P11310-2",0.246972411573807,0.798476694352963,"mito",""
"ACADSB","P45954",0.149245485634317,0.32212154146151,"mito",""
"ACADVL","P49748;P49748-3",-0.0263663713880113,0.0841169533884994,"mito",""
"ACAP2","Q15057",0.0392791362091582,0.195803062165262,"nonmito",""
"ACAT1","P24752",0.0151363696665214,0.09427816720769,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",-0.250054325849479,0.677119350985565,"nonmito",""
"ACBD3","Q9H3P7",0.324519860019244,3.2938545041841,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",0.718024301181067,2.6064684294127,"nonmito",""
"ACBD6","Q9BR61",-0.624486874540546,0.327848341035079,"nonmito",""
"ACIN1","Q9UKV3",-0.118614433084417,0.596432448357214,"nonmito",""
"ACLY","P53396",0.042539812954228,0.323361361275032,"mito",""
"ACO1","P21399",-0.917559067235267,3.38615296697656,"nonmito",""
"ACO2","Q99798",0.185015720509508,2.47336489885423,"mito",""
"ACOT1","Q86TX2",0.562246470273433,2.06931577922456,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",0.60929206165326,1.5989157776161,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",0.461667844583857,1.20900781487229,"mito",""
"ACOT8","O14734",0.240775582853818,0.217993866084719,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",0.257825880984942,3.298135587334,"mito",""
"ACOX1","Q15067;Q15067-2",0.0628529469173849,0.0932232758704452,"nonmito",""
"ACOX2","Q99424",1.12686907906274,1.52828066994916,"nonmito",""
"ACOX3","O15254",0.342979992386011,0.902078597847796,"nonmito",""
"ACP1","P24666",0.936567002169859,4.64083346719223,"nonmito",""
"ACP2","P11117",0.701976516500043,2.27490429030947,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",0.924556261912816,2.35236654743334,"mito",""
"ACSF3","Q4G176",0.832273395149739,3.24187174622654,"mito",""
"ACSL1","P33121",-0.109457076673831,0.291624587433077,"mito",""
"ACSL3","O95573",-0.140441917309317,0.901605025580983,"nonmito",""
