"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",2.48006198368453,2.03317375572552,"nonmito",""
"AAAS","Q9NRG9",0.170134347401458,0.507975277979765,"nonmito",""
"AACS","Q86V21",0.353113956219289,1.13980384595923,"nonmito",""
"AAGAB","Q6PD74",0.103323177613099,0.112360221379708,"nonmito",""
"AAK1","Q2M2I8",-0.482231193124829,1.67391192296288,"nonmito",""
"AAMDC","Q9H7C9",-0.237896542442236,0.435129016831998,"nonmito",""
"AAMP","Q13685",-0.212782923066287,0.753459365164442,"nonmito",""
"AAR2","Q9Y312",0.0275548693197667,0.0414597233298143,"nonmito",""
"AARS1","P49588",0.450379218650355,1.8593538588543,"nonmito",""
"AARS2","Q5JTZ9",-0.307974455798192,1.21946227177997,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.0522192379263764,0.29803854631265,"nonmito",""
"AASDHPPT","Q9NRN7",-0.523485532904257,3.63724426530156,"nonmito",""
"AASS","Q9UDR5",-0.353925461180314,0.62126769758905,"mito",""
"ABCB10","Q9NRK6",-0.254973054810456,0.236579500314008,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",0.710914216765021,1.2025669359133,"mito",""
"ABCB7","O75027;O75027-2",0.122152315411373,0.383874778907951,"mito",""
"ABCC1","P33527;P33527-9",0.189683077371392,0.916300259573281,"nonmito",""
"ABCC4","O15439;O15439-2",-0.384788656875424,0.369833615115067,"nonmito",""
"ABCD1","P33897",-0.167336223247284,0.631167561947599,"mito",""
"ABCD3","P28288",-0.0195280354883529,0.0694398148981756,"mito",""
"ABCE1","P61221",0.190247101449629,1.25293662536028,"nonmito",""
"ABCF1","Q8NE71",0.131493303928327,1.50059943728589,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",0.0229419505998116,0.0735083362818243,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.165475485259513,1.6881332666661,"nonmito",""
"ABHD10","Q9NUJ1",0.454051536924105,2.58312197718186,"mito",""
"ABHD11","Q8NFV4",-1.16659896377801,1.6391565618789,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.42609537339008,1.69743659138447,"nonmito",""
"ABHD14B","Q96IU4",0.234158969831341,0.681616965997374,"nonmito",""
"ABHD16A","O95870",-0.155507281219226,0.267407094765492,"nonmito",""
"ABHD4","Q8TB40",0.0926273711595726,0.0308987075430063,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",-0.323645816528089,1.41384197439164,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",-0.128377251972417,0.223584967981142,"nonmito",""
"ABLIM3","O94929-2;O94929-3",-1.32403725420557,1.04056146804503,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",0.141662711732668,0.499912372056058,"nonmito",""
"ABRACL","Q9P1F3",-0.395830156049151,0.622842704928798,"nonmito",""
"ABRAXAS2","Q15018",0.46298988157702,2.29834530504598,"nonmito",""
"ABT1","Q9ULW3",0.54688874408523,0.360782867104095,"nonmito",""
"ACAA1","P09110",0.260077649742975,0.613487464252869,"mito",""
"ACAA2","P42765",0.365380584854677,1.80248833725554,"mito",""
"ACACA","Q13085;Q13085-4",0.103838956998164,0.49666935140871,"mito",""
"ACAD11","Q709F0",0.476560384157814,0.087269854419326,"mito",""
"ACAD8","Q9UKU7",0.993367126817292,2.34434556082363,"mito",""
"ACAD9","Q9H845",0.419961321524287,0.953987088447953,"mito",""
"ACADM","P11310;P11310-2",0.277922351364133,1.02424809847117,"mito",""
"ACADS","P16219",0.154156020975112,0.455364910593496,"mito",""
"ACADSB","P45954",0.299144715669902,0.797406855249477,"mito",""
"ACADVL","P49748;P49748-3",-0.120858457477571,0.763823579059017,"mito",""
"ACAP2","Q15057",-0.214140990463859,1.97556951500379,"nonmito",""
"ACAT1","P24752",0.100425246435755,0.845935830284539,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",-0.328972248455585,1.03646214967983,"nonmito",""
"ACBD3","Q9H3P7",0.158181014986056,2.27231162495171,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",0.242136565209192,0.913823576877859,"nonmito",""
"ACBD6","Q9BR61",0.155849915600255,0.297244099191574,"nonmito",""
"ACIN1","Q9UKV3",-0.178482306548428,1.5053751543873,"nonmito",""
"ACLY","P53396",-0.342375021752549,3.01105925014541,"mito",""
