"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",2.03452887819302,1.74212400218888,"nonmito",""
"AAAS","Q9NRG9",-0.325398848338175,1.01313929263764,"nonmito",""
"AACS","Q86V21",0.288965293870085,0.922959587010028,"nonmito",""
"AAGAB","Q6PD74",-0.259302573512013,0.407712087925989,"nonmito",""
"AAK1","Q2M2I8",0.0322196677589517,0.110842193315668,"nonmito",""
"AAMDC","Q9H7C9",0.022074871367078,0.0314462936143386,"nonmito",""
"AAMP","Q13685",-0.346355162127256,0.636690792368593,"nonmito",""
"AAR2","Q9Y312",0.237630203146846,0.473511312449552,"nonmito",""
"AARS1","P49588",-0.818619156623107,2.78263059300379,"nonmito",""
"AARS2","Q5JTZ9",-0.0963660874788346,0.289009611890471,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",-0.262776546909638,1.64632833248802,"nonmito",""
"AASDHPPT","Q9NRN7",-0.290243933283243,1.0143130639303,"nonmito",""
"ABCB10","Q9NRK6",-0.727175347800472,1.04757732111388,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",1.40592913357684,2.27304986829591,"mito",""
"ABCB7","O75027;O75027-2",0.247850644665629,0.866373377322223,"mito",""
"ABCC1","P33527;P33527-9",0.354384834812777,1.72672416900493,"nonmito",""
"ABCC4","O15439;O15439-2",-0.459402206695346,0.653815195590786,"nonmito",""
"ABCD1","P33897",0.270917819718875,1.17921716780785,"mito",""
"ABCD3","P28288",0.133689504074578,0.565682437255765,"mito",""
"ABCE1","P61221",-0.205549136987877,1.3438217140606,"nonmito",""
"ABCF1","Q8NE71",0.232593589136769,3.55688970030149,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",0.0474801096905892,0.156720097246642,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.222428223590992,1.15600447049634,"nonmito",""
"ABHD10","Q9NUJ1",0.466094005705198,1.86052221896376,"mito",""
"ABHD11","Q8NFV4",0.179787539877536,0.511888907671471,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.026021032857841,0.0731607710631873,"nonmito",""
"ABHD14B","Q96IU4",-0.0282709617208781,0.058249765962396,"nonmito",""
"ABHD16A","O95870",-0.30828144512126,0.343722740428793,"nonmito",""
