"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",0.135079233263191,0.0910674855801588,"nonmito",""
"AAAS","Q9NRG9",-0.176020749313901,0.718626468701567,"nonmito",""
"AACS","Q86V21",-0.0379878564272129,0.085636925314272,"nonmito",""
"AAGAB","Q6PD74",-0.0383391386569549,0.103144111308173,"nonmito",""
"AAK1","Q2M2I8",-0.400716930778994,1.87095374229599,"nonmito",""
"AAMDC","Q9H7C9",-0.0776844408416935,0.121225909201224,"nonmito",""
"AAMP","Q13685",-0.683966029695569,1.1487410287693,"nonmito",""
"AAR2","Q9Y312",0.354938619249111,0.549790491227896,"nonmito",""
"AARS1","P49588",-0.0580995424065449,0.201408700584868,"nonmito",""
"AARS2","Q5JTZ9",-0.205020813040052,0.75700400442079,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",-0.51922133515378,3.19577994106127,"nonmito",""
"AASDHPPT","Q9NRN7",-0.545617888679203,3.83586153678788,"nonmito",""
"AASS","Q9UDR5",-0.38121173304688,0.815095511238989,"mito",""
"ABAT","P80404",0.563231976185547,0.320113854695818,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",1.72285558194601,2.73834415838201,"mito",""
"ABCB7","O75027;O75027-2",0.16512205486206,0.57632493064481,"mito",""
"ABCC1","P33527;P33527-9",0.646798507699891,2.68624215190396,"nonmito",""
"ABCC4","O15439;O15439-2",0.116069508829547,0.427426960570062,"nonmito",""
"ABCD1","P33897",0.519328692629685,2.17213979036271,"mito",""
"ABCD3","P28288",0.115249170809367,0.518680667998175,"mito",""
"ABCE1","P61221",-0.0798171892662722,0.466563923697914,"nonmito",""
"ABCF1","Q8NE71",0.145231922441415,2.40099443853005,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.221132124651071,0.973344120071091,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.296878654515638,3.39497165007127,"nonmito",""
"ABHD10","Q9NUJ1",0.544810869146193,1.68478292142248,"mito",""
"ABHD11","Q8NFV4",-0.193995351809569,0.129117753671295,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.287364747010653,1.18861889488783,"nonmito",""
"ABHD14B","Q96IU4",0.536815005371032,1.62332829859506,"nonmito",""
"ABHD16A","O95870",0.319518076916193,0.865890952600616,"nonmito",""
