"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",1.98784494327061,1.70842041816751,"nonmito",""
"AAAS","Q9NRG9",-0.161271203813282,0.364246155974178,"nonmito",""
"AACS","Q86V21",0.104880761249987,0.277470542527668,"nonmito",""
"AAGAB","Q6PD74",-0.0104772845744208,0.0304450126379583,"nonmito",""
"AAK1","Q2M2I8",-0.20616730208868,1.0202908380674,"nonmito",""
"AAMDC","Q9H7C9",-0.668524308785702,1.35496668411769,"nonmito",""
"AAMP","Q13685",-0.276485410568167,0.509849990763027,"nonmito",""
"AAR2","Q9Y312",0.234495836064889,0.428512389271669,"nonmito",""
"AARS1","P49588",-0.0332351766147099,0.110713716763045,"nonmito",""
"AARS2","Q5JTZ9",0.126952349122851,0.448595125282041,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",-0.364790539694578,2.16746145425585,"nonmito",""
"AASDHPPT","Q9NRN7",-0.366515812499948,2.89652478241565,"nonmito",""
"ABCB10","Q9NRK6",0.0593166594696015,0.176258386073272,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",0.867320476363629,1.55450657133913,"mito",""
"ABCB7","O75027;O75027-2",0.0775691702174868,0.231574689049212,"mito",""
"ABCC1","P33527;P33527-9",0.446393181756207,2.01940642372598,"nonmito",""
"ABCC4","O15439;O15439-2",0.219648884596928,0.771308671907631,"nonmito",""
"ABCD1","P33897",-0.113773297554834,0.394393320595936,"mito",""
"ABCD3","P28288",-0.00376695621842771,0.011892810724982,"mito",""
"ABCE1","P61221",-0.0721383375294735,0.42107298125558,"nonmito",""
"ABCF1","Q8NE71",0.0866641570646571,1.55229868404984,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.104572431855235,0.396470309754399,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.086712712066987,0.997000731226855,"nonmito",""
"ABHD10","Q9NUJ1",0.424963964852381,2.28782870548565,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.299250931939376,1.24342243254785,"nonmito",""
"ABHD14B","Q96IU4",0.497127336762631,1.49997839982952,"nonmito",""
"ABHD16A","O95870",0.215926477680252,0.556407199914813,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",0.585213324940845,0.266075811581587,"nonmito",""
"ABHD4","Q8TB40",0.319839157070771,0.112691765514236,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",-0.0690020322884131,0.248773553305131,"nonmito",""
"ABLIM3","O94929-2;O94929-3",-0.657710399178523,1.27628020847048,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",0.0600300859970666,0.191957248673217,"nonmito",""
"ABRACL","Q9P1F3",0.217465201599857,0.387959383436247,"nonmito",""
"ABRAXAS2","Q15018",0.338787080607354,2.02274465060297,"nonmito",""
"ABT1","Q9ULW3",0.354242455052674,0.101432219645072,"nonmito",""
"ACAA1","P09110",0.509646070555632,1.65450142715981,"mito",""
"ACAA2","P42765",0.141219947638948,0.699944841601731,"mito",""
"ACACA","Q13085;Q13085-4",-0.05696700334315,0.244903593665459,"mito",""
"ACAD11","Q709F0",-0.104917322597737,0.0411054143880408,"mito",""
"ACAD8","Q9UKU7",1.04270425899194,1.77006448687919,"mito",""
"ACAD9","Q9H845",0.295559074784407,0.645422870910149,"mito",""
"ACADM","P11310;P11310-2",0.27783545594567,1.02390268329523,"mito",""
"ACADS","P16219",-0.131681858666532,0.369217348263152,"mito",""
"ACADSB","P45954",0.226907035468038,0.59095768658211,"mito",""
"ACADVL","P49748;P49748-3",-0.3217128486388,1.98501031738221,"mito",""
"ACAP2","Q15057",-0.07956361787007,0.656147174028053,"nonmito",""
"ACAT1","P24752",0.178720411341978,1.53941947586069,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",-0.0448372395120593,0.106435048446276,"nonmito",""
"ACBD3","Q9H3P7",-0.0457129344876606,0.411858961953374,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",0.331264678603315,1.27535959046289,"nonmito",""
"ACIN1","Q9UKV3",-0.205323619558616,1.74392854125609,"nonmito",""
"ACLY","P53396",-0.0422056447067867,0.362913322749507,"mito",""
"ACO1","P21399",0.193744885601209,1.4225082888765,"nonmito",""
"ACO2","Q99798",-0.113686141740914,1.64519686309285,"mito",""
"ACOT1","Q86TX2",0.446702414210606,1.6407221566738,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",0.0819483941504942,0.229117037471756,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",-0.197285721675637,0.469522134748156,"mito",""
"ACOT8","O14734",0.774975419503324,1.08241151529054,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",0.199464303519839,1.82590158946148,"mito",""
"ACOX1","Q15067;Q15067-2",-0.236024449620263,0.904939490103459,"nonmito",""
"ACOX2","Q99424",0.225957850346701,0.526151962559539,"nonmito",""
"ACOX3","O15254",-0.0957558609040561,0.41082748024204,"nonmito",""
"ACP1","P24666",0.496291317604662,2.21774863684106,"nonmito",""
"ACP2","P11117",-0.00193279217292996,0.00401928052389295,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",0.225839126437613,0.477021268652673,"mito",""
"ACSF3","Q4G176",-0.223412074299315,0.302442408859819,"mito",""
"ACSL1","P33121",0.205913594986047,1.36800496476645,"mito",""
"ACSL3","O95573",0.028416870714679,0.272983220145678,"nonmito",""
"ACSL4","O60488;O60488-2",0.194634694720516,0.642694585624408,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",-0.0521334622876601,0.133009295236091,"nonmito",""
"ACTA2","P62736",0.10245274844241,0.192173216756378,"nonmito",""
"ACTB","P60709",-0.133593573787028,1.05943773999799,"nonmito",""
"ACTBL2","Q562R1",0.202976196360332,0.688842728144252,"nonmito",""
"ACTL6A","O96019",0.0267913654734144,0.115905149269078,"nonmito",""
"ACTN1","P12814-2",0.0355460382640373,0.0375253896011058,"nonmito",""
"ACTN1","P12814",-0.10061040247971,1.01537285804996,"nonmito",""
"ACTN4","O43707",-0.473383880375017,1.90390180308208,"nonmito",""
"ACTR10","Q9NZ32",-0.00414586599202771,0.0174333183939843,"nonmito",""
"ACTR1A","P61163",0.236686857502153,2.22187251180092,"nonmito",""
"ACTR1B","P42025",0.0213797383484717,0.124490126709484,"nonmito",""
"ACTR2","P61160",0.126953369315565,1.50689308005592,"nonmito",""
"ACTR3","P61158",0.0253654594637993,0.426034934822678,"nonmito",""
"ACVR1","Q04771",0.112291639968063,0.466706097218681,"nonmito",""
"ACY1","Q03154",0.0427182512780142,0.093607033492569,"nonmito",""
"ACYP1","P07311",-0.0454329608649608,0.219111680588728,"nonmito",""
"ACYP2","P14621",0.170886996203466,0.604477622849321,"nonmito",""
"ADA","P00813",0.75421637365964,1.32122958379626,"nonmito",""
"ADAM10","O14672",-0.0478194387202251,0.137568180055855,"nonmito",""
"ADAM15","Q13444;Q13444-10;Q13444-11;Q13444-12;Q13444-13;Q13444-2;Q13444-3;Q13444-4;Q13444-5;Q13444-6;Q13444-7;Q13444-8;Q13444-9",-1.19532525376916,1.52219270504629,"nonmito",""
"ADAM17","P78536",0.125430557597086,0.260071885533241,"nonmito",""
"ADAM9","Q13443",0.0338384414354191,0.0961178665175913,"nonmito",""
"ADAR","P55265;P55265-4",-0.191882499011703,4.51328416956327,"nonmito",""
"ADCY9","O60503",-0.775441133459061,1.45216423696181,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",-0.0969811255285968,0.472078487265277,"nonmito",""
"ADD3","Q9UEY8-2",-0.0386750111910708,0.126289195482274,"nonmito",""
"ADGRE5","P48960;P48960-2;P48960-3",0.0534549107081617,0.344608288069585,"nonmito",""
"ADH5","P11766",0.358960542813755,3.36051643207047,"nonmito",""
"ADI1","Q9BV57",-0.347174796287359,1.36043971891735,"nonmito",""
"ADK","P55263",-0.299526888258708,1.60851718153451,"nonmito",""
"ADO","Q96SZ5",0.20557971327761,0.389671945925039,"nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",-0.0885818075317193,0.592980792083353,"nonmito",""
"ADPRS","Q9NX46",0.0522317314343361,0.350493900202111,"nonmito",""
"ADRM1","Q16186",0.239654222371055,0.471296488455617,"nonmito",""
"ADSL","P30566",-0.0261051876219689,0.362480739637979,"nonmito",""
"ADSS2","P30520",-0.00879315705229189,0.0373229491466192,"nonmito",""
"AEBP1","Q8IUX7",-0.120652771667276,0.425435738623438,"nonmito",""
"AFAP1","Q8N556;Q8N556-2",-0.555715759456476,1.30043497726074,"nonmito",""
"AFDN","P55196-1;P55196-2;P55196-3",-0.424359530074646,0.886296165362801,"nonmito",""
"AFG3L2","Q9Y4W6",0.178565828295875,1.49866739506792,"mito",""
"AGA","P20933",0.329125266806848,0.979149441176529,"nonmito",""
"AGAP3","Q96P47;Q96P47-2;Q96P47-4",-0.301470403368528,0.284775449400016,"nonmito",""
