"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",1.44322188012091,1.28451980310167,"nonmito",""
"AAAS","Q9NRG9",0.15489326144862,0.455647329383069,"nonmito",""
"AACS","Q86V21",0.454012027959664,1.46777502980388,"nonmito",""
"AAGAB","Q6PD74",0.231898735099865,1.09929104007928,"nonmito",""
"AAK1","Q2M2I8",-0.114625489989631,0.518687922106436,"nonmito",""
"AAMDC","Q9H7C9",0.11398347565256,0.184459340867463,"nonmito",""
"AAMP","Q13685",-0.112896219105963,0.957648259731269,"nonmito",""
"AAR2","Q9Y312",0.115331960888616,0.140095201625806,"nonmito",""
"AARS1","P49588",-0.355923530766571,1.53626815092721,"nonmito",""
"AARS2","Q5JTZ9",-0.194970525203329,0.723164299450546,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",-0.149586260337841,0.973368290260627,"nonmito",""
"AASDHPPT","Q9NRN7",-0.351173143889476,2.19949085369552,"nonmito",""
"AASS","Q9UDR5",0.205648739347598,0.421160313556045,"mito",""
"ABAT","P80404",0.749778774050871,0.442427591671949,"mito",""
"ABCB10","Q9NRK6",0.331495077526586,1.05867261690082,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",0.525706363028027,0.938037552225548,"mito",""
"ABCB7","O75027;O75027-2",0.381523364879609,1.44265464249532,"mito",""
"ABCC1","P33527;P33527-9",0.164297242518142,0.788609903656935,"nonmito",""
"ABCC4","O15439;O15439-2",-0.0751218308824768,0.292434821976094,"nonmito",""
"ABCD1","P33897",-0.303058202647852,1.08979721579748,"mito",""
"ABCD3","P28288",-0.170345546377327,0.771617322840641,"mito",""
"ABCD4","O14678",-0.73161650857876,1.26443750692461,"nonmito",""
"ABCE1","P61221",-0.158696980638691,1.04144907139998,"nonmito",""
"ABCF1","Q8NE71",0.0596885982611219,0.582956583009531,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",0.188910188740639,0.818489719990778,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.154904387610443,1.54579446999681,"nonmito",""
"ABHD10","Q9NUJ1",0.195434607464051,0.946227835240266,"mito",""
"ABHD11","Q8NFV4",0.0355470847820598,0.0364014305602825,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.00463183779569221,0.0129575749560683,"nonmito",""
"ABHD14B","Q96IU4",0.115827132855976,0.307003439599627,"nonmito",""
"ABHD16A","O95870",0.174382546776485,0.43012740475588,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",0.49636076134523,0.214634662695051,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",-0.00752580893223254,0.023123206328216,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",0.225763975132327,0.544785360399496,"nonmito",""
"ABL1","P00519;P00519-2",0.757415170185823,1.25297219469156,"nonmito",""
"ABLIM3","O94929-2;O94929-3",-0.317482968498119,0.737623576712464,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",-0.0459768269782082,0.133036084668228,"nonmito",""
"ABRACL","Q9P1F3",0.339282032735898,0.498199036830375,"nonmito",""
"ABRAXAS2","Q15018",0.41185620811881,1.93049730034449,"nonmito",""
"ABT1","Q9ULW3",0.443408320482149,0.312510614975341,"nonmito",""
"ACAA1","P09110",0.193053373547116,0.578969330923972,"mito",""
"ACAA2","P42765",0.248440720596886,1.27234993795204,"mito",""
"ACACA","Q13085;Q13085-4",0.226970661511793,1.18214568386008,"mito",""
"ACAD11","Q709F0",2.11433446049896,0.93544787219022,"mito",""
"ACAD8","Q9UKU7",0.79090740190904,1.07986325295991,"mito",""
"ACAD9","Q9H845",0.421298942207663,0.956972827170914,"mito",""
"ACADM","P11310;P11310-2",0.231011786980375,0.838498129061508,"mito",""
"ACADS","P16219",-0.337215899338172,0.996599308218001,"mito",""
"ACADSB","P45954",-0.180380139982612,0.254852173293391,"mito",""
"ACADVL","P49748;P49748-3",-0.21469814906062,1.38139358938519,"mito",""
"ACAP2","Q15057",-0.214154994110663,1.84868894216536,"nonmito",""
"ACAT1","P24752",-0.102616262202517,0.848616570953809,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",0.48490172425446,1.46020808178907,"nonmito",""
"ACBD3","Q9H3P7",-0.0261171816757333,0.325156330361128,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",0.322223948231448,1.10105561722455,"nonmito",""
"ACBD6","Q9BR61",0.147635475962185,0.515144252279393,"nonmito",""
"ACIN1","Q9UKV3",-0.0617785361114898,0.459242145528666,"nonmito",""
"ACLY","P53396",0.0393063790522064,0.335134018790796,"mito",""
"ACO1","P21399",0.204956591052699,1.50448452998459,"nonmito",""
"ACO2","Q99798",-0.0310715949377212,0.332953633903549,"mito",""
"ACOT1","Q86TX2",0.101595830523824,0.331229150001806,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",-0.0433133207687035,0.104174158021711,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",0.340813682419256,0.877577608045546,"mito",""
"ACOT8","O14734",0.694577111905488,0.884829953755034,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",0.123966102007952,2.01698641243262,"mito",""
"ACOX1","Q15067;Q15067-2",0.226261943776844,0.844893963493938,"nonmito",""
"ACOX2","Q99424",0.12334287520626,0.30067546422995,"nonmito",""
"ACOX3","O15254",-0.211068864740742,0.776432842240252,"nonmito",""
"ACP1","P24666",0.464107939574681,2.5710806745255,"nonmito",""
"ACP2","P11117",-0.569949922902939,1.89255095401121,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",0.292773237249991,0.849092204282464,"mito",""
"ACSF3","Q4G176",-0.155673470381348,0.710529200160561,"mito",""
"ACSL1","P33121",-0.0774777004933505,0.317909239002661,"mito",""
"ACSL3","O95573",0.0621614514146032,0.438253154770231,"nonmito",""
"ACSL4","O60488;O60488-2",0.0277249880529205,0.0719429832828314,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",0.171348338908118,0.517796783295419,"nonmito",""
"ACTA2","P62736",0.210639559386316,0.470513664496314,"nonmito",""
"ACTB","P60709",-0.0469195236487039,0.197997165332771,"nonmito",""
"ACTBL2","Q562R1",0.925869685995266,0.556247703306375,"nonmito",""
"ACTG1","P63261",0.462002963717588,1.08789492460967,"nonmito",""
"ACTL6A","O96019",0.136853550536593,0.767708757465379,"nonmito",""
"ACTN1","P12814-2",-0.0982291996753766,0.11093300545701,"nonmito",""
"ACTN1","P12814",-0.0563488289360734,0.531186862177325,"nonmito",""
"ACTN4","O43707",-0.238081642821609,1.01683575175456,"nonmito",""
"ACTR10","Q9NZ32",0.00984613969620085,0.0482451401894879,"nonmito",""
"ACTR1A","P61163",0.233940357307748,2.21450824166185,"nonmito",""
"ACTR1B","P42025",-0.00431960764823103,0.0265866308908682,"nonmito",""
"ACTR2","P61160",0.0553359190106093,0.589445903753119,"nonmito",""
"ACTR3","P61158",-0.0536663639339068,1.48093959534997,"nonmito",""
"ACVR1","Q04771",0.614799578316386,2.22758307629479,"nonmito",""
"ACY1","Q03154",0.0368085506355698,0.0823112369917595,"nonmito",""
"ACYP1","P07311",0.0881702156975255,0.602448987516891,"nonmito",""
"ACYP2","P14621",0.169078357548932,0.729832076370856,"nonmito",""
"ADA","P00813",0.152105774970014,0.216302181553864,"nonmito",""
"ADAM10","O14672",0.12118900000134,0.403860667709165,"nonmito",""
"ADAM15","Q13444;Q13444-10;Q13444-11;Q13444-12;Q13444-13;Q13444-2;Q13444-3;Q13444-4;Q13444-5;Q13444-6;Q13444-7;Q13444-8;Q13444-9",-0.735508678213082,2.56981031122131,"nonmito",""
"ADAM17","P78536",-0.203597956639916,0.441035580419739,"nonmito",""
"ADAM9","Q13443",0.372230661312855,1.42763235347327,"nonmito",""
"ADAMTS1","Q9UHI8",0.982473286062381,0.821234594273037,"nonmito",""
"ADAR","P55265;P55265-4",-0.240506568406406,2.3377277486169,"nonmito",""
"ADCY9","O60503",-0.291495379575238,0.457317599766163,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",0.0762250698580651,0.342814771770223,"nonmito",""
"ADD3","Q9UEY8-2",0.213646219730922,0.914560829161641,"nonmito",""
"ADGRE5","P48960;P48960-2;P48960-3",0.598677846291949,3.30790108776904,"nonmito",""
"ADH5","P11766",0.241844589982758,2.74455612380047,"nonmito",""
"ADI1","Q9BV57",0.0826456783712395,0.261766173718025,"nonmito",""
"ADK","P55263",-0.350357852567811,1.9059452106811,"nonmito",""
"ADNP","Q9H2P0",0.969696046519299,0.639949868159944,"nonmito",""
"ADO","Q96SZ5",0.0760814344033349,0.187443865639602,"nonmito",""
