"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",-2.59680101121665,2.12031163080115,"nonmito",""
"AAAS","Q9NRG9",0.0328490603507543,0.0791178717339684,"nonmito",""
"AACS","Q86V21",0.373284630506063,1.21138469595145,"nonmito",""
"AAGAB","Q6PD74",-0.229408200869191,0.335951302430179,"nonmito",""
"AAK1","Q2M2I8",-0.199039750010048,0.822923498349615,"nonmito",""
"AAMDC","Q9H7C9",0.268362658737612,0.485387980503514,"nonmito",""
"AAMP","Q13685",-0.254197576485492,0.535004552750461,"nonmito",""
"AAR2","Q9Y312",-0.562805982290104,1.25940742282853,"nonmito",""
"AARS1","P49588",0.0307420181812397,0.0969221144431131,"nonmito",""
"AARS2","Q5JTZ9",-0.365609835838637,1.18294549840908,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.125644821993827,0.860858735920596,"nonmito",""
"AASDHPPT","Q9NRN7",-0.173617723232343,1.4637782591988,"nonmito",""
"AASS","Q9UDR5",0.61362631481153,1.24019499603782,"mito",""
"ABCB10","Q9NRK6",0.676024435137005,1.97074563692821,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",-0.0865577403898978,0.116534572059263,"mito",""
"ABCB7","O75027;O75027-2",0.34914999392587,1.30234565217862,"mito",""
"ABCC1","P33527;P33527-9",0.201048982863753,0.977073718833423,"nonmito",""
"ABCC4","O15439;O15439-2",0.23271147294723,0.606567119843862,"nonmito",""
"ABCD1","P33897",-0.452466864778208,1.95615870878769,"mito",""
"ABCD3","P28288",-0.120628318804584,0.447940547726192,"mito",""
"ABCE1","P61221",0.0122495475720932,0.057253091345905,"nonmito",""
"ABCF1","Q8NE71",-0.0681740664282025,0.452316071639129,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.0731309238978639,0.273878208704029,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",0.0158376378131493,0.0941311242204576,"nonmito",""
"ABHD10","Q9NUJ1",0.155250101210314,0.455183911009432,"mito",""
"ABHD11","Q8NFV4",-0.213383850285249,0.49017342436928,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.159502005235321,0.607140910089628,"nonmito",""
"ABHD14B","Q96IU4",-1.09802087833206,2.92607462339717,"nonmito",""
"ABHD16A","O95870",-0.383594185574379,0.698289825000616,"nonmito",""
"ABHD4","Q8TB40",0.457820494935875,0.157755745768153,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",-0.317546453752399,1.34596557083375,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",0.04336651371095,0.0590174454865617,"nonmito",""
"ABLIM3","O94929-2;O94929-3",-0.206091559676672,0.517787262684879,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",0.159485977099258,0.595805283336791,"nonmito",""
"ABRACL","Q9P1F3",0.337845772229375,0.46313338271303,"nonmito",""
"ABRAXAS2","Q15018",0.131158201296993,0.510434774969054,"nonmito",""
"ABT1","Q9ULW3",0.667752656119621,0.495098209396531,"nonmito",""
"ACAA1","P09110",0.293044070804722,0.879408210148882,"mito",""
"ACAA2","P42765",0.00756160684029794,0.0266936854044765,"mito",""
"ACACA","Q13085;Q13085-4",-0.0178089559151644,0.0640883046803851,"mito",""
"ACAD11","Q709F0",0.226719493405861,0.176969522038639,"mito",""
"ACAD8","Q9UKU7",0.580043671145853,1.354953874667,"mito",""
"ACAD9","Q9H845",0.246272469661214,0.522853593303667,"mito",""
"ACADM","P11310;P11310-2",0.343711564141316,1.2774699024995,"mito",""
"ACADS","P16219",-0.417824287477732,0.269989195418564,"mito",""
"ACADSB","P45954",0.307344204786567,0.837309832610451,"mito",""
"ACADVL","P49748;P49748-3",0.185835981300084,1.21065138355328,"mito",""
"ACAP2","Q15057",-0.196788490667844,1.89296021763194,"nonmito",""
"ACAT1","P24752",0.0109790598274131,0.069099063616827,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",0.0305695016021907,0.0712697596009853,"nonmito",""
"ACBD3","Q9H3P7",-0.110271129328861,1.66422960245448,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",-0.0828094930839214,0.254785890665962,"nonmito",""
"ACIN1","Q9UKV3",-0.13673096207963,1.17608739628737,"nonmito",""
"ACLY","P53396",-0.27634961809208,2.37716481710722,"mito",""
"ACO1","P21399",0.205720360367753,1.50222374181289,"nonmito",""
"ACO2","Q99798",0.0371915475751088,0.475085593330158,"mito",""
"ACOT1","Q86TX2",-0.373867193817176,1.37773580454666,"nonmito",""
