"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",1.42281715292112,1.26626996610838,"nonmito",""
"AAAS","Q9NRG9",0.204711559570335,0.547333334200746,"nonmito",""
"AACS","Q86V21",0.250354354310392,0.79022062124855,"nonmito",""
"AAGAB","Q6PD74",0.172387198383088,0.205866855122743,"nonmito",""
"AAK1","Q2M2I8",-0.196123636036347,0.561732371132111,"nonmito",""
"AAMDC","Q9H7C9",0.150532904086742,0.254403607270799,"nonmito",""
"AAMP","Q13685",0.304603199122889,1.61830850897985,"nonmito",""
"AAR2","Q9Y312",-0.0567671562992054,0.0786963165709871,"nonmito",""
"AARS1","P49588",-0.0764961293529893,0.27831668743847,"nonmito",""
"AARS2","Q5JTZ9",-0.175070954272446,0.530319735866517,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.228515041688858,1.60222234306796,"nonmito",""
"AASDHPPT","Q9NRN7",-0.150290419085358,0.82927076368766,"nonmito",""
"AASS","Q9UDR5",0.0567975156418221,0.063479658279576,"mito",""
"ABAT","P80404",0.511242667425789,0.2870180018482,"mito",""
"ABCB10","Q9NRK6",-0.0690879608589423,0.0716636319955141,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",0.769213389903419,1.12035726703045,"mito",""
"ABCB7","O75027;O75027-2",0.155238851038561,0.505169771433275,"mito",""
"ABCC1","P33527;P33527-9",-0.233053520749248,1.14323841095914,"nonmito",""
"ABCC4","O15439;O15439-2",-0.474151618283447,2.20176752031087,"nonmito",""
"ABCD1","P33897",-0.733269327364573,0.655204413858394,"mito",""
"ABCD3","P28288",-0.38458679249362,1.55857587384909,"mito",""
"ABCE1","P61221",0.113006780129616,0.7201453690725,"nonmito",""
"ABCF1","Q8NE71",0.126152741795035,2.15185068534397,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",0.141688855683608,0.587175024910588,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.0137113912904141,0.137725474121931,"nonmito",""
"ABHD10","Q9NUJ1",-0.184336466003083,1.01296430833646,"mito",""
"ABHD11","Q8NFV4",0.501815424824118,1.9427251307327,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.177794739441659,0.674888536583921,"nonmito",""
"ABHD14B","Q96IU4",-0.717918480885938,2.1567630287864,"nonmito",""
"ABHD16A","O95870",-0.0677848586954859,0.0884160404416145,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",0.753214095189563,0.348119975824893,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",-0.198519861112583,0.721189165994548,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",-0.224913717936849,0.25317903139726,"nonmito",""
"ABL1","P00519;P00519-2",0.517153107936419,0.866029175139484,"nonmito",""
"ABLIM3","O94929-2;O94929-3",-0.218954923727757,0.375936086875835,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",0.298308799436391,1.26999310269848,"nonmito",""
"ABRACL","Q9P1F3",0.692134971049558,1.54114858926073,"nonmito",""
"ABRAXAS2","Q15018",0.0929477113303445,0.521038669665781,"nonmito",""
"ABT1","Q9ULW3",0.861766008179259,0.520587657261391,"nonmito",""
"ACAA1","P09110",0.0630746724116271,0.14368374970467,"mito",""
"ACAA2","P42765",0.285902808253081,1.45188198624175,"mito",""
"ACACA","Q13085;Q13085-4",0.121349023403457,0.585585192707077,"mito",""
"ACAD11","Q709F0",-0.133925756548882,0.131508780877171,"mito",""
"ACAD8","Q9UKU7",0.887386023029229,0.853805053504321,"mito",""
"ACAD9","Q9H845",0.193573850859615,0.384704248004748,"mito",""
"ACADM","P11310;P11310-2",0.0356308941753909,0.0876033174974224,"mito",""
"ACADSB","P45954",0.165170681739244,0.329088085851832,"mito",""
"ACADVL","P49748;P49748-3",0.135621351177946,0.862089728396975,"mito",""
"ACAP2","Q15057",-0.190013655936935,1.69061541859553,"nonmito",""
"ACAT1","P24752",-0.279091876784765,2.07950437046258,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",-0.0996190713375498,0.262848473010672,"nonmito",""
"ACBD3","Q9H3P7",-0.0377112249390379,0.383059027590631,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",0.10490098566399,0.320020514276988,"nonmito",""
"ACBD6","Q9BR61",0.21892810266514,0.452201941653625,"nonmito",""
"ACIN1","Q9UKV3",0.131641871508895,0.947167671351411,"nonmito",""
"ACLY","P53396",-0.388586272783865,3.2897221314584,"mito",""
"ACO1","P21399",-0.643090914096526,3.28340944696781,"nonmito",""
"ACO2","Q99798",-0.00545058546318344,0.0542676680348818,"mito",""
"ACOT1","Q86TX2",0.129983909651823,0.419083690730492,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",0.107982053814034,0.215997849378442,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",0.556682631602655,1.44236438919708,"mito",""
"ACOT8","O14734",0.524168735358625,0.705163479826215,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",0.203753795813409,2.16050175380697,"mito",""
"ACOX1","Q15067;Q15067-2",-0.0927308854668283,0.22389593355306,"nonmito",""
"ACOX3","O15254",0.028653703613065,0.0806915042848778,"nonmito",""
"ACP1","P24666",0.463651035646048,1.13860523664146,"nonmito",""
"ACP2","P11117",-0.450557766646817,1.31373374658111,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",-0.0535569309257138,0.0717038289985469,"mito",""
"ACSF3","Q4G176",-0.169286977450486,0.247836026133521,"mito",""
"ACSL1","P33121",-0.327188830622818,1.44711803016734,"mito",""
"ACSL3","O95573",-0.0550415744763662,0.559916642298709,"nonmito",""
"ACSL4","O60488;O60488-2",0.309921968898312,1.08266095159756,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",-0.316291251728897,1.0637387136071,"nonmito",""
"ACTA2","P62736",0.425205320688946,1.00893775278084,"nonmito",""
"ACTB","P60709",-0.0484718849040497,0.270297021203872,"nonmito",""
"ACTBL2","Q562R1",1.59504011112537,1.05971172956038,"nonmito",""
"ACTG1","P63261",0.50146744619078,0.893340500991793,"nonmito",""
"ACTL6A","O96019",0.296421739503554,1.70788398886425,"nonmito",""
"ACTN1","P12814",-0.108321411455282,1.09115253017234,"nonmito",""
"ACTN1","P12814-2",0.245386760726841,0.301167623971857,"nonmito",""
"ACTN4","O43707",-0.0756491170969404,0.264327567463427,"nonmito",""
"ACTR10","Q9NZ32",0.0457088319423455,0.300898941677128,"nonmito",""
"ACTR1A","P61163",0.267837348622603,2.58212341135508,"nonmito",""
"ACTR1B","P42025",0.0294345153212952,0.233681463474826,"nonmito",""
"ACTR2","P61160",0.242104346970144,2.17279148680256,"nonmito",""
"ACTR3","P61158",0.0764296902713113,1.48872563394929,"nonmito",""
"ACVR1","Q04771",-0.174707631857569,0.31708882937229,"nonmito",""
"ACY1","Q03154",-0.0634426298192352,0.145408378515183,"nonmito",""
"ACYP1","P07311",-0.0248484984512931,0.0782369451156554,"nonmito",""
"ACYP2","P14621",-0.0480156548948862,0.145894871550464,"nonmito",""
"ADA","P00813",-0.58050280492901,0.997591036486444,"nonmito",""
"ADAM10","O14672",0.0385840003390996,0.11102295511389,"nonmito",""
"ADAM15","Q13444;Q13444-10;Q13444-11;Q13444-12;Q13444-13;Q13444-2;Q13444-3;Q13444-4;Q13444-5;Q13444-6;Q13444-7;Q13444-8;Q13444-9",-0.113680313381849,0.160205495889421,"nonmito",""
"ADAM17","P78536",-0.506635652577668,1.08320240761873,"nonmito",""
"ADAM9","Q13443",0.405052686913368,1.29304533195113,"nonmito",""
"ADAR","P55265;P55265-4",0.155936819771043,0.734801401858609,"nonmito",""
"ADCY9","O60503",0.457072399307167,0.374615866781072,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",-0.30225767604728,1.54527314869158,"nonmito",""
"ADD3","Q9UEY8-2",-0.228009326191327,0.905904706415554,"nonmito",""
"ADGRE5","P48960;P48960-2;P48960-3",0.649101014470741,3.81712429211638,"nonmito",""
"ADH5","P11766",0.0364363646453754,0.297973288588881,"nonmito",""
"ADI1","Q9BV57",0.244337135131492,0.870647537443615,"nonmito",""
"ADK","P55263",0.220378409237551,1.20668664346067,"nonmito",""
"ADNP","Q9H2P0",0.723696014254784,0.545471357056462,"nonmito",""
"ADO","Q96SZ5",0.258536146703429,0.932766914161684,"nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",-0.153834791306661,0.612700291389573,"nonmito",""
"ADPRS","Q9NX46",0.175404947251945,1.66715793233,"nonmito",""
"ADRM1","Q16186",0.419586478694356,0.913225037292318,"nonmito",""
"ADSL","P30566",-0.0466224947754128,0.231202251236315,"nonmito",""
"ADSS2","P30520",0.049729721798716,0.243334011928868,"nonmito",""
