"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",2.27589626727321,1.86862668805339,"nonmito",""
"AAAS","Q9NRG9",0.261476030022482,1.56007587066744,"nonmito",""
"AACS","Q86V21",0.548824356930012,3.204238656389,"nonmito",""
"AAGAB","Q6PD74",-0.0972763689072274,0.311657846198626,"nonmito",""
"AAK1","Q2M2I8",-0.348356382383866,2.14465913892808,"nonmito",""
"AAMDC","Q9H7C9",-0.253441464527059,0.445735818822709,"nonmito",""
"AAMP","Q13685",0.158338457001715,0.503486356742792,"nonmito",""
"AAR2","Q9Y312",0.14627305032278,1.27550027873324,"nonmito",""
"AARS1","P49588",-0.150761092212903,0.541836128771607,"nonmito",""
"AARS2","Q5JTZ9",-0.257632920293,1.30667509272949,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.136569854276168,1.0430788243991,"nonmito",""
"AASDHPPT","Q9NRN7",0.0927679837873576,0.937061280108488,"nonmito",""
"AASS","Q9UDR5",-0.268132234257294,0.176353485594535,"mito",""
"AATF","Q9NY61",-0.0368111978504633,0.0361704876244902,"nonmito",""
"ABAT","P80404",-1.30170892433723,0.845730213798296,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",0.697799530660934,1.93879731462488,"mito",""
"ABCB7","O75027;O75027-2",0.0105712709966621,0.0546379949283291,"mito",""
"ABCC1","P33527;P33527-9",-0.260833654070174,1.46223076362759,"nonmito",""
"ABCD1","P33897",0.0267647086918359,0.0931524014809105,"mito",""
"ABCD3","P28288",0.192612990014879,1.38510738746131,"mito",""
"ABCE1","P61221",-0.111885233235679,0.94626218206376,"nonmito",""
"ABCF1","Q8NE71",0.190689140018627,2.56647919284263,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",0.0952697043432913,0.81639804823725,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",0.0210337065966328,0.319067397945985,"nonmito",""
"ABHD10","Q9NUJ1",-0.119633213069058,0.618657804832764,"mito",""
"ABHD11","Q8NFV4",-0.258191889441532,0.59307215752657,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",-0.195319930034493,0.769716489231294,"nonmito",""
"ABHD14B","Q96IU4",-0.361651787981987,1.0517889576473,"nonmito",""
"ABHD16A","O95870",0.0164800139013686,0.15358038941679,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",-0.592211300201566,1.9214592501319,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",-0.124932714041712,0.674693621446019,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",-1.21893903324359,0.76514852368759,"nonmito",""
"ABLIM3","O94929-2;O94929-3",-0.975325055816736,2.82420462426142,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",0.0601933799911976,0.47803767603574,"nonmito",""
"ABRACL","Q9P1F3",0.0390163796093894,0.115421621800285,"nonmito",""
"ABRAXAS2","Q15018",-0.0502210351072883,0.251151374344475,"nonmito",""
"ABT1","Q9ULW3",-0.0239702325679154,0.0144090873540447,"nonmito",""
"ACAA1","P09110",0.144951389508737,0.412399654338846,"mito",""
"ACAA2","P42765",0.112084065108146,0.612353081719003,"mito",""
"ACACA","Q13085;Q13085-4",0.107985174819149,0.612817832865026,"mito",""
"ACAD11","Q709F0",-0.137220746700233,0.130771850170655,"mito",""
"ACAD8","Q9UKU7",-0.360116565723601,0.204237638288328,"mito",""
"ACAD9","Q9H845",0.371056103529561,1.31007885616975,"mito",""
"ACADM","P11310;P11310-2",0.175090899292943,0.88302437257047,"mito",""
"ACADS","P16219",0.290920757861013,0.50497240182732,"mito",""
"ACADSB","P45954",-0.26553888538059,1.31834981495985,"mito",""
"ACADVL","P49748;P49748-3",-0.520411338068055,2.63830574428395,"mito",""
"ACAP2","Q15057",-0.0651993615570525,0.575294154051915,"nonmito",""
