"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",2.90394634766844,2.24004278775705,"nonmito",""
"AAAS","Q9NRG9",0.324286117300243,1.27341889052577,"nonmito",""
"AACS","Q86V21",0.461997288139731,2.97222977718533,"nonmito",""
"AAGAB","Q6PD74",-0.0885717422473888,0.269681013637178,"nonmito",""
"AAK1","Q2M2I8",-0.110081446496221,0.431137899187992,"nonmito",""
"AAMDC","Q9H7C9",-0.814227228371411,1.55961763765205,"nonmito",""
"AAMP","Q13685",0.38313893921439,1.32559705770172,"nonmito",""
"AAR2","Q9Y312",0.184691131999378,1.52511854790833,"nonmito",""
"AARS1","P49588",-0.0192144217146684,0.0538830870270218,"nonmito",""
"AARS2","Q5JTZ9",-0.407588896734863,2.29383022644059,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.135011200563127,1.02959810837348,"nonmito",""
"AASDHPPT","Q9NRN7",0.121291412078069,1.54411405896003,"nonmito",""
"AASS","Q9UDR5",0.088290521244641,0.122831191836305,"mito",""
"ABAT","P80404",-0.287266291142291,0.159467403125964,"mito",""
"ABCB10","Q9NRK6",-0.146029291579531,0.181818061016219,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",0.523046419680089,1.54356650338557,"mito",""
"ABCB7","O75027;O75027-2",0.0867296445712178,0.512766898656455,"mito",""
"ABCC1","P33527;P33527-9",0.101018671401555,0.519346461792828,"nonmito",""
"ABCC4","O15439;O15439-2",0.17707724032368,0.790511950001443,"nonmito",""
"ABCD1","P33897",-0.125460838074304,0.46800466447899,"mito",""
"ABCD3","P28288",0.000786569794144043,0.00370378573047995,"mito",""
"ABCD4","O14678",-2.07064771252774,3.12729595188056,"nonmito",""
"ABCE1","P61221",-0.0934470556558225,0.78822238848209,"nonmito",""
"ABCF1","Q8NE71",0.22201139289902,2.94182467558402,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.0960419985930159,0.825167376484081,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.0182784182099063,0.207264837863569,"nonmito",""
