"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",0.913801442386124,0.758431722800279,"nonmito",""
"AAAS","Q9NRG9",-0.646441018511137,3.93942820027823,"nonmito",""
"AACS","Q86V21",-0.186709334593951,0.535924236862405,"nonmito",""
"AAGAB","Q6PD74",-0.111455788161855,0.315874973647546,"nonmito",""
"AAK1","Q2M2I8",0.116074345920012,0.43723295357035,"nonmito",""
"AAMDC","Q9H7C9",-0.583505827969232,0.987006915732407,"nonmito",""
"AAMP","Q13685",0.0106438543221508,0.0188517118873829,"nonmito",""
"AAR2","Q9Y312",0.116919979673559,0.171753740138757,"nonmito",""
"AARS1","P49588",-0.702269180043359,2.3278326162757,"nonmito",""
"AARS2","Q5JTZ9",-0.674308177403024,2.43612066656208,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",-0.0782695878825841,0.960666706149925,"nonmito",""
"AASDHPPT","Q9NRN7",-0.692518588387582,1.69194972806346,"nonmito",""
"AASS","Q9UDR5",-0.445779909305166,2.86311903575959,"mito",""
"AATF","Q9NY61",-0.145335046458145,0.365241598738231,"nonmito",""
"ABCB10","Q9NRK6",-0.738814907753927,3.13634196953389,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",-0.188291036550936,0.655790750209688,"mito",""
"ABCB7","O75027;O75027-2",-0.34692104094613,1.20523245281468,"mito",""
"ABCC1","P33527;P33527-9",0.273073904399801,1.13630918760011,"nonmito",""
"ABCC4","O15439;O15439-2",-1.07399914518713,3.48152148635102,"nonmito",""
"ABCD1","P33897",0.376730886192744,2.33168301840748,"mito",""
"ABCD3","P28288",0.0220037563744526,0.153593501321746,"mito",""
"ABCE1","P61221",-0.567978759183905,3.95927520269639,"nonmito",""
"ABCF1","Q8NE71",-0.0637407019180571,0.736832277949848,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",0.00462015042322506,0.0185826812920598,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",0.0177178307802528,0.108231796047785,"nonmito",""
"ABHD10","Q9NUJ1",0.501753664578565,3.04083349351064,"mito",""
"ABHD11","Q8NFV4",0.21227996161392,0.675701827524438,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",0.40694096992188,1.61096311759106,"nonmito",""
"ABHD14B","Q96IU4",-0.0921038505097194,0.167284986518729,"nonmito",""
"ABHD16A","O95870",0.156252480054363,1.0272411609792,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",0.835582237719972,2.57179918438918,"nonmito",""
"ABHD4","Q8TB40",-0.362310319500422,0.655054966064041,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",0.662666256943631,3.54163551227813,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",-0.573307434849536,3.73371320881005,"nonmito",""
"ABLIM3","O94929-2;O94929-3",0.114961365086671,0.220217827678067,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",0.659764237289156,4.87620369125201,"nonmito",""
"ABRACL","Q9P1F3",0.409594118809189,0.658459704583827,"nonmito",""
"ABRAXAS2","Q15018",0.014031720090717,0.038698340750036,"nonmito",""
"ABT1","Q9ULW3",0.0967726481839755,0.0904984876924008,"nonmito",""
"ACAA1","P09110",0.801434228722268,3.24033418185457,"mito",""
"ACAA2","P42765",0.12101899381031,0.551847093560315,"mito",""
"ACACA","Q13085;Q13085-4",-0.534508468323192,2.20653569788969,"mito",""
"ACAD11","Q709F0",-0.342491496878848,1.45658107220747,"mito",""
"ACAD8","Q9UKU7",0.84196996229678,1.56559701479939,"mito",""
"ACAD9","Q9H845",0.427696579809492,1.20242323452353,"mito",""
"ACADM","P11310;P11310-2",0.0284045785589981,0.102424367986805,"mito",""
"ACADS","P16219",0.368838247923904,0.852526504083509,"mito",""
"ACADSB","P45954",-1.11883622144552,4.43349777963046,"mito",""
"ACADVL","P49748;P49748-3",0.47627423575172,2.94022243647563,"mito",""
"ACAP2","Q15057",0.0647283088172994,0.511306803718775,"nonmito",""
"ACAT1","P24752",0.137220588199717,1.50591932012472,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",-0.181373714421408,0.516314923639827,"nonmito",""
"ACBD3","Q9H3P7",0.292810984908165,3.27303043135377,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",0.508820195191742,2.6778843354428,"nonmito",""
"ACBD6","Q9BR61",-0.0239833158222016,0.146224272247239,"nonmito",""
"ACIN1","Q9UKV3",-0.745139620669368,3.5499461832431,"nonmito",""
"ACKR4","Q9NPB9",-0.0463916169544127,0.0748814107123891,"nonmito",""
"ACLY","P53396",0.113034706820901,0.982864953006192,"mito",""
"ACO1","P21399",0.0609044706695308,0.404962397005619,"nonmito",""
"ACO2","Q99798",0.423843197592756,4.00481760211084,"mito",""
"ACOT1","Q86TX2",0.979961919580848,3.73206906555626,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",-0.413251366378976,1.87258194187016,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",0.280234434145097,0.914549766851806,"mito",""
"ACOT8","O14734",-0.237179530972739,0.259952146091535,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",0.386679295143797,3.69918413896649,"mito",""
"ACOX1","Q15067;Q15067-2",0.80123943098453,2.79536884427896,"nonmito",""
"ACOX2","Q99424",0.8215751018563,2.17176819008004,"nonmito",""
"ACOX3","O15254",0.326924176120384,1.43910977585345,"nonmito",""
"ACP1","P24666",-0.0637375997327254,0.405548877306719,"nonmito",""
"ACP2","P11117",1.04437254572267,2.68995423804348,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",0.47793552045218,0.937382653350237,"mito",""
"ACSF3","Q4G176",-0.0105958740974028,0.0427227129023544,"mito",""
"ACSL1","P33121",0.283159248811677,1.60790600854608,"mito",""
"ACSL3","O95573",-0.136352865268847,1.50416026285598,"nonmito",""
"ACSL4","O60488;O60488-2",0.17045697989677,0.62222642695033,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",0.135756788210436,0.526832281970339,"nonmito",""
"ACTA2","P62736",-0.538636028027302,1.12438243982613,"nonmito",""
"ACTB","P60709",-0.135521254742958,0.850737394329139,"nonmito",""
"ACTBL2","Q562R1",-2.97243381812758,1.75786033419141,"nonmito",""
"ACTL6A","O96019",-0.181179220711197,1.5995585215168,"nonmito",""
"ACTN1","P12814",0.0603626759194036,0.532700728899453,"nonmito",""
"ACTN1","P12814-2",1.53331779422541,2.13332684154712,"nonmito",""
"ACTN4","O43707",-0.145100067988139,0.625167483586698,"nonmito",""
"ACTR10","Q9NZ32",0.435726703363102,3.39816630368596,"nonmito",""
"ACTR1A","P61163",0.325256489991432,1.97232533503246,"nonmito",""
"ACTR1B","P42025",0.0960949289071138,0.719077195251094,"nonmito",""
"ACTR2","P61160",0.109322853098583,1.28517975754765,"nonmito",""
"ACTR3","P61158",0.139736621598953,2.45555072386861,"nonmito",""
"ACVR1","Q04771",-0.137266657575818,0.33677579978807,"nonmito",""
"ACY1","Q03154",0.681777650784166,2.50268311804142,"nonmito",""
"ACYP1","P07311",-0.276653783366973,1.08410949707794,"nonmito",""
"ACYP2","P14621",0.8397371193251,3.41518572723982,"nonmito",""
"ADA","P00813",0.774088975383757,1.56332384263464,"nonmito",""
"ADAM10","O14672",-0.138306664945564,0.367770762165094,"nonmito",""
"ADAM15","Q13444;Q13444-10;Q13444-11;Q13444-12;Q13444-13;Q13444-2;Q13444-3;Q13444-4;Q13444-5;Q13444-6;Q13444-7;Q13444-8;Q13444-9",0.136894023999092,0.455098170186784,"nonmito",""
"ADAM17","P78536",-0.0905315652318137,0.141104085250204,"nonmito",""
"ADAM9","Q13443",0.220842231840699,0.69906615351899,"nonmito",""
"ADAMTS1","Q9UHI8",1.4376082242147,1.70865779706285,"nonmito",""
"ADAMTSL1","Q8N6G6",0.758110948783596,1.56900840681489,"nonmito",""
"ADAR","P55265;P55265-4",-0.412755589904796,3.90349254283508,"nonmito",""
"ADCY9","O60503",-0.523191418098394,0.91712758121408,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",0.232929547037312,0.912384856403566,"nonmito",""
"ADD3","Q9UEY8-2",0.432770015159104,1.70816966629079,"nonmito",""
"ADGRE5","P48960;P48960-2;P48960-3",0.137690067850201,0.694562563282933,"nonmito",""
