"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",2.41673103063401,1.96286457103391,"nonmito",""
"AAAS","Q9NRG9",-0.568416283334164,3.02805976551962,"nonmito",""
"AACS","Q86V21",0.31210385063201,1.75556120201382,"nonmito",""
"AAGAB","Q6PD74",0.396947750970075,1.68566721358918,"nonmito",""
"AAK1","Q2M2I8",-0.268212429636876,1.50150784914165,"nonmito",""
"AAMDC","Q9H7C9",-0.453215280813007,0.873189036994126,"nonmito",""
"AAMP","Q13685",-0.0654004321024502,0.164953208510403,"nonmito",""
"AAR2","Q9Y312",0.0747636649581924,0.212732207883328,"nonmito",""
"AARS1","P49588",-0.55714642401297,2.08940260267949,"nonmito",""
"AARS2","Q5JTZ9",-0.476958277850452,1.76039928106309,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",0.264648597923276,2.00261715406248,"nonmito",""
"AASDHPPT","Q9NRN7",0.190054702870302,1.06251896941456,"nonmito",""
"AASS","Q9UDR5",1.2058425121866,0.224079892968281,"mito",""
"ABAT","P80404",0.97800172306367,0.628732272746159,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",0.571685315060531,1.70338665714645,"mito",""
"ABCB7","O75027;O75027-2",0.162599446050734,0.623113854169255,"mito",""
"ABCC1","P33527;P33527-9",0.22095839761602,1.18751461081154,"nonmito",""
"ABCC4","O15439;O15439-2",-0.0743085036026372,0.222992235946481,"nonmito",""
"ABCD1","P33897",0.316221321410673,1.29311926469549,"mito",""
"ABCD3","P28288",0.00627740355175632,0.0180548519597852,"mito",""
"ABCE1","P61221",-0.264781601685662,1.51165184863989,"nonmito",""
"ABCF1","Q8NE71",0.359093234236013,3.89084030710828,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.00871708604510957,0.0562042104039768,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",0.111166831958855,0.718517105780446,"nonmito",""
"ABHD10","Q9NUJ1",-0.111346326320323,0.641492496924632,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",0.441913586778217,1.75796996181943,"nonmito",""
"ABHD14B","Q96IU4",-0.210512250814709,0.591779687720711,"nonmito",""
