"genename","uniprot","log2FC_patient","negLogPval","MitoList","complex"
"A2M","P01023",2.70931602921947,2.13219304246291,"nonmito",""
"AAAS","Q9NRG9",0.0527582915844569,0.118626862693539,"nonmito",""
"AACS","Q86V21",0.634873489251788,3.22533935268021,"nonmito",""
"AAGAB","Q6PD74",-0.0941233354370041,0.4583529862093,"nonmito",""
"AAK1","Q2M2I8",-0.204544940714747,1.30919266318777,"nonmito",""
"AAMDC","Q9H7C9",-0.180116746308961,0.304199907511803,"nonmito",""
"AAMP","Q13685",0.192431900885392,0.628897209750831,"nonmito",""
"AAR2","Q9Y312",0.158497080080785,0.476924540440341,"nonmito",""
"AARS1","P49588",-0.339544956390501,1.2962370756043,"nonmito",""
"AARS2","Q5JTZ9",-0.392172523840076,2.18322405166823,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",-0.149799242944063,1.14905376946672,"nonmito",""
"AASDHPPT","Q9NRN7",0.201091178182853,2.70653331447659,"nonmito",""
"AASS","Q9UDR5",-0.372364353345606,1.62472229080452,"mito",""
"ABAT","P80404",0.523987079342689,0.23944880312108,"mito",""
"ABCB10","Q9NRK6",-0.166479556569579,0.568080194675408,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",0.102710935197109,0.257868163589324,"mito",""
"ABCB7","O75027;O75027-2",0.152107094808628,1.00411847290267,"mito",""
"ABCC1","P33527;P33527-9",0.909570360535234,3.43169982857226,"nonmito",""
"ABCC4","O15439;O15439-2",1.12618100691435,4.05564228387901,"nonmito",""
"ABCD1","P33897",0.136609721182186,0.578681868001739,"mito",""
"ABCD3","P28288",0.0750893677753801,0.485366897083271,"mito",""
"ABCD4","O14678",-1.65066745688404,0.648734986601321,"nonmito",""
"ABCE1","P61221",-0.396237214118837,2.82118348311016,"nonmito",""
"ABCF1","Q8NE71",0.163608523555627,2.30148892936274,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",-0.0131633211484328,0.0831881400280663,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",-0.0183363181213316,0.161857127436824,"nonmito",""
"ABHD10","Q9NUJ1",-0.207528813450885,1.30179842599742,"mito",""
"ABHD11","Q8NFV4",-1.56081966990048,0.585191120427135,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",0.331173353429545,1.3460578236861,"nonmito",""
"ABHD14B","Q96IU4",-0.250519313796769,0.774994755327636,"nonmito",""
"ABHD16A","O95870",0.0479875480628529,0.555986973751047,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",-0.171242894806348,0.654348179016286,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",-0.376602348858139,2.06321160282369,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",-0.757067872156632,1.02881723983551,"nonmito",""
"ABLIM3","O94929-2;O94929-3",-0.476729381555565,1.37153213922577,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",-0.050491500106471,0.232539398507921,"nonmito",""
"ABRACL","Q9P1F3",0.367699098724298,1.41010273080273,"nonmito",""
"ABRAXAS2","Q15018",0.0456338757906956,0.160902629605649,"nonmito",""
"ACAA1","P09110",0.192107475323521,0.57270701219475,"mito",""
"ACAA2","P42765",0.200056175992671,1.14833254421451,"mito",""
"ACACA","Q13085;Q13085-4",0.194117917338296,1.15564109345718,"mito",""
"ACAD11","Q709F0",0.927747018722407,0.527128076937165,"mito",""
"ACAD9","Q9H845",0.247497056785939,0.85633183488976,"mito",""
"ACADM","P11310;P11310-2",0.180496987991738,0.935973616669357,"mito",""
"ACADSB","P45954",0.180616183443689,1.2290696834586,"mito",""
"ACADVL","P49748;P49748-3",-0.384435121053443,2.17581481913465,"mito",""
"ACAP2","Q15057",-0.117428503577038,1.52424201478157,"nonmito",""
"ACAT1","P24752",-0.00329651920635854,0.0179686888624313,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",1.03400587078737,2.74816036180992,"nonmito",""
