"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1249023.4,6773393.33333333,"nonmito",""
"AAAS","Q9NRG9",69600.86,86975.6333333333,"nonmito",""
"AACS","Q86V21",72955.88,100115.366666667,"nonmito",""
"AAGAB","Q6PD74",134129,126162.333333333,"nonmito",""
"AAK1","Q2M2I8",118087.6,109202.766666667,"nonmito",""
"AAMDC","Q9H7C9",81736.3,44112.1,"nonmito",""
"AAMP","Q13685",49990.52,64055.0666666667,"nonmito",""
"AAR2","Q9Y312",56659.38,64254.9,"nonmito",""
"AARS1","P49588",206652,200914.333333333,"nonmito",""
"AARS2","Q5JTZ9",49006.98,36735.7333333333,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",102133.7,111752,"nonmito",""
"AASDHPPT","Q9NRN7",119609,130022.333333333,"nonmito",""
"AASS","Q9UDR5",56783.525,61712.9,"mito",""
"ABAT","P80404",35027.2875,21062.8333333333,"mito",""
"ABCB10","Q9NRK6",66615.64,62196.5333333333,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",87201.4,122501,"mito",""
"ABCB7","O75027;O75027-2",61407.7,64977.8666666667,"mito",""
"ABCC1","P33527;P33527-9",72300.46,77028.5,"nonmito",""
"ABCC4","O15439;O15439-2",73778.72,82658.8666666667,"nonmito",""
"ABCD1","P33897",76669.82,69699.1,"mito",""
"ABCD3","P28288",72613,72373.2333333333,"mito",""
"ABCD4","O14678",61809.55,14758.6,"nonmito",""
"ABCE1","P61221",185422.6,173327.666666667,"nonmito",""
"ABCF1","Q8NE71",108265,126168.666666667,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97372.74,90861,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",106646.2,105263.333333333,"nonmito",""
"ABHD10","Q9NUJ1",89209.36,84486.6666666667,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",93797.34,87774.8666666667,"nonmito",""
"ABHD14B","Q96IU4",220861.6,193309,"nonmito",""
"ABHD16A","O95870",80101.7,79555.0333333333,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",31308.6,35606.8333333333,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",86466.88,63672.6333333333,"nonmito",""
"ABLIM3","O94929-2;O94929-3",70846.96,48854.2666666667,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",83617.8,76389,"nonmito",""
"ABRACL","Q9P1F3",223533.6,221644.333333333,"nonmito",""
"ABRAXAS2","Q15018",72536.72,67359.0333333333,"nonmito",""
"ACAA1","P09110",101190.04,103635.733333333,"mito",""
"ACAA2","P42765",115173.12,113062,"mito",""
"ACACA","Q13085;Q13085-4",78784.74,92542.8666666667,"mito",""
"ACAD11","Q709F0",135807.6,492148.666666667,"mito",""
"ACAD8","Q9UKU7",37436.8,33679.6,"mito",""
"ACAD9","Q9H845",71178.4,83877.3666666667,"mito",""
"ACADM","P11310;P11310-2",129016,127409.333333333,"mito",""
"ACADSB","P45954",42571.06,38456.1333333333,"mito",""
"ACADVL","P49748;P49748-3",220045.2,162163.333333333,"mito",""
"ACAP2","Q15057",62330.44,60550.8333333333,"nonmito",""
"ACAT1","P24752",222039,216255,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",178254,423401.333333333,"nonmito",""
"ACBD3","Q9H3P7",164259,180827,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",53796.96,48551.5,"nonmito",""
"ACBD6","Q9BR61",39066.875,35822.9666666667,"nonmito",""
"ACE","P12821;P12821-2",24321.05,57210.5666666667,"nonmito",""
