"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1218337.8,3567893.33333333,"nonmito",""
"AAAS","Q9NRG9",64092,57334.0666666667,"nonmito",""
"AACS","Q86V21",67170.62,70822,"nonmito",""
"AAGAB","Q6PD74",102035.9,100906.2,"nonmito",""
"AAK1","Q2M2I8",107611.26,92538.6666666667,"nonmito",""
"AAMDC","Q9H7C9",77654.76,46533.7666666667,"nonmito",""
"AAMP","Q13685",60659.08,50936.8666666667,"nonmito",""
"AAR2","Q9Y312",37725.34,42957.0666666667,"nonmito",""
"AARS1","P49588",203694.6,196804,"nonmito",""
"AARS2","Q5JTZ9",39915.94,43026.9,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",113986.8,88263.8666666667,"nonmito",""
"AASDHPPT","Q9NRN7",130619.4,101119.966666667,"nonmito",""
"ABCB10","Q9NRK6",60535.58,63012.8666666667,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",47727.76,81933.1666666667,"mito",""
"ABCB7","O75027;O75027-2",64735.56,67402.7666666667,"mito",""
"ABCC1","P33527;P33527-9",70074.18,94621.2333333333,"nonmito",""
"ABCC4","O15439;O15439-2",64388.06,74614.7,"nonmito",""
"ABCD1","P33897",68861.78,63068.4666666667,"mito",""
"ABCD3","P28288",71937.16,71161.8,"mito",""
"ABCE1","P61221",206159.8,195169.666666667,"nonmito",""
"ABCF1","Q8NE71",104476,110873,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97546.08,89837.1333333333,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",117652,110759,"nonmito",""
"ABHD10","Q9NUJ1",59746.78,79878.0333333333,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",96363.52,77425.1333333333,"nonmito",""
"ABHD14B","Q96IU4",201462.6,277828.666666667,"nonmito",""
"ABHD16A","O95870",59554.38,67375,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",34726.2,39305.5,"nonmito",""
"ABHD4","Q8TB40",21924.2,23286.1666666667,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",77749.82,73347.0333333333,"nonmito",""
"ABLIM3","O94929-2;O94929-3",58248.16,36740.9666666667,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",86052.92,88840.0666666667,"nonmito",""
"ABRACL","Q9P1F3",155860.86,175559.333333333,"nonmito",""
"ABRAXAS2","Q15018",51696.08,65031.1333333333,"nonmito",""
"ABT1","Q9ULW3",98987.46,208184.966666667,"nonmito",""
"ACAA1","P09110",72276.92,101024.2,"mito",""
"ACAA2","P42765",113433.9,124069.333333333,"mito",""
"ACACA","Q13085;Q13085-4",78875.72,75225.5666666667,"mito",""
"ACAD11","Q709F0",58750.2,65255.8666666667,"mito",""
"ACAD8","Q9UKU7",25658.65,53362.1,"mito",""
"ACAD9","Q9H845",76072.6,90117.3,"mito",""
"ACADM","P11310;P11310-2",127015.18,151723,"mito",""
"ACADS","P16219",91996.5,83494.7333333333,"mito",""
"ACADSB","P45954",36606.4,41781.6,"mito",""
"ACADVL","P49748;P49748-3",243633.8,194004.333333333,"mito",""
"ACAP2","Q15057",61446.84,58049.2666666667,"nonmito",""
"ACAT1","P24752",228179.2,257580,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",195630.2,185916,"nonmito",""
"ACBD3","Q9H3P7",138182.4,133832,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",40817.88,50675.7666666667,"nonmito",""
"ACIN1","Q9UKV3",65330.86,56523.3333333333,"nonmito",""
"ACLY","P53396",358907.6,347774.666666667,"mito",""
"ACO1","P21399",156953.8,178837.333333333,"nonmito",""
"ACO2","Q99798",129571.4,119644.666666667,"mito",""
"ACOT1","Q86TX2",134197,180237.666666667,"nonmito",""
