"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1218337.8,1685140,"nonmito",""
"AAAS","Q9NRG9",64092,96640.9666666667,"nonmito",""
"AACS","Q86V21",67170.62,72610.4333333333,"nonmito",""
"AAGAB","Q6PD74",102035.9,98508.6666666667,"nonmito",""
"AAK1","Q2M2I8",107611.26,82460.2,"nonmito",""
"AAMDC","Q9H7C9",77654.76,46447.2666666667,"nonmito",""
"AAMP","Q13685",60659.08,49841.4666666667,"nonmito",""
"AAR2","Q9Y312",37725.34,43782.3333333333,"nonmito",""
"AARS1","P49588",203694.6,219208.333333333,"nonmito",""
"AARS2","Q5JTZ9",39915.94,48502.7333333333,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",113986.8,112806.666666667,"nonmito",""
"AASDHPPT","Q9NRN7",130619.4,141451,"nonmito",""
"ABCB10","Q9NRK6",60535.58,98513.0666666667,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",47727.76,33251.2,"mito",""
"ABCB7","O75027;O75027-2",64735.56,65778.6666666667,"mito",""
"ABCC1","P33527;P33527-9",70074.18,80389.2333333333,"nonmito",""
"ABCC4","O15439;O15439-2",64388.06,65885.8,"nonmito",""
"ABCD1","P33897",68861.78,41797.3666666667,"mito",""
"ABCD3","P28288",71937.16,69216.9,"mito",""
"ABCE1","P61221",206159.8,235509.333333333,"nonmito",""
"ABCF1","Q8NE71",104476,112138.666666667,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97546.08,117349.333333333,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",117652,120430,"nonmito",""
"ABHD10","Q9NUJ1",59746.78,51741.9333333333,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",96363.52,86910.1,"nonmito",""
"ABHD14B","Q96IU4",201462.6,211666.666666667,"nonmito",""
"ABHD16A","O95870",59554.38,49036.8333333333,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",77749.82,51279.7333333333,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",74784.9,54327.1333333333,"nonmito",""
"ABLIM3","O94929-2;O94929-3",58248.16,27458.6,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",86052.92,92723.2666666667,"nonmito",""
"ABRACL","Q9P1F3",155860.86,146486,"nonmito",""
"ABRAXAS2","Q15018",51696.08,37805.9,"nonmito",""
"ABT1","Q9ULW3",98987.46,51079.6333333333,"nonmito",""
"ACAA1","P09110",72276.92,68092.1,"mito",""
"ACAA2","P42765",113433.9,105768,"mito",""
"ACACA","Q13085;Q13085-4",78875.72,85446.8333333333,"mito",""
"ACAD9","Q9H845",76072.6,81232.3,"mito",""
"ACADM","P11310;P11310-2",127015.18,140669.333333333,"mito",""
"ACADSB","P45954",36606.4,29610.5,"mito",""
"ACADVL","P49748;P49748-3",243633.8,205919,"mito",""
"ACAP2","Q15057",61446.84,43265.8333333333,"nonmito",""
"ACAT1","P24752",228179.2,199338.333333333,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",195630.2,162506.333333333,"nonmito",""
"ACBD3","Q9H3P7",138182.4,141545.666666667,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",40817.88,35122.4333333333,"nonmito",""
"ACIN1","Q9UKV3",65330.86,69209.7666666667,"nonmito",""
"ACLY","P53396",358907.6,358598.666666667,"mito",""
"ACO1","P21399",156953.8,123771.333333333,"nonmito",""
"ACO2","Q99798",129571.4,105103.333333333,"mito",""
"ACOT1","Q86TX2",134197,125259.333333333,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",98753.1,100567.3,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",239025.4,234089.666666667,"mito",""
"ACOT8","O14734",133075.5,159057.533333333,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",151426.2,154858.666666667,"mito",""
"ACOX1","Q15067;Q15067-2",77450.06,74392.6333333333,"nonmito",""
"ACOX2","Q99424",48346.92,45010.5666666667,"nonmito",""
"ACOX3","O15254",46630.88,35261.4,"nonmito",""
"ACP1","P24666",169454.2,185821.333333333,"nonmito",""
"ACP2","P11117",140170.6,142736.333333333,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",25777.92,16795,"mito",""
"ACSF3","Q4G176",35140.34,23822.6,"mito",""
"ACSL1","P33121",73890.36,77911.3,"mito",""
"ACSL3","O95573",164806,175436.666666667,"nonmito",""
"ACSL4","O60488;O60488-2",99720.96,128610.333333333,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",68213.26,55867.8333333333,"nonmito",""
"ACTA2","P62736",1105210.6,878326,"nonmito",""
"ACTB","P60709",1334394,1180670,"nonmito",""
"ACTBL2","Q562R1",314895.2,310076,"nonmito",""
"ACTL6A","O96019",99751.32,117491.666666667,"nonmito",""
"ACTN1","P12814",736682.4,726537,"nonmito",""
"ACTN1","P12814-2",136619.66,136778.333333333,"nonmito",""
"ACTN4","O43707",501579.2,319368,"nonmito",""
"ACTR10","Q9NZ32",62928.38,56330.7666666667,"nonmito",""
"ACTR1A","P61163",261279.6,231659.333333333,"nonmito",""
"ACTR1B","P42025",196870.2,188095.333333333,"nonmito",""
"ACTR2","P61160",405645.8,423777.333333333,"nonmito",""
"ACTR3","P61158",584850.6,555697.666666667,"nonmito",""
"ACVR1","Q04771",78670.5,74937.8333333333,"nonmito",""
"ACY1","Q03154",83126.1,65058.3333333333,"nonmito",""
"ACYP1","P07311",62342.74,52400.0333333333,"nonmito",""
"ADA","P00813",53056.74,56503.4333333333,"nonmito",""
"ADAM10","O14672",85927.76,85911.1666666667,"nonmito",""
"ADAM17","P78536",49658.82,47354.7,"nonmito",""
"ADAM9","Q13443",36726.76,28729.1,"nonmito",""
"ADAR","P55265;P55265-4",70973.74,74999.1666666667,"nonmito",""
"ADCY9","O60503",50177.26,31314.7666666667,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",140971.6,102630.9,"nonmito",""
"ADD3","Q9UEY8-2",127521.62,103621,"nonmito",""
"ADGRE5","P48960;P48960-2;P48960-3",68808.94,78421.4333333333,"nonmito",""
"ADH5","P11766",256258.6,240549.666666667,"nonmito",""
"ADI1","Q9BV57",112605.76,126106.333333333,"nonmito",""
"ADK","P55263",100318.32,91185.5666666667,"nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",57427.7,56825.2666666667,"nonmito",""
"ADPRS","Q9NX46",66257.92,53048.2,"nonmito",""
"ADRM1","Q16186",150763.48,141682,"nonmito",""
"ADSL","P30566",96241.92,96468,"nonmito",""
