"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1218337.8,2411503.33333333,"nonmito",""
"AAAS","Q9NRG9",64092,73714.9666666667,"nonmito",""
"AACS","Q86V21",67170.62,78258.4,"nonmito",""
"AAGAB","Q6PD74",102035.9,119168.9,"nonmito",""
"AAK1","Q2M2I8",107611.26,93827.6333333333,"nonmito",""
"AAMDC","Q9H7C9",77654.76,82075.6,"nonmito",""
"AAMP","Q13685",60659.08,74884.2,"nonmito",""
"AAR2","Q9Y312",37725.34,35249.3666666667,"nonmito",""
"AARS1","P49588",203694.6,191046,"nonmito",""
"AARS2","Q5JTZ9",39915.94,35030,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",113986.8,133001.333333333,"nonmito",""
"AASDHPPT","Q9NRN7",130619.4,117644.666666667,"nonmito",""
"AASS","Q9UDR5",61167.0666666667,64577.7,"mito",""
"ABAT","P80404",31057.18,31750.6,"mito",""
"ABCB10","Q9NRK6",60535.58,60152.2666666667,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",47727.76,78564.5333333333,"mito",""
"ABCB7","O75027;O75027-2",64735.56,71187.7333333333,"mito",""
"ABCC1","P33527;P33527-9",70074.18,59116.0333333333,"nonmito",""
"ABCC4","O15439;O15439-2",64388.06,45953.6333333333,"nonmito",""
"ABCD1","P33897",68861.78,44278.1333333333,"mito",""
"ABCD3","P28288",71937.16,54803.5,"mito",""
"ABCE1","P61221",206159.8,221862.333333333,"nonmito",""
"ABCF1","Q8NE71",104476,113966.666666667,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97546.08,106504,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",117652,116484,"nonmito",""
"ABHD10","Q9NUJ1",59746.78,52338.6666666667,"mito",""
"ABHD11","Q8NFV4",59850.58,84076.35,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",96363.52,84278.2333333333,"nonmito",""
"ABHD14B","Q96IU4",201462.6,119905,"nonmito",""
