uniprot,EnsemblGeneID,genename,Description,MitoList,MitoCarta3.0_SubMitoLocalization,MitoCarta3.0_MitoPathways,HPA_Main_Location_2020 (Reliability),complex,CI,CII,CIII,CIV,CV,mtRibo
Q9NWT8,ENSG00000175756,AURKAIP1,aurora kinase A interacting protein 1,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria;Nucleoplasm (Supported),mtSSU,,,,,,mtSSU
Q96BP2,ENSG00000172586,CHCHD1,coiled-coil-helix-coiled-coil-helix domain containing 1,Mito,MIM,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria;Nucleoplasm (Supported),mtSSU,,,,,,mtSSU
P51398,ENSG00000132676,DAP3,death associated protein 3,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria;Nucleoplasm (Supported),mtSSU,,,,,,mtSSU
Q8TAE8,ENSG00000179271,GADD45GIP1,GADD45G interacting protein 1,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Enhanced),mtLSU,,,,,,mtLSU
Q9BYD6,ENSG00000169288,MRPL1,mitochondrial ribosomal protein L1,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q7Z7H8,ENSG00000159111,MRPL10,mitochondrial ribosomal protein L10,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Enhanced),mtLSU,,,,,,mtLSU
Q9Y3B7,ENSG00000174547,MRPL11,mitochondrial ribosomal protein L11,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
P52815,ENSG00000262814,MRPL12,mitochondrial ribosomal protein L12,Mito,Matrix,Mitochondrial central dogma;mtRNA metabolism;Transcription;Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q9BYD1,ENSG00000172172,MRPL13,mitochondrial ribosomal protein L13,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q6P1L8,ENSG00000180992,MRPL14,mitochondrial ribosomal protein L14,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q9P015,ENSG00000137547,MRPL15,mitochondrial ribosomal protein L15,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q9NX20,ENSG00000166902,MRPL16,mitochondrial ribosomal protein L16,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
