"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1218337.8,3685593.33333333,"nonmito",""
"AAAS","Q9NRG9",64092,50961.6,"nonmito",""
"AACS","Q86V21",67170.62,80409.0666666667,"nonmito",""
"AAGAB","Q6PD74",102035.9,86886.7333333333,"nonmito",""
"AAK1","Q2M2I8",107611.26,109252.333333333,"nonmito",""
"AAMDC","Q9H7C9",77654.76,75111.1666666667,"nonmito",""
"AAMP","Q13685",60659.08,48585.5333333333,"nonmito",""
"AAR2","Q9Y312",37725.34,42874.9,"nonmito",""
"AARS1","P49588",203694.6,114185.333333333,"nonmito",""
"AARS2","Q5JTZ9",39915.94,36926.3,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",113986.8,94710.7666666667,"nonmito",""
"AASDHPPT","Q9NRN7",130619.4,107158.3,"nonmito",""
"ABCB10","Q9NRK6",60535.58,37499.8333333333,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",47727.76,118965.333333333,"mito",""
"ABCB7","O75027;O75027-2",64735.56,75939.7333333333,"mito",""
"ABCC1","P33527;P33527-9",70074.18,88805.1333333333,"nonmito",""
"ABCC4","O15439;O15439-2",64388.06,48016.3333333333,"nonmito",""
"ABCD1","P33897",68861.78,82265.5333333333,"mito",""
"ABCD3","P28288",71937.16,78304,"mito",""
"ABCE1","P61221",206159.8,177905.666666667,"nonmito",""
"ABCF1","Q8NE71",104476,122688.666666667,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97546.08,99834.2666666667,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",117652,101006.566666667,"nonmito",""
"ABHD10","Q9NUJ1",59746.78,82390.3666666667,"mito",""
"ABHD11","Q8NFV4",59850.58,67676.4333333333,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",96363.52,93645.0666666667,"nonmito",""
"ABHD14B","Q96IU4",201462.6,193536.333333333,"nonmito",""
"ABHD16A","O95870",59554.38,49020,"nonmito",""
"ABHD4","Q8TB40",21924.2,13038.205,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",77749.82,94239.5666666667,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",74784.9,78353.6333333333,"nonmito",""
"ABLIM3","O94929-2;O94929-3",58248.16,40340.4666666667,"nonmito",""
