"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1218337.8,3996970,"nonmito",""
"AAAS","Q9NRG9",64092,71737.8333333333,"nonmito",""
"AACS","Q86V21",67170.62,34917.0333333333,"nonmito",""
"AAGAB","Q6PD74",102035.9,72182.2333333333,"nonmito",""
"AAK1","Q2M2I8",107611.26,93223.0333333333,"nonmito",""
"AAMDC","Q9H7C9",77654.76,60122.3333333333,"nonmito",""
"AAMP","Q13685",60659.08,63391.8666666667,"nonmito",""
"AAR2","Q9Y312",37725.34,44527.6,"nonmito",""
"AARS1","P49588",203694.6,268991.666666667,"nonmito",""
"AARS2","Q5JTZ9",39915.94,33790.4333333333,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",113986.8,115906.1,"nonmito",""
"AASDHPPT","Q9NRN7",130619.4,86599.8666666667,"nonmito",""
"ABAT","P80404",31057.18,64054,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",47727.76,81211.5333333333,"mito",""
"ABCB7","O75027;O75027-2",64735.56,57884.3666666667,"mito",""
"ABCC1","P33527;P33527-9",70074.18,113333,"nonmito",""
"ABCC4","O15439;O15439-2",64388.06,47837.1,"nonmito",""
"ABCD1","P33897",68861.78,70811.7,"mito",""
"ABCD3","P28288",71937.16,69733.1333333333,"mito",""
"ABCE1","P61221",206159.8,218332.666666667,"nonmito",""
"ABCF1","Q8NE71",104476,116346,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97546.08,101550.633333333,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",117652,109364,"nonmito",""
"ABHD10","Q9NUJ1",59746.78,49994.4,"mito",""
"ABHD11","Q8NFV4",59850.58,67556.7,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",96363.52,72697.1333333333,"nonmito",""
"ABHD14B","Q96IU4",201462.6,197661.666666667,"nonmito",""
"ABHD16A","O95870",59554.38,58043.5333333333,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",77749.82,66218.7333333333,"nonmito",""
"ABL1","P00519;P00519-2",30616.1,38739.05,"nonmito",""
"ABLIM3","O94929-2;O94929-3",58248.16,26651.25,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",86052.92,90545.4666666667,"nonmito",""
"ABRACL","Q9P1F3",155860.86,80577.0666666667,"nonmito",""
"ABRAXAS2","Q15018",51696.08,59219.4,"nonmito",""
"ABT1","Q9ULW3",98987.46,345560.333333333,"nonmito",""
"ACAA1","P09110",72276.92,93850.8333333333,"mito",""
"ACAA2","P42765",113433.9,126342.666666667,"mito",""
"ACACA","Q13085;Q13085-4",78875.72,67394.9333333333,"mito",""
"ACAD11","Q709F0",58750.2,24403.8,"mito",""
"ACAD9","Q9H845",76072.6,79795.1333333333,"mito",""
"ACADM","P11310;P11310-2",127015.18,47446.7333333333,"mito",""
"ACADSB","P45954",36606.4,31856.1333333333,"mito",""
"ACADVL","P49748;P49748-3",243633.8,249523.333333333,"mito",""
"ACAP2","Q15057",61446.84,54765.6666666667,"nonmito",""
"ACAT1","P24752",228179.2,187318,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",195630.2,115402.333333333,"nonmito",""
"ACBD3","Q9H3P7",138182.4,145219.666666667,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",40817.88,49852.5,"nonmito",""
"ACBD6","Q9BR61",31575.38,29807.5333333333,"nonmito",""
"ACIN1","Q9UKV3",65330.86,57943.2,"nonmito",""
"ACLY","P53396",358907.6,370369.333333333,"mito",""
"ACO1","P21399",156953.8,126660,"nonmito",""
"ACO2","Q99798",129571.4,117533.666666667,"mito",""
"ACOT1","Q86TX2",134197,148644.333333333,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",98753.1,88870.0666666667,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",239025.4,245108,"mito",""
"ACOT8","O14734",133075.5,117230.266666667,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",151426.2,133720.333333333,"mito",""
"ACOX1","Q15067;Q15067-2",77450.06,75002.9666666667,"nonmito",""
"ACOX2","Q99424",48346.92,58712.3666666667,"nonmito",""
"ACOX3","O15254",46630.88,52535.7333333333,"nonmito",""
"ACP1","P24666",169454.2,246358,"nonmito",""
"ACP2","P11117",140170.6,122555.666666667,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",25777.92,28029.9,"mito",""
"ACSL1","P33121",73890.36,77444.8666666667,"mito",""
"ACSL3","O95573",164806,142694.333333333,"nonmito",""
"ACSL4","O60488;O60488-2",99720.96,95913.2333333333,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",68213.26,59720.5,"nonmito",""
"ACTA2","P62736",1105210.6,1375713.33333333,"nonmito",""
"ACTB","P60709",1334394,1421856.66666667,"nonmito",""
"ACTBL2","Q562R1",314895.2,1923893.33333333,"nonmito",""
"ACTL6A","O96019",99751.32,110676.333333333,"nonmito",""
"ACTN1","P12814-2",136619.66,242106.333333333,"nonmito",""
"ACTN1","P12814",736682.4,765008,"nonmito",""
"ACTN4","O43707",501579.2,493989.333333333,"nonmito",""
"ACTR10","Q9NZ32",62928.38,53572.5666666667,"nonmito",""
"ACTR1A","P61163",261279.6,314024.333333333,"nonmito",""
"ACTR1B","P42025",196870.2,191069.333333333,"nonmito",""
"ACTR2","P61160",405645.8,446494,"nonmito",""
"ACTR3","P61158",584850.6,533579.333333333,"nonmito",""
"ACVR1","Q04771",78670.5,71680.5,"nonmito",""
"ACY1","Q03154",83126.1,95206.9666666667,"nonmito",""
"ACYP1","P07311",62342.74,51100.0333333333,"nonmito",""
"ACYP2","P14621",55670.54,49080.7333333333,"nonmito",""
"ADA","P00813",53056.74,206705.333333333,"nonmito",""
"ADAM10","O14672",85927.76,91703.8333333333,"nonmito",""
"ADAM17","P78536",49658.82,41810.55,"nonmito",""
"ADAM9","Q13443",36726.76,25293.1,"nonmito",""
"ADAR","P55265;P55265-4",70973.74,66182.1333333333,"nonmito",""
"ADCY9","O60503",50177.26,40256.3333333333,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",140971.6,141729,"nonmito",""
"ADD3","Q9UEY8-2",127521.62,152407.333333333,"nonmito",""
"ADGRE5","P48960;P48960-2;P48960-3",68808.94,72473.6666666667,"nonmito",""
"ADH5","P11766",256258.6,335914,"nonmito",""
"ADI1","Q9BV57",112605.76,74958.3,"nonmito",""
"ADK","P55263",100318.32,81863.5333333333,"nonmito",""
"ADO","Q96SZ5",58954.25,56593.5333333333,"nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",57427.7,60355.4,"nonmito",""
"ADPRS","Q9NX46",66257.92,74314.5,"nonmito",""
"ADRM1","Q16186",150763.48,183331.333333333,"nonmito",""
"ADSL","P30566",96241.92,101980.333333333,"nonmito",""
"ADSS2","P30520",176887,181488,"nonmito",""
"AEBP1","Q8IUX7",59778.2,36004.1,"nonmito",""
"AFAP1","Q8N556;Q8N556-2",79567.92,69403.4,"nonmito",""
"AFG3L2","Q9Y4W6",64802.74,67290,"mito",""
"AGAP3","Q96P47;Q96P47-2;Q96P47-4",16011.158,32697.65,"nonmito",""
"AGFG1","P52594;P52594-2;P52594-3;P52594-4",89602.44,97529.7666666667,"nonmito",""
"AGK","Q53H12",82095.7,73931.9,"mito",""
"AGL","P35573",71669.96,77838.4,"nonmito",""
"AGO1","Q9UL18",41009.02,39637.3333333333,"nonmito",""
"AGO2","Q9UKV8",51791.68,71597.9666666667,"nonmito",""
"AGO3","Q9H9G7",72767.84,67136.4,"nonmito",""
"AGPAT2","O15120",87150.4666666667,113694.666666667,"nonmito",""
"AGPAT3","Q9NRZ7",57400.66,33203.6,"nonmito",""
"AGPS","O00116",109307.02,128949.666666667,"nonmito",""
"AGTRAP","Q6RW13",95053.225,93317.2,"nonmito",""
"AHCTF1","Q8WYP5;Q8WYP5-2;Q8WYP5-3",22265.26,26247.7,"nonmito",""
"AHCY","P23526",300816.6,263165.666666667,"nonmito",""
"AHCYL1","O43865",110747.88,124968.333333333,"mito",""
"AHNAK","Q09666",349898.4,269318.333333333,"nonmito",""
"AHNAK2","Q8IVF2-3",116988.54,81293.9,"nonmito",""
"AHR","P35869",10854.588,15487.75,"nonmito",""
"AHSA1","O95433",159565.2,170687.666666667,"nonmito",""
"AIDA","Q96BJ3",94179.92,90712.7,"nonmito",""
"AIFM1","O95831;O95831-3",121642.6,130239,"mito",""
"AIFM2","Q9BRQ8",64062.76,66194.2666666667,"mito",""
"AIMP1","Q12904",92120.16,103203.333333333,"nonmito",""
"AIMP2","Q13155",130066.6,136848.333333333,"nonmito",""
"AIP","O00170",79573.82,66243.4333333333,"nonmito",""
"AK1","P00568",203874.6,228613.333333333,"nonmito",""
"AK2","P54819;P54819-2",121910.94,103209.9,"mito",""
"AK3","Q9UIJ7",136417.2,133919.666666667,"mito",""
"AK4","P27144",50765.54,59534.0333333333,"mito",""
"AK5","Q9Y6K8;Q9Y6K8-3",284187.4,239606.666666667,"nonmito",""
"AK6","Q9Y3D8",73591.96,85322.8,"nonmito",""
"AKAP12","Q02952;Q02952-2;Q02952-3",44448.8,25813.7333333333,"nonmito",""
"AKAP13","Q12802",43649.88,24964.2333333333,"nonmito",""
"AKAP17A","Q02040",207083.2,353031.666666667,"nonmito",""
"AKAP2","Q9Y2D5-6",117268.46,112704.666666667,"nonmito",""
"AKAP9","Q99996;Q99996-1;Q99996-3;Q99996-5;Q99996-6",27176.78,19661.7,"nonmito",""
"AKR1A1","P14550",206908.2,205206,"nonmito",""
"AKR1B1","P15121",244587.2,201868.666666667,"nonmito",""
"AKR1C1","Q04828",221209.2,332823,"nonmito",""
"AKR1C3","P42330",120402.1,198347.666666667,"nonmito",""
"AKR7A2","O43488",263810.2,251114.333333333,"mito",""
"AKT1","P31749",67149.28,65865.0666666667,"nonmito",""
"AKT1S1","Q96B36",171910.4,135657,"nonmito",""
"AKT2","P31751",49967.44,31291.5033333333,"nonmito",""
"AKTIP","Q9H8T0;Q9H8T0-2",36386.08,51316.7333333333,"nonmito",""
"ALAD","P13716;P13716-2",109651,130407.333333333,"nonmito",""
"ALCAM","Q13740;Q13740-2",150254.8,145690.666666667,"nonmito",""
"ALDH16A1","Q8IZ83",60142.12,98934.3666666667,"nonmito",""
"ALDH18A1","P54886;P54886-2",164565.4,156618.333333333,"mito",""
"ALDH1A3","P47895",146453.04,126591,"nonmito",""
"ALDH1B1","P30837",104999.78,157671.666666667,"mito",""
"ALDH1L2","Q3SY69",151451.3,174615.666666667,"mito",""
"ALDH2","P05091",97885.02,101287.133333333,"mito",""
"ALDH3A2","P51648;P51648-2",58724.42,53759.0333333333,"mito",""
"ALDH3B1","P43353",63264.225,124794.45,"nonmito",""
"ALDH4A1","P30038",77100.8,63886.0333333333,"mito",""
"ALDH6A1","Q02252;Q02252-2",121429.8,110806.666666667,"mito",""
"ALDH7A1","P49419-2",156071.8,161567.333333333,"mito",""
"ALDH9A1","P49189",187525,184075.666666667,"mito",""
"ALDOA","P04075",600070.6,764128.333333333,"nonmito",""
"ALDOC","P09972",119860.4,141176,"nonmito",""
"ALG1","Q9BT22",84412.36,94708.6666666667,"nonmito",""
"ALG11","Q2TAA5",68665.62,59423.4,"nonmito",""
"ALG12","Q9BV10",50943.74,42379.7333333333,"nonmito",""
"ALG13","Q9NP73-2",32223.2,26454.7666666667,"nonmito",""
"ALG2","Q9H553",103963.74,136393,"nonmito",""
"ALG5","Q9Y673",86175.06,101187.266666667,"nonmito",""
"ALG9","Q9H6U8;Q9H6U8-3",51080.45,45131.2,"nonmito",""
"ALKBH5","Q6P6C2;Q6P6C2-1",32202.24,34085.4333333333,"nonmito",""
"ALYREF","Q86V81",268139,296230.333333333,"nonmito",""
"AMDHD2","Q9Y303",90165.64,76666.6666666667,"nonmito",""
"AMFR","Q9UKV5",81499.3,48656.7333333333,"nonmito",""
"AMPD2","Q01433",127043.8,119440,"nonmito",""
"AMPH","P49418;P49418-2",73030.46,69561.1666666667,"nonmito",""
"ANAPC1","Q9H1A4",45998.68,57977.1333333333,"nonmito",""
"ANAPC5","Q9UJX4",29185.26,48340.4,"nonmito",""
"ANAPC7","Q9UJX3;Q9UJX3-2",46448.92,46276.1666666667,"nonmito",""
"ANGPTL2","Q9UKU9",51153.72,41139.5,"nonmito",""
"ANK2","Q01484;Q01484-2;Q01484-5",54232.7,56913.6666666667,"nonmito",""
"ANKFY1","Q9P2R3",94470.8,98097.6,"nonmito",""
"ANKHD1","Q8IWZ3;Q8IWZ3-4;Q8IWZ3-6",63682,45592.0666666667,"nonmito",""
"ANKLE2","Q86XL3",51996.34,55494.9666666667,"nonmito",""
"ANKRD13A","Q8IZ07",80522.36,71374.3,"nonmito",""
"ANKRD17","O75179;O75179-2;O75179-7",63908.58,70780.6,"nonmito",""
"ANKRD28","O15084;O15084-1;O15084-4",42173.62,35253.5333333333,"nonmito",""
"ANO10","Q9NW15",125576.98,116480.333333333,"nonmito",""
"ANO6","Q4KMQ2;Q4KMQ2-2;Q4KMQ2-3",58753.72,61654.1333333333,"nonmito",""
"ANP32A","P39687",192915.4,195768,"nonmito",""
"ANP32B","Q92688;Q92688-2",234164.2,276788.666666667,"nonmito",""
"ANP32E","Q9BTT0",97356.66,101065.933333333,"nonmito",""
"ANPEP","P15144",511804.2,424522.333333333,"nonmito",""
"ANTXR1","Q9H6X2;Q9H6X2-5",75204.72,93362.3,"nonmito",""
"ANTXR2","P58335-4",53728.9,38192.7333333333,"nonmito",""
"ANXA1","P04083",1116552.8,927448,"nonmito",""
"ANXA11","P50995;P50995-2",379296.4,383348.666666667,"nonmito",""
"ANXA2","P07355",1372206,1320916.66666667,"nonmito",""
"ANXA4","P09525",424769.4,423481,"nonmito",""
"ANXA5","P08758",1473242,1581333.33333333,"nonmito",""
"ANXA6","P08133",662150.6,737924.666666667,"nonmito",""
"ANXA7","P20073;P20073-2",244730.6,249133,"nonmito",""
"AP1B1","Q10567;Q10567-2",204378.2,203171,"nonmito",""
"AP1G1","O43747;O43747-2",134212.8,126052.333333333,"nonmito",""
"AP1M1","Q9BXS5;Q9BXS5-2",149580.8,157933.333333333,"nonmito",""
"AP1S1","P61966",76535.64,69620.4333333333,"nonmito",""
"AP1S2","P56377",105519.66,89646.4,"nonmito",""
"AP2A1","O95782;O95782-2",203458.8,214463,"nonmito",""
"AP2A2","O94973",166651.4,163973.333333333,"nonmito",""
"AP2B1","P63010;P63010-2",208656.6,200115,"nonmito",""
"AP2M1","Q96CW1;Q96CW1-2",238470,248420.333333333,"nonmito",""
"AP2S1","P53680",203614.2,178955,"nonmito",""
"AP3B1","O00203;O00203-3",139913.4,124810,"nonmito",""
"AP3B2","Q13367;Q13367-4",98663.32,92768,"nonmito",""
