"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1249023.4,465391.333333333,"nonmito",""
"AAAS","Q9NRG9",69600.86,67094.8,"nonmito",""
"AACS","Q86V21",72955.88,75740.6333333333,"nonmito",""
"AAGAB","Q6PD74",134129,122571.333333333,"nonmito",""
"AAK1","Q2M2I8",118087.6,111727.666666667,"nonmito",""
"AAMDC","Q9H7C9",81736.3,82875.1,"nonmito",""
"AAMP","Q13685",49990.52,50476.7666666667,"nonmito",""
"AAR2","Q9Y312",56659.38,51151.9,"nonmito",""
"AARS1","P49588",206652,167339.666666667,"nonmito",""
"AARS2","Q5JTZ9",49006.98,64428.1333333333,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",102133.7,109666.666666667,"nonmito",""
"AASDHPPT","Q9NRN7",119609,123664.666666667,"nonmito",""
"AASS","Q9UDR5",56783.525,73177.8333333333,"mito",""
"AATF","Q9NY61",41320.84,16610.5333333333,"nonmito",""
"ABAT","P80404",35027.2875,27230.5333333333,"mito",""
"ABCB10","Q9NRK6",66615.64,81561.8333333333,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",87201.4,73906.9666666667,"mito",""
"ABCB7","O75027;O75027-2",61407.7,75546.2666666667,"mito",""
"ABCC1","P33527;P33527-9",72300.46,64312.1,"nonmito",""
"ABCC4","O15439;O15439-2",73778.72,44160.9,"nonmito",""
"ABCD1","P33897",76669.82,69183.6333333333,"mito",""
"ABCD3","P28288",72613,64034.1666666667,"mito",""
"ABCE1","P61221",185422.6,167455,"nonmito",""
"ABCF1","Q8NE71",108265,97678.1333333333,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97372.74,83040.0666666667,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",106646.2,97453.3666666667,"nonmito",""
"ABHD10","Q9NUJ1",89209.36,87795.5333333333,"mito",""
"ABHD11","Q8NFV4",66774.15,59553.2666666667,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",93797.34,102137.9,"nonmito",""
"ABHD14B","Q96IU4",220861.6,182062.333333333,"nonmito",""
"ABHD16A","O95870",80101.7,65175.5666666667,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",31308.6,20871.5,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",86466.88,103604.533333333,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",77844.6,56376.5666666667,"nonmito",""
"ABLIM3","O94929-2;O94929-3",70846.96,78436.7,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",83617.8,95587.4333333333,"nonmito",""
"ABRACL","Q9P1F3",223533.6,212152.333333333,"nonmito",""
"ABRAXAS2","Q15018",72536.72,77571.3,"nonmito",""
"ACAA1","P09110",101190.04,108615.333333333,"mito",""
"ACAA2","P42765",115173.12,150352.333333333,"mito",""
"ACACA","Q13085;Q13085-4",78784.74,82732.2666666667,"mito",""
"ACAD11","Q709F0",135807.6,161291.333333333,"mito",""
"ACAD9","Q9H845",71178.4,92978.1333333333,"mito",""
"ACADM","P11310;P11310-2",129016,150062,"mito",""
"ACADS","P16219",72575.4,95171.0333333333,"mito",""
"ACADSB","P45954",42571.06,54711.2,"mito",""
"ACADVL","P49748;P49748-3",220045.2,252628.333333333,"mito",""
"ACAP2","Q15057",62330.44,57196.5,"nonmito",""
"ACAT1","P24752",222039,279021.666666667,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",178254,343914.666666667,"nonmito",""
"ACBD3","Q9H3P7",164259,141391,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",53796.96,56802.4,"nonmito",""
"ACBD6","Q9BR61",39066.875,35252.5333333333,"nonmito",""
"ACE","P12821;P12821-2",24321.05,44477.7666666667,"nonmito",""
"ACIN1","Q9UKV3",64991.64,74505,"nonmito",""
"ACLY","P53396",342206.6,299111.333333333,"mito",""
"ACO1","P21399",153660,125783,"nonmito",""
"ACO2","Q99798",132799,151774,"mito",""
"ACOT1","Q86TX2",104863.6,99548.8333333333,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",97732.68,106877.333333333,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",246991.6,257214,"mito",""
"ACOT8","O14734",120372.86,221022,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",151186.8,182459,"mito",""
"ACOX1","Q15067;Q15067-2",84571.16,63228.5666666667,"nonmito",""
"ACOX2","Q99424",61571.125,71227.3666666667,"nonmito",""
"ACOX3","O15254",54032.52,43448.5,"nonmito",""
"ACP1","P24666",243011,260894,"nonmito",""
"ACP2","P11117",120124.08,120943.333333333,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",27590.24,28645.2666666667,"mito",""
"ACSF3","Q4G176",35631.98,39733.4,"mito",""
"ACSL1","P33121",69049.74,61866.3,"mito",""
"ACSL3","O95573",161879.2,206201,"nonmito",""
"ACSL4","O60488;O60488-2",98765.66,120646,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",89513.54,99691.5,"nonmito",""
"ACTA2","P62736",1419932,897196,"nonmito",""
"ACTB","P60709",1374232,1282810,"nonmito",""
"ACTBL2","Q562R1",2233977.4,3796940,"nonmito",""
"ACTL6A","O96019",109134.4,111921.666666667,"nonmito",""
"ACTN1","P12814",736070.8,602387.666666667,"nonmito",""
"ACTN1","P12814-2",181703.2,98294.1,"nonmito",""
"ACTN4","O43707",535151.2,576782.333333333,"nonmito",""
"ACTR10","Q9NZ32",68825.94,78086.1333333333,"nonmito",""
"ACTR1A","P61163",320490.2,343230.333333333,"nonmito",""
"ACTR1B","P42025",199066.4,222166,"nonmito",""
"ACTR2","P61160",418278.8,408081.666666667,"nonmito",""
"ACTR3","P61158",577758.6,561751.666666667,"nonmito",""
"ACVR1","Q04771",93010.28,104103.933333333,"nonmito",""
"ACY1","Q03154",76748.42,74702.4333333333,"nonmito",""
"ACYP1","P07311",67416,79547.2666666667,"nonmito",""
"ACYP2","P14621",57786.56,53091.6666666667,"nonmito",""
"ADA","P00813",53245.92,44721.6,"nonmito",""
"ADAM10","O14672",80223.92,122598,"nonmito",""
"ADAM15","Q13444;Q13444-10;Q13444-11;Q13444-12;Q13444-13;Q13444-2;Q13444-3;Q13444-4;Q13444-5;Q13444-6;Q13444-7;Q13444-8;Q13444-9",40719.08,40531.5666666667,"nonmito",""
"ADAM17","P78536",40786.2,45323.7666666667,"nonmito",""
"ADAM9","Q13443",54850.54,66073.7333333333,"nonmito",""
"ADAR","P55265;P55265-4",79795.26,86707.4333333333,"nonmito",""
"ADCY9","O60503",68659.26,69538.7333333333,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",150379.8,157412.666666667,"nonmito",""
"ADD3","Q9UEY8-2",133419,121965,"nonmito",""
"ADGRA2","Q96PE1;Q96PE1-2",43446.025,44037.9666666667,"nonmito",""
"ADGRE5","P48960;P48960-2;P48960-3",85658.08,102898.666666667,"nonmito",""
"ADH5","P11766",268607.4,275631.666666667,"nonmito",""
"ADI1","Q9BV57",109593.36,135949.333333333,"nonmito",""
"ADK","P55263",97799.4,143487.333333333,"nonmito",""
"ADNP","Q9H2P0",15677.68,9311.11666666667,"nonmito",""
"ADO","Q96SZ5",97177.9,100000.2,"nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",60182.32,59647.0666666667,"nonmito",""
"ADPRS","Q9NX46",75910.14,79982.5666666667,"nonmito",""
"ADRM1","Q16186",158812.2,181801.666666667,"nonmito",""
"ADSL","P30566",96643.66,102214.066666667,"nonmito",""
"ADSS2","P30520",171624.6,143327.666666667,"nonmito",""
"AEBP1","Q8IUX7",64155.35,61191.4,"nonmito",""
"AFAP1","Q8N556;Q8N556-2",75159.2,35554.8,"nonmito",""
"AFDN","P55196-1;P55196-2;P55196-3",39242.36,49355.0333333333,"nonmito",""
"AFF4","Q9UHB7",289754.4,327832.666666667,"nonmito",""
"AFG3L2","Q9Y4W6",59709.06,64264.5666666667,"mito",""
"AGAP3","Q96P47;Q96P47-2;Q96P47-4",33161.38,36084.4666666667,"nonmito",""
"AGFG1","P52594;P52594-2;P52594-3;P52594-4",91111.46,99353.9666666667,"nonmito",""
"AGFG2","O95081",39728.96,48835.5333333333,"nonmito",""
"AGK","Q53H12",80301.34,89408.3,"mito",""
"AGL","P35573",70652.56,61310.8666666667,"nonmito",""
"AGO1","Q9UL18",45561.72,37467.1,"nonmito",""
"AGO2","Q9UKV8",60111.32,52295.4666666667,"nonmito",""
"AGO3","Q9H9G7",69134.66,63473.8666666667,"nonmito",""
"AGPAT3","Q9NRZ7",54666.38,47432.8666666667,"nonmito",""
"AGPAT4","Q9NRZ5",29683.425,32395.8333333333,"mito",""
"AGPS","O00116",117951.2,119251.333333333,"nonmito",""
"AGTRAP","Q6RW13",98843.66,87757.8666666667,"nonmito",""
"AHCTF1","Q8WYP5;Q8WYP5-2;Q8WYP5-3",38711.52,39673.4,"nonmito",""
"AHCY","P23526",286067.6,272677.333333333,"nonmito",""
"AHCYL1","O43865",116392.6,104610.333333333,"mito",""
"AHCYL2","Q96HN2;Q96HN2-2;Q96HN2-3;Q96HN2-4",78874,55246.0666666667,"nonmito",""
"AHNAK","Q09666",353225.4,470358,"nonmito",""
"AHNAK2","Q8IVF2-3",121839.96,238813.333333333,"nonmito",""
"AHR","P35869",13044.98,9111.51,"nonmito",""
"AHSA1","O95433",159632.6,143710.666666667,"nonmito",""
"AIDA","Q96BJ3",89261.64,93718.0666666667,"nonmito",""
"AIFM1","O95831;O95831-3",121669,121657.666666667,"mito",""
"AIFM2","Q9BRQ8",64137.68,44985.6,"mito",""
"AIMP1","Q12904",107017.9,106928,"nonmito",""
"AIMP2","Q13155",157899,147981.666666667,"nonmito",""
"AIP","O00170",83252,115151.333333333,"nonmito",""
"AK1","P00568",187788.6,220523.666666667,"nonmito",""
"AK2","P54819;P54819-2",128003.8,132305,"mito",""
"AK3","Q9UIJ7",130421.6,158312.666666667,"mito",""
"AK4","P27144",49627.52,44730.7666666667,"mito",""
"AK5","Q9Y6K8;Q9Y6K8-3",305830.4,394618.666666667,"nonmito",""
"AK6","Q9Y3D8",71250.34,61008.8,"nonmito",""
"AKAP10","O43572",180725.35,12677.25,"mito",""
"AKAP11","Q9UKA4",41505.42,36262.2,"nonmito",""
"AKAP12","Q02952;Q02952-2;Q02952-3",59541.38,60057.0333333333,"nonmito",""
"AKAP13","Q12802",47479.58,54631.7,"nonmito",""
"AKAP2","Q9Y2D5-6",132927.86,144463.333333333,"nonmito",""
