"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1218337.8,148933,"nonmito",""
"AAAS","Q9NRG9",64092,65237.0666666667,"nonmito",""
"AACS","Q86V21",67170.62,85284.4,"nonmito",""
"AAGAB","Q6PD74",102035.9,89094.4333333333,"nonmito",""
"AAK1","Q2M2I8",107611.26,93206.2666666667,"nonmito",""
"AAMDC","Q9H7C9",77654.76,89275.5,"nonmito",""
"AAMP","Q13685",60659.08,51493,"nonmito",""
"AAR2","Q9Y312",37725.34,24664.8666666667,"nonmito",""
"AARS1","P49588",203694.6,205865.333333333,"nonmito",""
"AARS2","Q5JTZ9",39915.94,30739.7666666667,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",113986.8,123816.666666667,"nonmito",""
"AASDHPPT","Q9NRN7",130619.4,115581,"nonmito",""
"AASS","Q9UDR5",61167.0666666667,92479.4666666667,"mito",""
"ABCB10","Q9NRK6",60535.58,96787.5333333333,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",47727.76,42396.6333333333,"mito",""
"ABCB7","O75027;O75027-2",64735.56,81286.0333333333,"mito",""
"ABCC1","P33527;P33527-9",70074.18,79857.8,"nonmito",""
"ABCC4","O15439;O15439-2",64388.06,75686.4666666667,"nonmito",""
"ABCD1","P33897",68861.78,49854.2333333333,"mito",""
"ABCD3","P28288",71937.16,65727.0666666667,"mito",""
"ABCE1","P61221",206159.8,206934.333333333,"nonmito",""
"ABCF1","Q8NE71",104476,99738.1333333333,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97546.08,91750.5,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",117652,119011.666666667,"nonmito",""
"ABHD10","Q9NUJ1",59746.78,66633.6333333333,"mito",""
"ABHD11","Q8NFV4",59850.58,51754.5333333333,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",96363.52,85315.7,"nonmito",""
"ABHD14B","Q96IU4",201462.6,92508.5,"nonmito",""
"ABHD16A","O95870",59554.38,45255.0666666667,"nonmito",""
"ABHD4","Q8TB40",21924.2,28369.5,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",77749.82,61836.8333333333,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",74784.9,76008.2,"nonmito",""
