"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1249023.4,4834476.66666667,"nonmito",""
"AAAS","Q9NRG9",69600.86,46691.3333333333,"nonmito",""
"AACS","Q86V21",72955.88,90368,"nonmito",""
"AAGAB","Q6PD74",134129,176318.333333333,"nonmito",""
"AAK1","Q2M2I8",118087.6,97714.6333333333,"nonmito",""
"AAMDC","Q9H7C9",81736.3,56766.1333333333,"nonmito",""
"AAMP","Q13685",49990.52,46989.2333333333,"nonmito",""
"AAR2","Q9Y312",56659.38,59907.3666666667,"nonmito",""
"AARS1","P49588",206652,138514.333333333,"nonmito",""
"AARS2","Q5JTZ9",49006.98,35174.6666666667,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",102133.7,122301.666666667,"nonmito",""
"AASDHPPT","Q9NRN7",119609,136621.666666667,"nonmito",""
"AASS","Q9UDR5",56783.525,224615.75,"mito",""
"ABAT","P80404",35027.2875,50998.0666666667,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",87201.4,126815.666666667,"mito",""
"ABCB7","O75027;O75027-2",61407.7,68745.5666666667,"mito",""
"ABCC1","P33527;P33527-9",72300.46,83785.1,"nonmito",""
"ABCC4","O15439;O15439-2",73778.72,69651.4666666667,"nonmito",""
"ABCD1","P33897",76669.82,94770.3,"mito",""
"ABCD3","P28288",72613,72943.5,"mito",""
"ABCE1","P61221",185422.6,154228.333333333,"nonmito",""
"ABCF1","Q8NE71",108265,138764,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97372.74,96520.8,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",106646.2,115307.333333333,"nonmito",""
"ABHD10","Q9NUJ1",89209.36,82187.1,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",93797.34,125850,"nonmito",""
"ABHD14B","Q96IU4",220861.6,187292,"nonmito",""
"ABHD16A","O95870",80101.7,85781.7666666667,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",31308.6,82351.4666666667,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",86466.88,76144.9666666667,"nonmito",""
"ABL1","P00519;P00519-2",29457.33,1147811.06,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",83617.8,107082,"nonmito",""
