"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A1BG","P04217",75440.55078,33429.4889333333,"nonmito",""
"A2M","P01023",169887.117212,94070.92448,"nonmito",""
"AAAS","Q9NRG9",49258.666406,62759.47526,"nonmito",""
"AACS","Q86V21",14770.9078128,10636.547362,"nonmito",""
"AAK1","Q2M2I8;Q2M2I8-2",42414.8375,42298.89974,"nonmito",""
"AAMP","Q13685",16706.2794918,16263.2672533333,"nonmito",""
"AARS1","P49588",59917.675782,79720.5260466667,"nonmito",""
"AARS2","Q5JTZ9",12451.8917986,14304.77539,"mito",""
"AARSD1","Q9BTE6-2;Q9BTE6-3",43758.226564,76294.7291666667,"nonmito",""
"AASDHPPT","Q9NRN7",8375.7963862,8459.39990266667,"nonmito",""
"AATF","Q9NY61",21446.68125,27647.5410133333,"nonmito",""
"ABAT","P80404",22930.361328,21056.3307266667,"mito",""
"ABCB10","Q9NRK6",28105.04375,234778.1771,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",247999.6719,883249.25,"mito",""
"ABCB7","O75027;O75027-2",40769.317972,39827.4023466667,"mito",""
"ABCC1","P33527;P33527-9",21319.513086,20926.17448,"nonmito",""
"ABCC4","O15439",23399.821876,31268.95638,"nonmito",""
"ABCD1","P33897",23374.665626,33112.8873733333,"mito",""
"ABCD3","P28288",45768.864844,69560.4231766667,"mito",""
"ABCE1","P61221",82097.332816,122976.268233333,"nonmito",""
"ABCF1","Q8NE71",96586.601576,124181.286466667,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",40986.309376,49346.99349,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",35861.560938,29142.7799466667,"nonmito",""
"ABHD10","Q9NUJ1",99058.770304,108589.986996667,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",16304.62832,15827.5423166667,"nonmito",""
"ABHD14B","Q96IU4",152309.789068,53147.41927,"nonmito",""
"ABHD16A","O95870",65898.807032,56572.9531233333,"nonmito",""
"ABHD17A","Q96GS6;Q96GS6-2",34218.482032,59191.09375,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",20827.254884,31041.64518,"nonmito",""
"ABHD4","Q8TB40",23119.107814,42140.2473966667,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",61009.50547,57369.0963533333,"nonmito",""
"ABI3","Q9P2A4;Q9P2A4-2",33804.091018,22120.0058566667,"nonmito",""
"ABLIM1","O14639;O14639-2;O14639-6",23136.13965,29166.8138,"nonmito",""
"ABLIM3","O94929-2;O94929-3",11429.040724,11054.1542976667,"nonmito",""
"ABRACL","Q9P1F3",168672.179698,219475.088566667,"nonmito",""
"ABRAXAS1","Q6UWZ7",27636.05332,25472.7981766667,"nonmito",""
"ABRAXAS2","Q15018",76079.149222,73868.52344,"nonmito",""
"ABT1","Q9ULW3",43425.986722,52114.14323,"nonmito",""
"ACAA1","P09110",59275.477346,65021.4765633333,"mito",""
"ACAA2","P42765",130719.41565,78201.7760433333,"mito",""
"ACACA","Q13085;Q13085-2;Q13085-3;Q13085-4",14819.880666,37597.95052,"mito",""
"ACAD9","Q9H845",22533.911912,37205.4296866667,"mito",""
"ACADM","P11310;P11310-2",87415.727354,83648.75,"mito",""
"ACADS","P16219",38307.335156,41661.8209633333,"mito",""
"ACADSB","P45954",36456.154298,29468.72982,"mito",""
"ACADVL","P49748;P49748-3",158358.62814,123911.5104,"mito",""
"ACAP1","Q15027",78135.086722,71794.2851566667,"nonmito",""
"ACAP2","Q15057",88865.775,94899.2265633333,"nonmito",""
"ACAT1","P24752",143926.452344,116394.5417,"mito",""
"ACAT2","Q9BWD1",121552.112508,147015.968766667,"nonmito",""
"ACBD3","Q9H3P7",104448.123454,126536.341166667,"nonmito",""
"ACIN1","Q9UKV3",129481.52344,134086.075533333,"nonmito",""
"ACLY","P53396",220977.7844,238301.281266667,"mito",""
"ACO1","P21399",61932.524222,56745.53776,"nonmito",""
"ACO2","Q99798",235368.82814,300323.1042,"mito",""
"ACOT1","Q86TX2",33812.882032,46605.98047,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",153107.617182,40719.9596366667,"mito",""
"ACOT7","O00154-4",68408.157034,86456.1015633333,"mito",""
"ACOT8","O14734",38477.277736,46635.3320333333,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",69749.828918,50966.8776066667,"mito",""
"ACOX1","Q15067;Q15067-2",45607.169922,46147.5865866667,"nonmito",""
"ACP1","P24666",318272.59374,399582.239633333,"nonmito",""
"ACP2","P11117",34483.025392,52170.59896,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",19389.09668,13354.81413,"mito",""
"ACSF3","Q4G176",38571.463674,43493.1588566667,"mito",""
"ACSL1","P33121",140380.38128,162951.005233333,"mito",""
"ACSL3","O95573",105440.634372,99975.22138,"nonmito",""
"ACSL4","O60488;O60488-2",57546.39219,62163.0520833333,"nonmito",""
"ACSL5","Q9ULC5;Q9ULC5-3",34205.478908,45827.81771,"nonmito",""
"ACSS1","Q9NUB1;Q9NUB1-2",58048.263284,115446.520833333,"mito",""
"ACSS2","Q9NR19;Q9NR19-2",21106.819334,30152.6738266667,"nonmito",""
"ACTB","P60709",13302175,11478667,"nonmito",""
"ACTBL2","Q562R1",2603505.8875,9012342,"nonmito",""
"ACTC1","P68032",16991543.4,13606081.6666667,"nonmito",""
"ACTG1","P63261",2989914.15,1359727.8125,"nonmito",""
"ACTL6A","O96019",41427.514064,33446.71875,"nonmito",""
"ACTN1","P12814",1325063.0375,939221.9375,"nonmito",""
"ACTN4","O43707",327524.29376,231361.4167,"nonmito",""
"ACTR10","Q9NZ32",22944.93633,18938.22331,"nonmito",""
"ACTR1A","P61163",277934.20628,255467.786466667,"nonmito",""
"ACTR1B","P42025",52284.085158,38863.4518233333,"nonmito",""
"ACTR2","P61160",653956.31876,553235.6875,"nonmito",""
"ACTR3","P61158",1551855.875,1158551.08333333,"nonmito",""
"ACTR3B","Q9P1U1",1968794.7,1578556.95833333,"nonmito",""
"ACTR5","Q9H9F9",33549.15547,14592.136719,"nonmito",""
"ACTR8","Q9H981",22382.584178,13583.81152,"nonmito",""
"ACVR1","Q04771",19240.117774,32175.3548166667,"nonmito",""
"ACYP1","P07311",138012.39844,287052.8646,"nonmito",""
"ACYP2","P14621",44413.613282,65930.82813,"nonmito",""
"ADA","P00813",30119.20039,27070.2962233333,"nonmito",""
"ADA2","Q9NZK5",75987.17656,78823.8020833333,"nonmito",""
"ADAM10","O14672",200534.83438,198139.8021,"nonmito",""
"ADAM17","P78536",17272.87422,14955.39681,"nonmito",""
"ADAM8","P78325;P78325-3",80270.50235,60529.8684933333,"nonmito",""
"ADAM9","Q13443",10913.3648448,15650.8557933333,"nonmito",""
"ADAMDEC1","O15204;O15204-2",20863.4332022,45829.0983066667,"nonmito",""
"ADAP1","O75689",37784.245316,35572.5273466667,"nonmito",""
"ADAR","P55265;P55265-4",63082.22969,54560.0091166667,"nonmito",""
"ADCY7","P51828",15913.09629,10700.2379556667,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",204544.9016,249798.593766667,"nonmito",""
"ADD2","P35612",176502.868756,790138.541666667,"nonmito",""
"ADD3","Q9UEY8;Q9UEY8-2",110809.142196,110979.026033333,"nonmito",""
"ADGRE2","Q9UHX3;Q9UHX3-3;Q9UHX3-4;Q9UHX3-6",44344.054688,40605.6757833333,"nonmito",""
"ADGRE3","Q9BY15",105366.694528,146141.234366667,"nonmito",""
"ADGRE5","P48960",96821.014088,99814.28908,"nonmito",""
"ADH5","P11766",353293.24378,347049.9063,"nonmito",""
"ADK","P55263",123093.159366,75349.7447933333,"nonmito",""
"ADNP","Q9H2P0",16379.972852,15376.9541,"nonmito",""
"ADO","Q96SZ5",35853.466798,28493.49414,"nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",70519.229688,81362.09115,"nonmito",""
"ADPRS","Q9NX46",34047.62207,28930.4069,"nonmito",""
"ADRM1","Q16186",150065.30782,295466.2917,"nonmito",""
"ADSL","P30566",67476.493746,81704.3776033333,"nonmito",""
"ADSS2","P30520",161396.06876,142432.833366667,"nonmito",""
"AFG3L2","Q9Y4W6",60434.784376,83232.45573,"mito",""
"AFM","P43652",16581.9965822,17491.6806633333,"nonmito",""
"AFTPH","Q6ULP2;Q6ULP2-6;Q6ULP2-8;Q6ULP2-9",12915.699755,11767.3108746667,"nonmito",""
"AGA","P20933",100916.059368,71057.0950533333,"nonmito",""
"AGAP2","Q99490-2",68559.166406,61047.6393233333,"nonmito",""
"AGFG1","P52594;P52594-2;P52594-3;P52594-4",43823.077736,45368.84115,"nonmito",""
"AGK","Q53H12",188672.42188,194600.135433333,"mito",""
"AGL","P35573",55282.328908,49379.1145833333,"nonmito",""
"AGMAT","Q9BSE5",41977.27344,51694.52995,"mito",""
"AGO1","Q9UL18",32792.432424,28488.61263,"nonmito",""
"AGO2","Q9UKV8",58079.81719,117199.520833333,"nonmito",""
"AGO3","Q9H9G7",53978.539064,67035.6080733333,"nonmito",""
"AGPAT2","O15120",44799.538282,57564.1549466667,"nonmito",""
"AGPAT3","Q9NRZ7;Q9NRZ7-2;Q9NRZ7-3",36902.615626,33413.90625,"nonmito",""
"AGPAT5","Q9NUQ2",58523.221094,76437.0989633333,"mito",""
"AGPS","O00116",55425.68672,73981.9218766667,"nonmito",""
"AGTPBP1","Q9UPW5;Q9UPW5-2;Q9UPW5-3",28460.194922,40733.28125,"nonmito",""
"AGTRAP","Q6RW13",219996.99688,352463.677133333,"nonmito",""
