"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1218337.8,2797390,"nonmito",""
"AAAS","Q9NRG9",64092,72960.9,"nonmito",""
"AACS","Q86V21",67170.62,73063.6333333333,"nonmito",""
"AAGAB","Q6PD74",102035.9,127711.666666667,"nonmito",""
"AAK1","Q2M2I8",107611.26,99381.1,"nonmito",""
"AAMDC","Q9H7C9",77654.76,71735.2333333333,"nonmito",""
"AAMP","Q13685",60659.08,47277.5666666667,"nonmito",""
"AAR2","Q9Y312",37725.34,41199.2,"nonmito",""
"AARS1","P49588",203694.6,177382.666666667,"nonmito",""
"AARS2","Q5JTZ9",39915.94,41728.0666666667,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",113986.8,125524.333333333,"nonmito",""
"AASDHPPT","Q9NRN7",130619.4,92423.3,"nonmito",""
"AASS","Q9UDR5",61167.0666666667,64547.3,"mito",""
"ABAT","P80404",31057.18,16999.8333333333,"mito",""
"ABCB10","Q9NRK6",60535.58,56659.1333333333,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",47727.76,110024.666666667,"mito",""
"ABCB7","O75027;O75027-2",64735.56,82657.7333333333,"mito",""
"ABCC1","P33527;P33527-9",70074.18,49405.8,"nonmito",""
"ABCC4","O15439;O15439-2",64388.06,42934.5666666667,"nonmito",""
"ABCD1","P33897",68861.78,67394.0333333333,"mito",""
"ABCD3","P28288",71937.16,72849.9666666667,"mito",""
"ABCE1","P61221",206159.8,204945,"nonmito",""
"ABCF1","Q8NE71",104476,122128.666666667,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97546.08,87202.2,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",117652,102671,"nonmito",""
"ABHD10","Q9NUJ1",59746.78,107107.666666667,"mito",""
"ABHD11","Q8NFV4",59850.58,47131.6333333333,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",96363.52,60790.5333333333,"nonmito",""
"ABHD14B","Q96IU4",201462.6,127197,"nonmito",""
"ABHD16A","O95870",59554.38,75814.3333333333,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",34726.2,42704.9,"nonmito",""
"ABHD4","Q8TB40",21924.2,14108.58,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",77749.82,78995,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",74784.9,78659.3333333333,"nonmito",""
"ABLIM3","O94929-2;O94929-3",58248.16,37068.2333333333,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",86052.92,93674.1666666667,"nonmito",""
"ABRACL","Q9P1F3",155860.86,138520.633333333,"nonmito",""
"ABRAXAS2","Q15018",51696.08,79832.0333333333,"nonmito",""
"ABT1","Q9ULW3",98987.46,111539.566666667,"nonmito",""
"ACAA1","P09110",72276.92,91932.7666666667,"mito",""
"ACAA2","P42765",113433.9,154809,"mito",""
"ACACA","Q13085;Q13085-4",78875.72,98199.6,"mito",""
"ACAD11","Q709F0",58750.2,119423.233333333,"mito",""
"ACAD8","Q9UKU7",25658.65,45985.0333333333,"mito",""
"ACAD9","Q9H845",76072.6,98232.4666666667,"mito",""
"ACADM","P11310;P11310-2",127015.18,126436.333333333,"mito",""
"ACADS","P16219",91996.5,89899.5,"mito",""
"ACADSB","P45954",36606.4,51432.5333333333,"mito",""
"ACADVL","P49748;P49748-3",243633.8,184757.333333333,"mito",""
"ACAP2","Q15057",61446.84,54568.9,"nonmito",""
"ACAT1","P24752",228179.2,277344.666666667,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",195630.2,262249,"nonmito",""
"ACBD3","Q9H3P7",138182.4,149477,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",40817.88,57903.4,"nonmito",""
"ACBD6","Q9BR61",31575.38,35046.0666666667,"nonmito",""
"ACIN1","Q9UKV3",65330.86,73374.6333333333,"nonmito",""
"ACLY","P53396",358907.6,283948.666666667,"mito",""
"ACO1","P21399",156953.8,151325,"nonmito",""
"ACO2","Q99798",129571.4,127989,"mito",""
"ACOT1","Q86TX2",134197,146032.333333333,"nonmito",""
