"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1218337.8,1699456.66666667,"nonmito",""
"AAAS","Q9NRG9",64092,53882.6666666667,"nonmito",""
"AACS","Q86V21",67170.62,65835,"nonmito",""
"AAGAB","Q6PD74",102035.9,92633.6333333333,"nonmito",""
"AAK1","Q2M2I8",107611.26,77741.1333333333,"nonmito",""
"AAMDC","Q9H7C9",77654.76,74531,"nonmito",""
"AAMP","Q13685",60659.08,45927.6,"nonmito",""
"AAR2","Q9Y312",37725.34,65458.4666666667,"nonmito",""
"AARS1","P49588",203694.6,170869,"nonmito",""
"AARS2","Q5JTZ9",39915.94,34796.3,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",113986.8,83994.2333333333,"nonmito",""
"AASDHPPT","Q9NRN7",130619.4,90511,"nonmito",""
"AASS","Q9UDR5",61167.0666666667,53448.9666666667,"mito",""
"ABAT","P80404",31057.18,55200.3,"mito",""
"ABCB10","Q9NRK6",60535.58,47393.7666666667,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",47727.76,168294.333333333,"mito",""
"ABCB7","O75027;O75027-2",64735.56,93660.6666666667,"mito",""
"ABCC1","P33527;P33527-9",70074.18,117262,"nonmito",""
"ABCC4","O15439;O15439-2",64388.06,59126,"nonmito",""
"ABCD1","P33897",68861.78,124502.666666667,"mito",""
"ABCD3","P28288",71937.16,75335.1,"mito",""
"ABCD4","O14678",50659.4,45198.5333333333,"nonmito",""
"ABCE1","P61221",206159.8,189395.666666667,"nonmito",""
"ABCF1","Q8NE71",104476,119204.666666667,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97546.08,82762.0333333333,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",117652,99496.0333333333,"nonmito",""
"ABHD10","Q9NUJ1",59746.78,104140.333333333,"mito",""
"ABHD11","Q8NFV4",59850.58,51305.7333333333,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",96363.52,89477.5,"nonmito",""
"ABHD14B","Q96IU4",201462.6,229040,"nonmito",""
"ABHD16A","O95870",59554.38,89456.7666666667,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",34726.2,56407.1333333333,"nonmito",""
"ABHD4","Q8TB40",21924.2,21232.2,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",77749.82,71202.2333333333,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",74784.9,71696.9666666667,"nonmito",""
"ABL1","P00519;P00519-2",30616.1,29043.25,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",86052.92,87757.0666666667,"nonmito",""
"ABRACL","Q9P1F3",155860.86,92799.5,"nonmito",""
"ABRAXAS2","Q15018",51696.08,90887.2333333333,"nonmito",""
"ABT1","Q9ULW3",98987.46,111745.7,"nonmito",""
"ACAA1","P09110",72276.92,165134,"mito",""
"ACAA2","P42765",113433.9,162331.333333333,"mito",""
"ACACA","Q13085;Q13085-4",78875.72,62365.6,"mito",""
"ACAD11","Q709F0",58750.2,268271.6,"mito",""
"ACAD9","Q9H845",76072.6,84960.9,"mito",""
"ACADM","P11310;P11310-2",127015.18,148979,"mito",""
"ACADSB","P45954",36606.4,39745.2333333333,"mito",""
"ACADVL","P49748;P49748-3",243633.8,238902.333333333,"mito",""
"ACAP2","Q15057",61446.84,63113.4333333333,"nonmito",""
"ACAT1","P24752",228179.2,229970.333333333,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",195630.2,161928.333333333,"nonmito",""
"ACBD3","Q9H3P7",138182.4,172955.333333333,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",40817.88,66348.0666666667,"nonmito",""
"ACBD6","Q9BR61",31575.38,22020.75,"nonmito",""
"ACIN1","Q9UKV3",65330.86,60143.4,"nonmito",""
"ACLY","P53396",358907.6,368946.333333333,"mito",""
"ACO1","P21399",156953.8,83003.7666666667,"nonmito",""
"ACO2","Q99798",129571.4,147184.666666667,"mito",""
"ACOT1","Q86TX2",134197,195448.666666667,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",98753.1,149270.333333333,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",239025.4,320443.333333333,"mito",""
"ACOT8","O14734",133075.5,146017.633333333,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",151426.2,180970,"mito",""
"ACOX1","Q15067;Q15067-2",77450.06,81427.2333333333,"nonmito",""
"ACOX2","Q99424",48346.92,107019.666666667,"nonmito",""
"ACOX3","O15254",46630.88,59221.0333333333,"nonmito",""
"ACP1","P24666",169454.2,323622,"nonmito",""
"ACP2","P11117",140170.6,223900,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",25777.92,48261.4666666667,"mito",""
"ACSF3","Q4G176",35140.34,62286.0666666667,"mito",""
"ACSL1","P33121",73890.36,68718.0333333333,"mito",""
"ACSL3","O95573",164806,149524,"nonmito",""
"ACSL4","O60488;O60488-2",99720.96,81227.8333333333,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",68213.26,71222.7333333333,"nonmito",""
"ACTA2","P62736",1105210.6,2452583.33333333,"nonmito",""
"ACTB","P60709",1334394,1476330,"nonmito",""
"ACTBL2","Q562R1",314895.2,612390.333333333,"nonmito",""
"ACTL6A","O96019",99751.32,93528.8333333333,"nonmito",""
"ACTN1","P12814",736682.4,799084.333333333,"nonmito",""
"ACTN1","P12814-2",136619.66,123779.666666667,"nonmito",""
"ACTN4","O43707",501579.2,510171,"nonmito",""
"ACTR10","Q9NZ32",62928.38,67367.7333333333,"nonmito",""
"ACTR1A","P61163",261279.6,339388,"nonmito",""
"ACTR1B","P42025",196870.2,166150.333333333,"nonmito",""
"ACTR2","P61160",405645.8,481368,"nonmito",""
"ACTR3","P61158",584850.6,607943,"nonmito",""
"ACVR1","Q04771",78670.5,92574.8,"nonmito",""
"ACY1","Q03154",83126.1,88823.5,"nonmito",""
"ACYP1","P07311",62342.74,57099.7666666667,"nonmito",""
