"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1249023.4,5918476.66666667,"nonmito",""
"AAAS","Q9NRG9",69600.86,72419.9333333333,"nonmito",""
"AACS","Q86V21",72955.88,112800.666666667,"nonmito",""
"AAGAB","Q6PD74",134129,125166,"nonmito",""
"AAK1","Q2M2I8",118087.6,101971.566666667,"nonmito",""
"AAMDC","Q9H7C9",81736.3,68477.8,"nonmito",""
"AAMP","Q13685",49990.52,56079.1333333333,"nonmito",""
"AAR2","Q9Y312",56659.38,63543.1666666667,"nonmito",""
"AARS1","P49588",206652,160910.666666667,"nonmito",""
"AARS2","Q5JTZ9",49006.98,37125.5333333333,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",102133.7,91728.3333333333,"nonmito",""
"AASDHPPT","Q9NRN7",119609,137399,"nonmito",""
"AASS","Q9UDR5",56783.525,43823.3,"mito",""
"ABAT","P80404",35027.2875,43320.7666666667,"mito",""
"ABCB10","Q9NRK6",66615.64,59552.7333333333,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",87201.4,91516.0333333333,"mito",""
"ABCB7","O75027;O75027-2",61407.7,67990.7333333333,"mito",""
"ABCC1","P33527;P33527-9",72300.46,134885.666666667,"nonmito",""
"ABCC4","O15439;O15439-2",73778.72,159777.333333333,"nonmito",""
"ABCD1","P33897",76669.82,83467.7,"mito",""
"ABCD3","P28288",72613,76189.7333333333,"mito",""
"ABCD4","O14678",61809.55,30925.5333333333,"nonmito",""
"ABCE1","P61221",185422.6,140502,"nonmito",""
"ABCF1","Q8NE71",108265,121162,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97372.74,96239.5,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",106646.2,105289.666666667,"nonmito",""
"ABHD10","Q9NUJ1",89209.36,76884.0333333333,"mito",""
"ABHD11","Q8NFV4",66774.15,25122.5,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",93797.34,116545.333333333,"nonmito",""
"ABHD14B","Q96IU4",220861.6,181700,"nonmito",""
"ABHD16A","O95870",80101.7,82763.4,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",31308.6,27717.4333333333,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",86466.88,66195.8666666667,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",77844.6,46147.95,"nonmito",""
"ABLIM3","O94929-2;O94929-3",70846.96,50203.6666666667,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",83617.8,80753.3333333333,"nonmito",""
"ABRACL","Q9P1F3",223533.6,284797.666666667,"nonmito",""
"ABRAXAS2","Q15018",72536.72,74818.9333333333,"nonmito",""
"ACAA1","P09110",101190.04,113259,"mito",""
"ACAA2","P42765",115173.12,131470.666666667,"mito",""
"ACACA","Q13085;Q13085-4",78784.74,89582.5666666667,"mito",""
"ACAD11","Q709F0",135807.6,305267.333333333,"mito",""
"ACAD9","Q9H845",71178.4,83186.5333333333,"mito",""
"ACADM","P11310;P11310-2",129016,145140.666666667,"mito",""
"ACADSB","P45954",42571.06,48023.4333333333,"mito",""
"ACADVL","P49748;P49748-3",220045.2,167667,"mito",""
"ACAP2","Q15057",62330.44,57387.5333333333,"nonmito",""
"ACAT1","P24752",222039,220782.666666667,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",178254,358376,"nonmito",""
"ACBD3","Q9H3P7",164259,208099.666666667,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",53796.96,49489,"nonmito",""
"ACBD6","Q9BR61",39066.875,43319.8,"nonmito",""
"ACIN1","Q9UKV3",64991.64,60391.6666666667,"nonmito",""
"ACLY","P53396",342206.6,504777.333333333,"mito",""
"ACO1","P21399",153660,234516.666666667,"nonmito",""
"ACO2","Q99798",132799,118803,"mito",""
"ACOT1","Q86TX2",104863.6,84411.1,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",97732.68,83421.8333333333,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",246991.6,322047,"mito",""
"ACOT8","O14734",120372.86,197614,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",151186.8,181805,"mito",""
"ACOX1","Q15067;Q15067-2",84571.16,107074.666666667,"nonmito",""
"ACOX2","Q99424",61571.125,55754.6,"nonmito",""
"ACOX3","O15254",54032.52,58542.4666666667,"nonmito",""
"ACP1","P24666",243011,254019.666666667,"nonmito",""
"ACP2","P11117",120124.08,135979.333333333,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",27590.24,58742.5666666667,"mito",""
"ACSF3","Q4G176",35631.98,41005.9666666667,"mito",""
"ACSL1","P33121",69049.74,91043.8333333333,"mito",""
"ACSL3","O95573",161879.2,184290.333333333,"nonmito",""
"ACSL4","O60488;O60488-2",98765.66,154311,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",89513.54,157455.333333333,"nonmito",""
"ACTA2","P62736",1419932,726946.333333333,"nonmito",""
