"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1165158,1594136.66666667,"nonmito",""
"AAAS","Q9NRG9",65585.38,41871.3666666667,"nonmito",""
"AACS","Q86V21",68880.02,59456.4,"nonmito",""
"AAGAB","Q6PD74",77351.38,71180.9,"nonmito",""
"AAK1","Q2M2I8",99715.88,107536.5,"nonmito",""
"AAMDC","Q9H7C9",77235.3,49298.5666666667,"nonmito",""
"AAMP","Q13685",50937.12,51937.8666666667,"nonmito",""
"AAR2","Q9Y312",49095.96,50926.0333333333,"nonmito",""
"AARS1","P49588",203142,123010.666666667,"nonmito",""
"AARS2","Q5JTZ9",48810.36,30179.1333333333,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",109789.8,103879.666666667,"nonmito",""
"AASDHPPT","Q9NRN7",137779.4,85695,"nonmito",""
"AASS","Q9UDR5",51078.18,37432.6,"mito",""
"AATF","Q9NY61",32998.24,29268.9,"nonmito",""
"ABCB10","Q9NRK6",65683.36,39093.2,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",79268.3,68631.1,"mito",""
"ABCB7","O75027;O75027-2",70874.64,54831.4333333333,"mito",""
"ABCC1","P33527;P33527-9",78390.46,93546.6333333333,"nonmito",""
"ABCC4","O15439;O15439-2",72340.26,34012.9,"nonmito",""
"ABCD1","P33897",55962.36,72364.3,"mito",""
"ABCD3","P28288",79749.04,80763.7,"mito",""
"ABCE1","P61221",194027.8,130583.333333333,"nonmito",""
"ABCF1","Q8NE71",108392.6,103629,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",90948.68,90741.6333333333,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",106722.08,107755,"nonmito",""
"ABHD10","Q9NUJ1",73991.36,104344.666666667,"mito",""
"ABHD11","Q8NFV4",70207.28,81687.8333333333,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",94217.16,123351.333333333,"nonmito",""
"ABHD14B","Q96IU4",229618.2,214172.666666667,"nonmito",""
"ABHD16A","O95870",75456.06,83692.2333333333,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",23665.7,41492.7333333333,"nonmito",""
"ABHD4","Q8TB40",50153.34,36976.5333333333,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",75028.54,118245,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",50955.02,34180.7333333333,"nonmito",""
"ABLIM3","O94929-2;O94929-3",52068.96,54334.2666666667,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",73416.42,115820,"nonmito",""
"ABRACL","Q9P1F3",177952.6,241945.666666667,"nonmito",""
"ABRAXAS2","Q15018",58266.12,58137.8666666667,"nonmito",""
"ABT1","Q9ULW3",92318.98,96034.8,"nonmito",""
"ACAA1","P09110",97152.72,167885.333333333,"mito",""
"ACAA2","P42765",116177.64,125246,"mito",""
"ACACA","Q13085;Q13085-4",78427.46,53591.0333333333,"mito",""
"ACAD11","Q709F0",75481,58833.1666666667,"mito",""
"ACAD8","Q9UKU7",28303.6,49111.8666666667,"mito",""
"ACAD9","Q9H845",62587.96,82174,"mito",""
"ACADM","P11310;P11310-2",123235.6,124559.666666667,"mito",""
"ACADS","P16219",65153.46,81996.1666666667,"mito",""
"ACADSB","P45954",36598.46,16818.3,"mito",""
"ACADVL","P49748;P49748-3",211621.8,293213,"mito",""
"ACAP2","Q15057",57436.58,59961.8333333333,"nonmito",""
"ACAT1","P24752",221888.4,243659,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",188379,162882,"nonmito",""
"ACBD3","Q9H3P7",152608.2,186798,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",41714.36,59039.2333333333,"nonmito",""
"ACBD6","Q9BR61",29833.68,29241.8333333333,"nonmito",""
"ACIN1","Q9UKV3",58544.12,34747.8333333333,"nonmito",""
"ACKR4","Q9NPB9",34958.8,33376.7,"nonmito",""
"ACLY","P53396",350425,377931,"mito",""
"ACO1","P21399",156837,163366,"nonmito",""
"ACO2","Q99798",135432.2,181489.666666667,"mito",""
"ACOT1","Q86TX2",118355.8,231560.333333333,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",109070.26,81383.2,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",251635.8,300286.666666667,"mito",""
"ACOT8","O14734",179506.6,153996.7,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",129555,169191.333333333,"mito",""
"ACOX1","Q15067;Q15067-2",84720.46,145908.333333333,"nonmito",""
"ACOX2","Q99424",52042.04,89750.0333333333,"nonmito",""
"ACOX3","O15254",46690.72,57930.4,"nonmito",""
"ACP1","P24666",233847.8,223028,"nonmito",""
"ACP2","P11117",125732.6,253747.333333333,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",27814.18,37054.7666666667,"mito",""
"ACSF3","Q4G176",35381.04,34877.7,"mito",""
"ACSL1","P33121",60265.22,72872.9333333333,"mito",""
"ACSL3","O95573",161023.6,146270.333333333,"nonmito",""
"ACSL4","O60488;O60488-2",103730.88,115087,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",75886.18,82509.1,"nonmito",""
"ACTA2","P62736",1450469.6,956978,"nonmito",""
