"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A1BG","P04217",111793.958602,93812.19271,"nonmito",""
"A2M","P01023",284888.675,201668.723966667,"nonmito",""
"AAAS","Q9NRG9",30930.93242,15420.5751933333,"nonmito",""
"AACS","Q86V21",24485.633986,24470.8925766667,"nonmito",""
"AAGAB","Q6PD74",28619.853126,20931.5390633333,"nonmito",""
"AAK1","Q2M2I8;Q2M2I8-2",59687.638282,55677.25,"nonmito",""
"AAMDC","Q9H7C9",28488.0550786,75423.9687533333,"nonmito",""
"AAMP","Q13685",30195.132812,18858.5931,"nonmito",""
"AAR2","Q9Y312",29237.048438,28841.4322933333,"nonmito",""
"AARS1","P49588",145448.67814,208634.151033333,"nonmito",""
"AARS2","Q5JTZ9",23771.463674,34633.6028666667,"mito",""
"AARSD1","Q9BTE6-2;Q9BTE6-3",55310.726564,50243.2565133333,"nonmito",""
"AASDHPPT","Q9NRN7",47412.471874,55600.1835933333,"nonmito",""
"AATF","Q9NY61",35626.791408,17844.8665366667,"nonmito",""
"ABAT","P80404",51572.26094,37411.4856766667,"mito",""
"ABCB10","Q9NRK6",35606.709374,45061.9062533333,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",221987.675,352263.333333333,"mito",""
"ABCB7","O75027;O75027-2",61307.751562,72297.625,"mito",""
"ABCB8","Q9NUT2;Q9NUT2-2;Q9NUT2-4;Q9NUT2-5",20462.549804,19248.91862,"mito",""
"ABCC1","P33527;P33527-9",49921.772658,58674.7539066667,"nonmito",""
"ABCC3","O15438;O15438-4",22186.341994,16194.384439,"nonmito",""
"ABCC4","O15439",58043.889454,76341.7421866667,"nonmito",""
"ABCD1","P33897",36948.47578,36932.9140633333,"mito",""
"ABCD3","P28288",76459.635938,48279.7109366667,"mito",""
"ABCE1","P61221",121915.77344,109155.6693,"nonmito",""
"ABCF1","Q8NE71",98545.792182,78293.125,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",42520.598438,26647.2786466667,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",38268.374222,24230.26367,"nonmito",""
"ABHD10","Q9NUJ1",108652.732824,119471.6953,"mito",""
"ABHD11","Q8NFV4",62321.041014,178366.4271,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",36152.657032,33222.19792,"nonmito",""
"ABHD13","Q7L211",57125.81094,48574.6471366667,"nonmito",""
