"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1249023.4,6998763.33333333,"nonmito",""
"AAAS","Q9NRG9",69600.86,74509.4333333333,"nonmito",""
"AACS","Q86V21",72955.88,106526.1,"nonmito",""
"AAGAB","Q6PD74",134129,117534,"nonmito",""
"AAK1","Q2M2I8",118087.6,99172.9333333333,"nonmito",""
"AAMDC","Q9H7C9",81736.3,44790.3666666667,"nonmito",""
"AAMP","Q13685",49990.52,74479.9666666667,"nonmito",""
"AAR2","Q9Y312",56659.38,60589.2333333333,"nonmito",""
"AARS1","P49588",206652,217771.333333333,"nonmito",""
"AARS2","Q5JTZ9",49006.98,37829.5666666667,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",102133.7,117136.333333333,"nonmito",""
"AASDHPPT","Q9NRN7",119609,126035,"nonmito",""
"AASS","Q9UDR5",56783.525,48365.7666666667,"mito",""
"AATF","Q9NY61",41320.84,37173.6033333333,"nonmito",""
"ABCB10","Q9NRK6",66615.64,83488.6666666667,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",87201.4,108812.4,"mito",""
"ABCB7","O75027;O75027-2",61407.7,56316.6333333333,"mito",""
"ABCC1","P33527;P33527-9",72300.46,104838.333333333,"nonmito",""
"ABCC4","O15439;O15439-2",73778.72,83401.4,"nonmito",""
"ABCD1","P33897",76669.82,73807.6333333333,"mito",""
"ABCD3","P28288",72613,73506.9666666667,"mito",""
"ABCD4","O14678",61809.55,28056.15,"nonmito",""
"ABCE1","P61221",185422.6,173638.666666667,"nonmito",""
"ABCF1","Q8NE71",108265,129330,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97372.74,99297.0333333333,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",106646.2,112367.666666667,"nonmito",""
"ABHD10","Q9NUJ1",89209.36,91876.5666666667,"mito",""
"ABHD11","Q8NFV4",66774.15,31631.5333333333,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",93797.34,94415.0333333333,"nonmito",""
"ABHD14B","Q96IU4",220861.6,189787.666666667,"nonmito",""
"ABHD16A","O95870",80101.7,69347.4666666667,"nonmito",""
"ABHD17B","Q5VST6;Q5VST6-2",31308.6,31132.3,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",86466.88,69798.9,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",83617.8,100348.366666667,"nonmito",""
"ABRACL","Q9P1F3",223533.6,246212,"nonmito",""
"ABRAXAS2","Q15018",72536.72,76425.4333333333,"nonmito",""
"ABT1","Q9ULW3",65291.475,75498,"nonmito",""
"ACAA1","P09110",101190.04,91412.1,"mito",""
"ACAA2","P42765",115173.12,126012.666666667,"mito",""
"ACACA","Q13085;Q13085-4",78784.74,103069.866666667,"mito",""
"ACAD11","Q709F0",135807.6,93020.4,"mito",""
"ACAD9","Q9H845",71178.4,92419.7,"mito",""
"ACADM","P11310;P11310-2",129016,121259,"mito",""
"ACADS","P16219",72575.4,96002.95,"mito",""
"ACADSB","P45954",42571.06,33411.8,"mito",""
"ACADVL","P49748;P49748-3",220045.2,193904.333333333,"mito",""
"ACAP2","Q15057",62330.44,58638.9,"nonmito",""
"ACAT1","P24752",222039,220660.333333333,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",178254,296991.666666667,"nonmito",""
"ACBD3","Q9H3P7",164259,226130,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",53796.96,47293.5666666667,"nonmito",""
"ACBD6","Q9BR61",39066.875,55747.1,"nonmito",""
"ACIN1","Q9UKV3",64991.64,69900,"nonmito",""
"ACLY","P53396",342206.6,484495.333333333,"mito",""
"ACO1","P21399",153660,202093.333333333,"nonmito",""
"ACO2","Q99798",132799,113281,"mito",""
"ACOT1","Q86TX2",104863.6,112195.333333333,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",97732.68,124309.666666667,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",246991.6,341449.666666667,"mito",""
"ACOT8","O14734",120372.86,145217.4,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",151186.8,154178.666666667,"mito",""
"ACOX1","Q15067;Q15067-2",84571.16,99306.4666666667,"nonmito",""
"ACOX2","Q99424",61571.125,75677.0666666667,"nonmito",""
"ACOX3","O15254",54032.52,49927.8333333333,"nonmito",""
"ACP1","P24666",243011,236345,"nonmito",""
"ACP2","P11117",120124.08,124671.333333333,"nonmito",""
"ACSF2","Q96CM8;Q96CM8-2;Q96CM8-3",27590.24,31975.5666666667,"mito",""
"ACSF3","Q4G176",35631.98,30660.6,"mito",""
"ACSL1","P33121",69049.74,65312.9666666667,"mito",""
"ACSL3","O95573",161879.2,212476.333333333,"nonmito",""
"ACSL4","O60488;O60488-2",98765.66,154437.666666667,"nonmito",""
"ACSS2","Q9NR19;Q9NR19-2",89513.54,127457.666666667,"nonmito",""
"ACTA2","P62736",1419932,1079683.33333333,"nonmito",""
"ACTB","P60709",1374232,1286166.66666667,"nonmito",""
"ACTBL2","Q562R1",2233977.4,3420595.33333333,"nonmito",""
"ACTL6A","O96019",109134.4,96629.6666666667,"nonmito",""
"ACTN1","P12814",736070.8,759250.666666667,"nonmito",""
"ACTN1","P12814-2",181703.2,128303.733333333,"nonmito",""
"ACTN4","O43707",535151.2,446331.333333333,"nonmito",""
"ACTR10","Q9NZ32",68825.94,69545.1333333333,"nonmito",""
"ACTR1A","P61163",320490.2,329821.666666667,"nonmito",""
"ACTR1B","P42025",199066.4,188096.333333333,"nonmito",""
"ACTR2","P61160",418278.8,448831.333333333,"nonmito",""
"ACTR3","P61158",577758.6,574137,"nonmito",""
"ACVR1","Q04771",93010.28,142815.333333333,"nonmito",""
"ACY1","Q03154",76748.42,111715.666666667,"nonmito",""
"ACYP1","P07311",67416,90389.2,"nonmito",""
"ACYP2","P14621",57786.56,64865.1666666667,"nonmito",""
"ADA","P00813",53245.92,51516.9666666667,"nonmito",""
"ADAM10","O14672",80223.92,128384.333333333,"nonmito",""
"ADAM15","Q13444;Q13444-10;Q13444-11;Q13444-12;Q13444-13;Q13444-2;Q13444-3;Q13444-4;Q13444-5;Q13444-6;Q13444-7;Q13444-8;Q13444-9",40719.08,40017.6666666667,"nonmito",""
"ADAM17","P78536",40786.2,52900.3,"nonmito",""
"ADAM9","Q13443",54850.54,82574.8666666667,"nonmito",""
"ADAMTS1","Q9UHI8",25581.0233333333,53468.3,"nonmito",""
"ADAMTSL1","Q8N6G6",35700.575,50304.6,"nonmito",""
"ADAR","P55265;P55265-4",79795.26,77460.1,"nonmito",""
"ADCY9","O60503",68659.26,98626.5,"nonmito",""
"ADD1","P35611;P35611-2;P35611-3;P35611-6",150379.8,151932.666666667,"nonmito",""
"ADD3","Q9UEY8-2",133419,147083,"nonmito",""
"ADGRA2","Q96PE1;Q96PE1-2",43446.025,41434.2666666667,"nonmito",""
"ADGRE5","P48960;P48960-2;P48960-3",85658.08,109483.333333333,"nonmito",""
"ADH5","P11766",268607.4,315083.333333333,"nonmito",""
"ADI1","Q9BV57",109593.36,90801.0666666667,"nonmito",""
"ADK","P55263",97799.4,88140.6666666667,"nonmito",""
"ADNP","Q9H2P0",15677.68,13175.5,"nonmito",""
"ADO","Q96SZ5",97177.9,87585.2333333333,"nonmito",""
"ADPGK","Q9BRR6;Q9BRR6-2",60182.32,62558.3333333333,"nonmito",""
"ADPRS","Q9NX46",75910.14,72076.0666666667,"nonmito",""
"ADRM1","Q16186",158812.2,133023.666666667,"nonmito",""
"ADSL","P30566",96643.66,99353.1333333333,"nonmito",""
"ADSS2","P30520",171624.6,146450,"nonmito",""
"AEBP1","Q8IUX7",64155.35,97474.9,"nonmito",""
"AFAP1","Q8N556;Q8N556-2",75159.2,29653.4,"nonmito",""
"AFDN","P55196-1;P55196-2;P55196-3",39242.36,25485.9633333333,"nonmito",""
"AFG3L2","Q9Y4W6",59709.06,67026.6,"mito",""
"AGAP3","Q96P47;Q96P47-2;Q96P47-4",33161.38,59166.2,"nonmito",""
"AGFG1","P52594;P52594-2;P52594-3;P52594-4",91111.46,88067.7666666667,"nonmito",""
"AGFG2","O95081",39728.96,50125.8333333333,"nonmito",""
"AGK","Q53H12",80301.34,83847.4,"mito",""
"AGL","P35573",70652.56,67261.4666666667,"nonmito",""
"AGO1","Q9UL18",45561.72,53408.8666666667,"nonmito",""
"AGO2","Q9UKV8",60111.32,69958.8333333333,"nonmito",""
"AGO3","Q9H9G7",69134.66,78601.9666666667,"nonmito",""
"AGPAT3","Q9NRZ7",54666.38,53769.0333333333,"nonmito",""
"AGPAT4","Q9NRZ5",29683.425,16982.1,"mito",""
