"genename","uniprot","mean_ctrl","mean_patient","mito","complex"
"A2M","P01023",1218337.8,3145626.66666667,"nonmito",""
"AAAS","Q9NRG9",64092,63338.6333333333,"nonmito",""
"AACS","Q86V21",67170.62,60697.3333333333,"nonmito",""
"AAGAB","Q6PD74",102035.9,112328.333333333,"nonmito",""
"AAK1","Q2M2I8",107611.26,93244.2,"nonmito",""
"AAMDC","Q9H7C9",77654.76,64368.6,"nonmito",""
"AAR2","Q9Y312",37725.34,52035.2333333333,"nonmito",""
"AARS1","P49588",203694.6,248134,"nonmito",""
"AARS2","Q5JTZ9",39915.94,43057.7333333333,"mito",""
"AARSD1","Q9BTE6;Q9BTE6-2;Q9BTE6-3",113986.8,69965.9,"nonmito",""
"AASDHPPT","Q9NRN7",130619.4,88683.6333333333,"nonmito",""
"AASS","Q9UDR5",61167.0666666667,47967.9666666667,"mito",""
"ABAT","P80404",31057.18,24910.3666666667,"mito",""
"ABCB6","Q9NP58;Q9NP58-4",47727.76,140547,"mito",""
"ABCB7","O75027;O75027-2",64735.56,57613.2,"mito",""
"ABCC1","P33527;P33527-9",70074.18,98768.4333333333,"nonmito",""
"ABCC4","O15439;O15439-2",64388.06,85987.9666666667,"nonmito",""
"ABCD1","P33897",68861.78,93352.2333333333,"mito",""
"ABCD3","P28288",71937.16,71921.1,"mito",""
"ABCD4","O14678",50659.4,65964.1666666667,"nonmito",""
"ABCE1","P61221",206159.8,169996.666666667,"nonmito",""
"ABCF1","Q8NE71",104476,116011.666666667,"nonmito",""
"ABCF2","Q9UG63;Q9UG63-2",97546.08,79013.0666666667,"nonmito",""
"ABCF3","Q9NUQ8;Q9NUQ8-2",117652,87638.7,"nonmito",""
"ABHD10","Q9NUJ1",59746.78,83755.4,"mito",""
"ABHD11","Q8NFV4",59850.58,45638.8,"mito",""
"ABHD12","Q8N2K0;Q8N2K0-2",96363.52,73247.4333333333,"nonmito",""
"ABHD14B","Q96IU4",201462.6,261973,"nonmito",""
"ABHD16A","O95870",59554.38,79755.4,"nonmito",""
"ABHD4","Q8TB40",21924.2,13800.1233333333,"nonmito",""
"ABI1","Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9",77749.82,78001.8666666667,"nonmito",""
"ABI2","Q9NYB9;Q9NYB9-2;Q9NYB9-4",74784.9,68139.5666666667,"nonmito",""
"ABLIM3","O94929-2;O94929-3",58248.16,38968.7,"nonmito",""
"ABR","Q12979;Q12979-2;Q12979-4",86052.92,81696.3666666667,"nonmito",""
"ABRACL","Q9P1F3",155860.86,260218.333333333,"nonmito",""
"ABRAXAS2","Q15018",51696.08,82439.4333333333,"nonmito",""
"ABT1","Q9ULW3",98987.46,119486.233333333,"nonmito",""
"ACAA1","P09110",72276.92,118498,"mito",""
"ACAA2","P42765",113433.9,165987.333333333,"mito",""
"ACACA","Q13085;Q13085-4",78875.72,64403.4,"mito",""
"ACAD11","Q709F0",58750.2,392525,"mito",""
"ACAD8","Q9UKU7",25658.65,49283.4333333333,"mito",""
"ACAD9","Q9H845",76072.6,80314.8333333333,"mito",""
"ACADM","P11310;P11310-2",127015.18,133909,"mito",""
"ACADS","P16219",91996.5,58987.75,"mito",""
"ACADSB","P45954",36606.4,29299.4,"mito",""
"ACADVL","P49748;P49748-3",243633.8,155717.333333333,"mito",""
"ACAP2","Q15057",61446.84,63369.1333333333,"nonmito",""
"ACAT1","P24752",228179.2,209905,"mito",""
"ACAT2","Q9BWD1;Q9BWD1-2",195630.2,138890.333333333,"nonmito",""
"ACBD3","Q9H3P7",138182.4,164381.333333333,"nonmito",""
"ACBD5","Q5T8D3-2;Q5T8D3-3",40817.88,64637.7666666667,"nonmito",""
"ACBD6","Q9BR61",31575.38,38906.6333333333,"nonmito",""
"ACIN1","Q9UKV3",65330.86,60747.3,"nonmito",""
"ACLY","P53396",358907.6,265848,"mito",""
"ACO1","P21399",156953.8,87511.3333333333,"nonmito",""
"ACO2","Q99798",129571.4,127165,"mito",""
"ACOT1","Q86TX2",134197,174037.333333333,"nonmito",""
"ACOT13","Q9NPJ3;Q9NPJ3-2",98753.1,120566.666666667,"mito",""
"ACOT7","O00154;O00154-4;O00154-6;O00154-7",239025.4,196535,"mito",""
"ACOT8","O14734",133075.5,175079.333333333,"nonmito",""
"ACOT9","Q9Y305;Q9Y305-2;Q9Y305-4",151426.2,139637.666666667,"mito",""
"ACOX1","Q15067;Q15067-2",77450.06,74012.3333333333,"nonmito",""
"ACOX2","Q99424",48346.92,59640.1333333333,"nonmito",""
